market_ticker,market_type,game_id,away_team,home_team,parse_success,selected_team,run_line,is_f5,selected_is_away,selected_is_home,parse_note,snapshot_count,unique_mid_count,mid_min,mid_max,mid_range,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,market_liveness_label,score_at_first_snap,score_at_last_snap,stale_despite_score_change,flag_semantics_concern
KXMLBSPREAD-26JUN152010DETHOU-DET3,spread_run_line,DET@HOU,DET,HOU,True,DET,3,False,True,False,,158,3,26,71,45,654.24,454.29,True,live_responsive,,9-3,False,False
KXMLBSPREAD-26JUN152010DETHOU-HOU2,spread_run_line,DET@HOU,DET,HOU,True,HOU,2,False,False,True,,158,3,6,35,29,654.24,454.29,True,live_responsive,,9-3,False,False
KXMLBSPREAD-26JUN152010DETHOU-DET2,spread_run_line,DET@HOU,DET,HOU,True,DET,2,False,True,False,,158,3,35,79,44,654.24,454.29,True,live_responsive,,9-3,False,False
KXMLBSPREAD-26JUN152005MINTEX-MIN3,spread_run_line,MIN@TEX,MIN,TEX,True,MIN,3,False,True,False,,158,4,19,51,32,648.19,225.1,False,live_responsive,,4-2,False,False
KXMLBSPREAD-26JUN152005MINTEX-MIN4,spread_run_line,MIN@TEX,MIN,TEX,True,MIN,4,False,True,False,,158,4,12,39,27,648.19,225.1,False,live_responsive,,4-2,False,False
KXMLBSPREAD-26JUN152005MINTEX-TEX4,spread_run_line,MIN@TEX,MIN,TEX,True,TEX,4,False,False,True,,158,3,5,21,16,654.24,454.29,False,live_responsive,,4-2,False,False
KXMLBSPREAD-26JUN152005MINTEX-MIN2,spread_run_line,MIN@TEX,MIN,TEX,True,MIN,2,False,True,False,,158,3,28,63,35,654.24,454.29,False,live_responsive,,4-2,False,False
KXMLBSPREAD-26JUN152005MINTEX-TEX2,spread_run_line,MIN@TEX,MIN,TEX,True,TEX,2,False,False,True,,158,4,13,41,28,648.19,225.1,False,live_responsive,,4-2,False,False
KXMLBSPREAD-26JUN152005MINTEX-TEX3,spread_run_line,MIN@TEX,MIN,TEX,True,TEX,3,False,False,True,,158,4,8,30,22,648.19,225.1,False,live_responsive,,4-2,False,False
KXMLBSPREAD-26JUN152005COLCHC-COL4,spread_run_line,COL@CHC,COL,CHC,True,COL,4,False,True,False,,158,3,5,11,6,654.24,454.29,False,live_responsive,,4-5,False,False
KXMLBSPREAD-26JUN152005COLCHC-COL3,spread_run_line,COL@CHC,COL,CHC,True,COL,3,False,True,False,,158,4,9,17,8,648.19,225.1,False,live_responsive,,4-5,False,False
KXMLBSPREAD-26JUN152005COLCHC-CHC4,spread_run_line,COL@CHC,COL,CHC,True,CHC,4,False,False,True,,158,4,24,38,14,648.19,225.1,False,live_responsive,,4-5,False,False
KXMLBSPREAD-26JUN152005COLCHC-CHC3,spread_run_line,COL@CHC,COL,CHC,True,CHC,3,False,False,True,,158,3,37,48,11,654.24,454.29,False,live_responsive,,4-5,False,False
KXMLBSPREAD-26JUN152005COLCHC-COL2,spread_run_line,COL@CHC,COL,CHC,True,COL,2,False,True,False,,158,3,14,24,10,654.24,454.29,False,live_responsive,,4-5,False,False
KXMLBSPREAD-26JUN152005COLCHC-CHC2,spread_run_line,COL@CHC,COL,CHC,True,CHC,2,False,False,True,,158,3,49,60,11,654.24,454.29,False,live_responsive,,4-5,False,False
KXMLBSPREAD-26JUN151945SDSTL-SD4,spread_run_line,SD@STL,SD,STL,True,SD,4,False,True,False,,158,3,2,15,13,654.24,454.29,False,live_responsive,,0-3,False,False
KXMLBSPREAD-26JUN151945SDSTL-STL2,spread_run_line,SD@STL,SD,STL,True,STL,2,False,False,True,,158,3,38,82,44,654.24,454.29,False,live_responsive,,0-3,False,False
KXMLBSPREAD-26JUN151945SDSTL-SD2,spread_run_line,SD@STL,SD,STL,True,SD,2,False,True,False,,158,3,4,30,26,654.24,454.29,False,live_responsive,,0-3,False,False
KXMLBSPREAD-26JUN151945SDSTL-STL4,spread_run_line,SD@STL,SD,STL,True,STL,4,False,False,True,,158,4,15,46,31,648.19,225.1,False,live_responsive,,0-3,False,False
KXMLBSPREAD-26JUN151945SDSTL-STL3,spread_run_line,SD@STL,SD,STL,True,STL,3,False,False,True,,158,4,25,68,43,648.19,225.1,False,live_responsive,,0-3,False,False
KXMLBSPREAD-26JUN151945SDSTL-SD3,spread_run_line,SD@STL,SD,STL,True,SD,3,False,True,False,,158,4,3,22,19,648.19,225.1,False,live_responsive,,0-3,False,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN4,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,4,False,False,True,,158,3,19,97,78,654.24,454.29,False,live_responsive,,0-12,False,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN2,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,2,False,False,True,,158,4,37,98,61,648.19,225.1,False,live_responsive,,0-12,False,False
KXMLBSPREAD-26JUN151910NYMCIN-NYM3,spread_run_line,NYM@CIN,NYM,CIN,True,NYM,3,False,True,False,,158,2,22,23,1,448.24,225.1,False,stale,,0-12,False,False
KXMLBSPREAD-26JUN151910NYMCIN-NYM2,spread_run_line,NYM@CIN,NYM,CIN,True,NYM,2,False,True,False,,158,1,32,32,0,454.29,454.29,False,stale,,0-12,False,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN3,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,3,False,False,True,,158,4,27,97,70,648.19,225.1,False,live_responsive,,0-12,False,False
KXMLBSPREAD-26JUN151910NYMCIN-NYM4,spread_run_line,NYM@CIN,NYM,CIN,True,NYM,4,False,True,False,,158,1,15,15,0,454.29,454.29,False,stale,,0-12,False,False
KXMLBSPREAD-26JUN151840MIAPHI-MIA2,spread_run_line,MIA@PHI,MIA,PHI,True,MIA,2,False,True,False,,158,2,1,25,24,454.29,454.29,False,stale,,0-7,False,False
KXMLBSPREAD-26JUN151840MIAPHI-MIA3,spread_run_line,MIA@PHI,MIA,PHI,True,MIA,3,False,True,False,,158,2,16,18,2,448.24,225.1,False,stale,,0-7,False,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI3,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,3,False,False,True,,158,4,35,96,61,648.19,225.1,False,live_responsive,,0-7,False,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI4,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,4,False,False,True,,158,3,26,95,69,654.24,454.29,False,live_responsive,,0-7,False,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI2,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,2,False,False,True,,158,3,47,97,50,654.24,454.29,False,live_responsive,,0-7,False,False
KXMLBSPREAD-26JUN151840MIAPHI-MIA4,spread_run_line,MIA@PHI,MIA,PHI,True,MIA,4,False,True,False,,158,3,1,12,11,448.24,225.1,False,live_responsive,,0-7,False,False
KXMLBSPREAD-26JUN152005MINTEX-MIN6,spread_run_line,MIN@TEX,MIN,TEX,True,MIN,6,False,True,False,,47,2,6,23,17,199.94,199.94,False,stale,3-0,4-2,True,False
KXMLBSPREAD-26JUN152005MINTEX-MIN5,spread_run_line,MIN@TEX,MIN,TEX,True,MIN,5,False,True,False,,47,2,12,31,19,199.94,199.94,False,stale,3-0,4-2,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN10,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,10,False,False,True,,47,2,35,42,7,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN6,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,6,False,False,True,,47,2,77,93,16,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN7,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,7,False,False,True,,47,2,68,85,17,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN12,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,12,False,False,True,,47,2,28,33,5,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN5,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,5,False,False,True,,47,2,82,94,12,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN9,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,9,False,False,True,,47,2,48,59,11,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN11,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,11,False,False,True,,47,2,31,37,6,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151910NYMCIN-CIN8,spread_run_line,NYM@CIN,NYM,CIN,True,CIN,8,False,False,True,,47,2,59,78,19,199.94,199.94,False,stale,0-9,0-12,True,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI8,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,8,False,False,True,,47,2,16,33,17,199.94,199.94,False,stale,0-5,0-7,True,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI7,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,7,False,False,True,,47,2,22,42,20,199.94,199.94,False,stale,0-5,0-7,True,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI6,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,6,False,False,True,,47,2,39,72,33,199.94,199.94,False,stale,0-5,0-7,True,False
KXMLBSPREAD-26JUN151840MIAPHI-PHI5,spread_run_line,MIA@PHI,MIA,PHI,True,PHI,5,False,False,True,,47,2,65,90,25,199.94,199.94,False,stale,0-5,0-7,True,False
KXMLBSPREAD-26JUN152010DETHOU-DET7,spread_run_line,DET@HOU,DET,HOU,True,DET,7,False,True,False,,46,0,,,0,0.0,0.0,False,insufficient_tape,5-0,9-3,True,False
KXMLBSPREAD-26JUN152010DETHOU-DET6,spread_run_line,DET@HOU,DET,HOU,True,DET,6,False,True,False,,46,1,36,36,0,199.94,199.94,False,stale,5-0,9-3,True,False
KXMLBSPREAD-26JUN152010DETHOU-DET8,spread_run_line,DET@HOU,DET,HOU,True,DET,8,False,True,False,,46,0,,,0,0.0,0.0,False,insufficient_tape,5-0,9-3,True,False
KXMLBSPREAD-26JUN152010DETHOU-DET5,spread_run_line,DET@HOU,DET,HOU,True,DET,5,False,True,False,,46,1,48,48,0,199.94,199.94,False,stale,5-0,9-3,True,False
KXMLBSPREAD-26JUN151945SDSTL-STL6,spread_run_line,SD@STL,SD,STL,True,STL,6,False,False,True,,46,1,32,32,0,199.94,199.94,False,stale,0-3,0-3,False,False
KXMLBSPREAD-26JUN151945SDSTL-STL5,spread_run_line,SD@STL,SD,STL,True,STL,5,False,False,True,,46,1,31,31,0,199.94,199.94,False,stale,0-3,0-3,False,False
