market_ticker,market_type,game_id,away_team,home_team,first_snapshot_time,last_snapshot_time,snapshot_count,avg_seconds_between_snapshots,max_seconds_between_snapshots,unique_mid_count,mid_min,mid_max,mid_range,total_abs_mid_movement,largest_single_move,stale_minutes_total,longest_stale_period_minutes,moved_after_score_event,moved_after_inning_end,moved_after_lead_change,market_liveness_label
KXMLBF5TOTAL-26JUN152210TBLAD-2,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,90,91,1,2,1,692.99,454.29,False,False,False,stale
KXMLBF5TOTAL-26JUN152210TBLAD-1,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,97,97,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152210TBLAD-6,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,46,46,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152210TBLAD-5,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,58,58,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152210TBLAD-7,f5_total,TB@LAD,TB,LAD,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,35,35,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152140PITATH-6,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,51,51,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152140PITATH-4,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,74,74,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152140PITATH-5,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,63,64,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5TOTAL-26JUN152140PITATH-3,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,2,84,85,1,1,1,697.11,469.08,False,False,False,stale
KXMLBF5TOTAL-26JUN152140PITATH-2,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,1,92,92,0,0,0,700.23,700.23,False,False,False,stale
KXMLBF5TOTAL-26JUN152140PITATH-1,f5_total,PIT@ATH,PIT,ATH,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:32:47.419478+00:00,161,262.6,3583.9,3,95,97,2,2,1,692.17,241.0,False,False,False,stale
