season,game_pk,game_date,game_id,away,home,away_score_model,home_score_model,model_edge,predicted_winner,actual_winner,winner_correct,away_run_projection,home_run_projection,projected_total,projected_f5_total,actual_away_runs,actual_home_runs,actual_full_total,actual_f5_total,actual_post5_runs,away_context_confidence,home_context_confidence,prediction_type,predicted_team,predicted_opponent,predicted_home_away,predicted_team_score,predicted_team_runs,prediction_threshold,predicted_outcome,actual_outcome,correct,actual_team_runs,actual_opponent_runs,actual_margin,actual_home_won,context_confidence,opponent_context_confidence,confidence_label,wrong_reason
2024,746036,2024-07-23,BAL@MIA,BAL,MIA,51.846,41.643,10.203,BAL,MIA,0,4.214,4.035,8.249,4.454,3,6,9,9,0,unknown,unknown,winner,BAL,MIA,away,51.846,,,1,0,0,3,6,3,1,unknown,unknown,high,home_field_or_away_underperformed
2023,717448,2023-07-07,COL@SF,COL,SF,41.821,52.023,10.202,SF,COL,0,4.033,4.539,8.572,4.629,5,2,7,2,5,unknown,unknown,winner,SF,COL,home,52.023,,,1,0,0,2,5,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,718334,2023-05-02,MIL@COL,MIL,COL,52.779,42.578,10.201,MIL,COL,0,4.223,4.256,8.479,4.579,2,3,5,2,3,unknown,unknown,winner,MIL,COL,away,52.779,,,1,0,0,2,3,1,1,unknown,unknown,high,coinflip_close_game
2023,716616,2023-09-12,TEX@TOR,TEX,TOR,53.091,63.29,10.199,TOR,TEX,0,4.503,5.63,10.133,5.472,6,3,9,2,7,unknown,unknown,winner,TOR,TEX,home,63.29,,,1,0,0,3,6,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,747198,2024-05-19,DET@AZ,DET,AZ,56.93,46.737,10.193,DET,AZ,0,4.95,4.094,9.044,4.884,4,6,10,6,4,unknown,unknown,winner,DET,AZ,away,56.93,,,1,0,0,4,6,2,1,unknown,unknown,high,home_field_or_away_underperformed
2023,716784,2023-08-30,CLE@MIN,CLE,MIN,48.624,58.811,10.187,MIN,CLE,0,4.347,5.182,9.529,5.146,5,2,7,2,5,unknown,unknown,winner,MIN,CLE,home,58.811,,,1,0,0,2,5,3,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2023,717722,2023-06-17,CWS@SEA,CWS,SEA,41.769,51.951,10.182,SEA,CWS,0,3.838,4.503,8.341,4.504,4,3,7,5,2,unknown,unknown,winner,SEA,CWS,home,51.951,,,1,0,0,3,4,1,0,unknown,unknown,high,coinflip_close_game
2025,776777,2025-08-12,PHI@CIN,PHI,CIN,53.622,43.453,10.169,PHI,CIN,0,4.49,3.62,8.11,4.379,1,6,7,3,4,unknown,unknown,winner,PHI,CIN,away,53.622,,,1,0,0,1,6,5,1,unknown,unknown,high,home_field_or_away_underperformed
2023,716413,2023-09-27,NYY@TOR,NYY,TOR,42.749,52.916,10.167,TOR,NYY,0,3.64,4.478,8.118,4.384,6,0,6,4,2,unknown,unknown,winner,TOR,NYY,home,52.916,,,1,0,0,0,6,6,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,746611,2024-07-24,DET@CLE,DET,CLE,55.345,45.18,10.165,DET,CLE,0,4.926,3.59,8.516,4.599,1,2,3,2,1,unknown,unknown,winner,DET,CLE,away,55.345,,,1,0,0,1,2,1,1,unknown,unknown,high,coinflip_close_game
2024,744901,2024-08-06,BAL@TOR,BAL,TOR,64.841,54.677,10.164,BAL,TOR,0,5.593,5.106,10.699,5.777,2,5,7,0,7,unknown,unknown,winner,BAL,TOR,away,64.841,,,1,0,0,2,5,3,1,unknown,unknown,high,home_field_or_away_underperformed
2024,746799,2024-05-14,WSN@CWS,WSN,CWS,48.594,38.434,10.16,WSN,CWS,0,4.322,3.868,8.19,4.423,0,4,4,3,1,unknown,unknown,winner,WSN,CWS,away,48.594,,,1,0,0,0,4,4,1,unknown,unknown,high,home_field_or_away_underperformed
2024,745429,2024-04-10,CHC@SD,CHC,SD,59.186,49.035,10.151,CHC,SD,0,5.386,4.551,9.937,5.366,2,10,12,6,6,unknown,unknown,winner,CHC,SD,away,59.186,,,1,0,0,2,10,8,1,unknown,unknown,high,home_field_or_away_underperformed
2023,718487,2023-04-21,TOR@NYY,TOR,NYY,46.016,56.157,10.141,NYY,TOR,0,3.957,4.567,8.524,4.603,6,1,7,3,4,unknown,unknown,winner,NYY,TOR,home,56.157,,,1,0,0,1,6,5,0,unknown,unknown,high,model_missed_team_strength_or_pitching
2024,745057,2024-08-11,BAL@TB,BAL,TB,57.851,47.71,10.141,BAL,TB,0,4.846,4.252,9.098,4.913,1,2,3,1,2,unknown,unknown,winner,BAL,TB,away,57.851,,,1,0,0,1,2,1,1,unknown,unknown,high,coinflip_close_game
2023,717122,2023-08-05,TB@DET,TB,DET,54.667,44.536,10.131,TB,DET,0,4.514,4.099,8.613,4.651,2,4,6,4,2,unknown,unknown,winner,TB,DET,away,54.667,,,1,0,0,2,4,2,1,unknown,unknown,high,home_field_or_away_underperformed
2024,746063,2024-05-22,MIL@MIA,MIL,MIA,56.812,46.689,10.123,MIL,MIA,0,4.731,4.564,9.295,5.019,0,1,1,1,0,unknown,unknown,winner,MIL,MIA,away,56.812,,,1,0,0,0,1,1,1,unknown,unknown,high,coinflip_close_game
