date,game_pk,game_id,market_ticker,market_type,derivative_type,candidate_surface,selected_team,opponent_team,line_value,contract_direction,yes_means,no_means,inning,half,outs,runners,score_away,score_home,score_diff,trailing_team,leading_team,batting_team,home_team,away_team,is_home_selected_team,selected_team_strength_rating,selected_team_form_context,opponent_strength_rating,weather_run_label,current_yes_bid,current_yes_ask,current_mid,current_spread,prior_mid_300s,next_mid_300s,delta_mid_next_300s,max_mid_next_300s,min_mid_next_300s,movement_favorable_to_yes,movement_favorable_to_no,nearest_play_description,seconds_since_last_play,seconds_since_last_score,recent_scoring_flag,active_rally_flag,market_nearly_settled_flag,wide_spread_flag,source
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,top,0,1--,0,3,3,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,213,,0,1,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,8,bottom,0,,8,3,-5,HOU,DET,HOU,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,7493,,0,0,1,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,8,bottom,0,1--,8,3,-5,HOU,DET,HOU,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,7553,,0,1,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,top,1,1-3,1,3,2,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,694,,0,1,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,top,3,,1,3,2,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,874,,0,0,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,9,top,0,,8,3,-5,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,7853,,0,0,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,bottom,0,1--,1,3,2,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,994,,0,1,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,9,top,1,,9,3,-6,HOU,DET,DET,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,8093,,0,0,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,bottom,2,,1,5,4,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,1174,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,4,bottom,2,1--,1,5,4,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,1294,,0,1,0,0,rest_poll
2026-06-15,824181,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,full_game_total,fg_total,fg_total,,,7.0,over_yes,over,under,9,bottom,0,,9,3,-6,HOU,DET,HOU,HOU,DET,,,,,volatile,94,96,95,2,72,72,0,72,72,0,0,Status Change - Warmup,8454,,0,0,1,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,5,top,0,,1,5,4,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,1535,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,5,bottom,0,,1,5,4,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,1775,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,5,bottom,0,1--,1,5,4,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,1955,,0,1,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,5,bottom,1,1-3,1,6,5,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,2195,,0,1,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,5,bottom,3,,1,6,5,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,2435,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,6,top,0,,1,6,5,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,2555,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,6,top,0,1--,1,6,5,PIT,ATH,PIT,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,2615,,0,1,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,6,bottom,0,,1,6,5,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,3095,,0,0,0,0,rest_poll
2026-06-15,824993,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,team_total,team_total,PIT,ATH,3.0,team_total_over_yes,team_total_over,team_total_under,6,bottom,1,1--,1,6,5,PIT,ATH,ATH,ATH,PIT,0,52.3,51.0,48.2,neutral,77,79,78,2,78,78,0,78,78,0,0,Status Change - Warmup,3335,,0,1,0,0,rest_poll
