candidate_id,game,derivative_type,market_ticker,original_label,replayed_label,process_grade,side,bid,ask,mid,spread_cents,tape_label,raw_edge_cents,entry_price_cents,entry_friction_cents,exit_friction_cents,spread_penalty_cents,thin_tape_penalty_cents,conservative_fee_buffer_cents,conservative_net_edge_cents,paper_take_eligible,friction_fail_reason,hedge_alternative_cost_cents
817,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,blocked,blocked,sound_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
818,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,watch,observe,bad_process,YES,58,59,58,1,usable_tape,41,59,1,1,0,0,6,33,True,,42
819,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,blocked,blocked,questionable_process,YES,28,29,28,1,usable_tape,71,29,1,1,0,0,5,64,True,,72
820,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,suppress,bad_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
821,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,blocked,blocked,sound_process,YES,58,59,58,1,usable_tape,41,59,1,1,0,0,6,33,True,,42
822,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,watch,observe,bad_process,YES,58,59,58,1,usable_tape,41,59,1,1,0,0,6,33,True,,42
823,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,watch,suppress,bad_process,YES,75,77,76,2,usable_tape,23,77,1,1,0,0,5,16,True,,25
824,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,YES,27,32,29,5,usable_tape,68,32,3,3,0,0,5,57,True,,73
825,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,watch,suppress,bad_process,YES,13,21,17,8,usable_tape,79,21,4,4,0,0,5,66,True,,87
826,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,YES,7,63,35,56,usable_tape,37,63,28,28,12,0,5,-36,False,severe_wide_spread,93
827,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,YES,27,32,29,5,usable_tape,68,32,3,3,0,0,5,57,True,,73
828,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,blocked,blocked,questionable_process,YES,13,21,17,8,usable_tape,79,21,4,4,0,0,5,66,True,,87
829,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,YES,27,32,29,5,usable_tape,68,32,3,3,0,0,5,57,True,,73
830,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,YES,7,63,35,56,usable_tape,37,63,28,28,12,0,5,-36,False,severe_wide_spread,93
831,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,blocked,blocked,questionable_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
832,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,blocked,blocked,questionable_process,YES,7,63,35,56,usable_tape,37,63,28,28,12,0,5,-36,False,severe_wide_spread,93
833,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,YES,27,32,29,5,usable_tape,68,32,3,3,0,0,5,57,True,,73
834,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
835,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,watch,observe,bad_process,YES,55,59,57,4,usable_tape,41,59,2,2,0,0,6,31,True,,45
836,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
837,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,watch,observe,bad_process,YES,27,32,29,5,usable_tape,68,32,3,3,0,0,5,57,True,,73
838,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,watch,observe,bad_process,YES,19,25,22,6,usable_tape,75,25,3,3,0,0,5,64,True,,81
839,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,blocked,blocked,questionable_process,YES,27,32,29,5,usable_tape,68,32,3,3,0,0,5,57,True,,73
840,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,watch,blocked,bad_process,NO,99,100,99,1,usable_tape,99,1,1,1,0,0,4,93,True,,100
