near_miss_type,candidate_id,game,derivative_type,market_ticker,proposed_side,situational_score,situational_label,market_expression_score,conservative_net_edge_cents,final_decision,funnel_stage,failed_reason,settlement_result,paper_net_pnl_cents
bad_read_but_would_have_won,869,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,873,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,33,weak_read,20,66,observe,RAW_CANDIDATE,weak_situational_read,win,52
bad_read_but_would_have_won,884,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,889,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,895,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,900,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,903,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,906,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,22,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,907,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,33,weak_read,20,66,observe,RAW_CANDIDATE,weak_situational_read,win,52
bad_read_but_would_have_won,912,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,17,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
bad_read_but_would_have_won,915,MIN@TEX,fg_total,KXMLBTOTAL-26JUN152005MINTEX-8,NO,17,bad_read,20,66,suppress,RAW_CANDIDATE,bad_situational_read,win,52
good_read_bad_price,917,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,50,interesting_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,922,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,50,interesting_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,924,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,61,strong_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,929,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,50,interesting_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,934,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,55,interesting_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,936,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,66,strong_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,939,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,66,strong_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,940,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,55,interesting_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,942,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,66,strong_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,944,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,55,interesting_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
good_read_bad_price,945,PIT@ATH,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,YES,66,strong_read,20,14,observe,SITUATIONAL_READ,weak_market_expression,unknown,
