feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
error_rate_L10_bucket,below_avg_25_40,opponent_post5_runs_2plus,"2023,2024,2025",3,2587,824,0.4537,-0.0273,-0.0422,-0.0064,mixed_or_noisy
BO_L10_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,4604,1506,0.5265,0.0271,0.0232,0.0305,mixed_or_noisy
BO_bucket,very_high_115_plus,team_won,"2023,2024,2025",3,4604,1506,0.5265,0.0271,0.0232,0.0305,mixed_or_noisy
BD_chaos_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,3405,1107,0.4729,-0.0265,-0.0375,-0.0182,mixed_or_noisy
BO_plus_weak_BD_tag,yes,team_post5_runs_2plus,"2023,2024,2025",3,2907,942,0.5074,0.0264,0.0166,0.0368,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,4179,1333,0.474,-0.0253,-0.0424,-0.0077,mixed_or_noisy
BO_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,4179,1333,0.474,-0.0253,-0.0424,-0.0077,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,team_runs_5plus,"2023,2024,2025",3,5095,1663,0.4064,-0.0252,-0.0374,-0.0179,mixed_or_noisy
BO_gap_bucket,plus_15_plus,opponent_runs_5plus,"2023,2024,2025",3,5095,1663,0.4064,-0.0252,-0.0374,-0.0179,mixed_or_noisy
BO_L10_bucket,avg_95_105,opponent_runs_4plus,"2023,2024,2025",3,2079,628,0.5327,-0.0252,-0.0593,0.0096,mixed_or_noisy
BO_bucket,avg_95_105,opponent_runs_4plus,"2023,2024,2025",3,2079,628,0.5327,-0.0252,-0.0593,0.0096,mixed_or_noisy
strong_BO_clean_BD_tag,yes,team_runs_4plus,"2023,2024,2025",3,3330,1085,0.583,0.0251,0.0208,0.0286,mixed_or_noisy
extra_innings_previous_game,yes,opponent_runs_4plus,"2023,2024,2025",3,1268,409,0.5332,-0.0247,-0.0477,0.0099,mixed_or_noisy
BD_L10_bucket,very_high_115_plus,opponent_runs_4plus,"2023,2024,2025",3,5199,1660,0.5334,-0.0246,-0.0372,-0.0107,mixed_or_noisy
BD_bucket,very_high_115_plus,opponent_runs_4plus,"2023,2024,2025",3,5199,1660,0.5334,-0.0246,-0.0372,-0.0107,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,high_55_70,opponent_runs_4plus,"2023,2024,2025",3,1808,537,0.5825,0.0246,0.0139,0.0354,mixed_or_noisy
BO_gap_bucket,minus_7_to_15,opponent_runs_5plus,"2023,2024,2025",3,1245,378,0.4562,0.0246,-0.0021,0.0464,mixed_or_noisy
BO_gap_bucket,plus_7_to_15,team_runs_5plus,"2023,2024,2025",3,1245,378,0.4562,0.0246,-0.0021,0.0464,mixed_or_noisy
BD_L10_bucket,very_high_115_plus,opponent_runs_5plus,"2023,2024,2025",3,5199,1660,0.4073,-0.0243,-0.0294,-0.0215,mixed_or_noisy
BD_bucket,very_high_115_plus,opponent_runs_5plus,"2023,2024,2025",3,5199,1660,0.4073,-0.0243,-0.0294,-0.0215,mixed_or_noisy
BO_L10_bucket,very_high_115_plus,team_runs_5plus,"2023,2024,2025",3,4604,1506,0.4558,0.0242,0.0127,0.0348,mixed_or_noisy
BO_bucket,very_high_115_plus,team_runs_5plus,"2023,2024,2025",3,4604,1506,0.4558,0.0242,0.0127,0.0348,mixed_or_noisy
