season,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,BD_L10_bucket,very_low_lt_85,team_post5_runs_2plus,1315,0.4677,0.4701,-0.0024
2023,BD_L10_bucket,very_low_lt_85,team_runs_4plus,1266,0.5569,0.5745,-0.0176
2024,BD_L10_bucket,very_low_lt_85,team_runs_4plus,1336,0.5404,0.55,-0.0096
2025,BD_L10_bucket,very_low_lt_85,team_runs_4plus,1315,0.5445,0.5493,-0.0048
2023,BD_L10_bucket,very_low_lt_85,team_runs_5plus,1266,0.4415,0.4529,-0.0114
2024,BD_L10_bucket,very_low_lt_85,team_runs_5plus,1336,0.4027,0.4252,-0.0225
2025,BD_L10_bucket,very_low_lt_85,team_runs_5plus,1315,0.4046,0.4166,-0.012
2023,BD_L10_bucket,very_low_lt_85,team_won,1266,0.4779,0.5,-0.0221
2024,BD_L10_bucket,very_low_lt_85,team_won,1336,0.4753,0.498,-0.0227
2025,BD_L10_bucket,very_low_lt_85,team_won,1315,0.4593,0.5,-0.0407
2023,BD_L5_bucket,avg_95_105,f5_total_4plus,549,0.6357,0.6342,0.0015
2024,BD_L5_bucket,avg_95_105,f5_total_4plus,524,0.5649,0.6211,-0.0562
2025,BD_L5_bucket,avg_95_105,f5_total_4plus,515,0.6447,0.6226,0.0221
2023,BD_L5_bucket,avg_95_105,game_total_10plus,549,0.4244,0.4257,-0.0013
2024,BD_L5_bucket,avg_95_105,game_total_10plus,524,0.3378,0.3805,-0.0427
2025,BD_L5_bucket,avg_95_105,game_total_10plus,515,0.4117,0.3911,0.0206
2023,BD_L5_bucket,avg_95_105,game_total_9plus,549,0.5355,0.5237,0.0118
2024,BD_L5_bucket,avg_95_105,game_total_9plus,524,0.4466,0.4863,-0.0397
2025,BD_L5_bucket,avg_95_105,game_total_9plus,515,0.5107,0.4853,0.0254
2023,BD_L5_bucket,avg_95_105,opponent_post5_runs_2plus,549,0.4882,0.4955,-0.0073
2024,BD_L5_bucket,avg_95_105,opponent_post5_runs_2plus,524,0.4676,0.4773,-0.0097
2025,BD_L5_bucket,avg_95_105,opponent_post5_runs_2plus,515,0.4447,0.4701,-0.0254
2023,BD_L5_bucket,avg_95_105,opponent_runs_4plus,549,0.5938,0.5745,0.0193
2024,BD_L5_bucket,avg_95_105,opponent_runs_4plus,524,0.4885,0.55,-0.0615
2025,BD_L5_bucket,avg_95_105,opponent_runs_4plus,515,0.5709,0.5493,0.0216
2023,BD_L5_bucket,avg_95_105,opponent_runs_5plus,549,0.4554,0.4529,0.0025
2024,BD_L5_bucket,avg_95_105,opponent_runs_5plus,524,0.3836,0.4252,-0.0416
2025,BD_L5_bucket,avg_95_105,opponent_runs_5plus,515,0.4408,0.4166,0.0242
2023,BD_L5_bucket,avg_95_105,team_f5_runs_2plus,549,0.5811,0.5945,-0.0134
2024,BD_L5_bucket,avg_95_105,team_f5_runs_2plus,524,0.5668,0.5795,-0.0127
2025,BD_L5_bucket,avg_95_105,team_f5_runs_2plus,515,0.5942,0.5754,0.0188
2023,BD_L5_bucket,avg_95_105,team_post5_runs_2plus,549,0.4936,0.4955,-0.0019
2024,BD_L5_bucket,avg_95_105,team_post5_runs_2plus,524,0.4637,0.4773,-0.0136
2025,BD_L5_bucket,avg_95_105,team_post5_runs_2plus,515,0.4544,0.4701,-0.0157
2023,BD_L5_bucket,avg_95_105,team_runs_4plus,549,0.5865,0.5745,0.012
2024,BD_L5_bucket,avg_95_105,team_runs_4plus,524,0.542,0.55,-0.008
2025,BD_L5_bucket,avg_95_105,team_runs_4plus,515,0.5515,0.5493,0.0022
2023,BD_L5_bucket,avg_95_105,team_runs_5plus,549,0.4754,0.4529,0.0225
2024,BD_L5_bucket,avg_95_105,team_runs_5plus,524,0.4294,0.4252,0.0042
2025,BD_L5_bucket,avg_95_105,team_runs_5plus,515,0.4194,0.4166,0.0028
2023,BD_L5_bucket,avg_95_105,team_won,549,0.4954,0.5,-0.0046
2024,BD_L5_bucket,avg_95_105,team_won,524,0.5286,0.498,0.0306
2025,BD_L5_bucket,avg_95_105,team_won,515,0.4738,0.5,-0.0262
2023,BD_L5_bucket,high_105_115,f5_total_4plus,463,0.635,0.6342,0.0008
2024,BD_L5_bucket,high_105_115,f5_total_4plus,535,0.6486,0.6211,0.0275
2025,BD_L5_bucket,high_105_115,f5_total_4plus,480,0.6521,0.6226,0.0295
2023,BD_L5_bucket,high_105_115,game_total_10plus,463,0.4147,0.4257,-0.011
2024,BD_L5_bucket,high_105_115,game_total_10plus,535,0.3963,0.3805,0.0158
2025,BD_L5_bucket,high_105_115,game_total_10plus,480,0.3979,0.3911,0.0068
2023,BD_L5_bucket,high_105_115,game_total_9plus,463,0.5248,0.5237,0.0011
2024,BD_L5_bucket,high_105_115,game_total_9plus,535,0.5271,0.4863,0.0408
2025,BD_L5_bucket,high_105_115,game_total_9plus,480,0.475,0.4853,-0.0103
2023,BD_L5_bucket,high_105_115,opponent_post5_runs_2plus,463,0.5032,0.4955,0.0077
2024,BD_L5_bucket,high_105_115,opponent_post5_runs_2plus,535,0.4766,0.4773,-0.0007
2025,BD_L5_bucket,high_105_115,opponent_post5_runs_2plus,480,0.4958,0.4701,0.0257
2023,BD_L5_bucket,high_105_115,opponent_runs_4plus,463,0.5659,0.5745,-0.0086
2024,BD_L5_bucket,high_105_115,opponent_runs_4plus,535,0.5664,0.55,0.0164
2025,BD_L5_bucket,high_105_115,opponent_runs_4plus,480,0.5417,0.5493,-0.0076
2023,BD_L5_bucket,high_105_115,opponent_runs_5plus,463,0.4622,0.4529,0.0093
2024,BD_L5_bucket,high_105_115,opponent_runs_5plus,535,0.4673,0.4252,0.0421
2025,BD_L5_bucket,high_105_115,opponent_runs_5plus,480,0.4104,0.4166,-0.0062
2023,BD_L5_bucket,high_105_115,team_f5_runs_2plus,463,0.6134,0.5945,0.0189
2024,BD_L5_bucket,high_105_115,team_f5_runs_2plus,535,0.5963,0.5795,0.0168
2025,BD_L5_bucket,high_105_115,team_f5_runs_2plus,480,0.5833,0.5754,0.0079
2023,BD_L5_bucket,high_105_115,team_post5_runs_2plus,463,0.4816,0.4955,-0.0139
2024,BD_L5_bucket,high_105_115,team_post5_runs_2plus,535,0.4654,0.4773,-0.0119
2025,BD_L5_bucket,high_105_115,team_post5_runs_2plus,480,0.4688,0.4701,-0.0013
2023,BD_L5_bucket,high_105_115,team_runs_4plus,463,0.5724,0.5745,-0.0021
2024,BD_L5_bucket,high_105_115,team_runs_4plus,535,0.5514,0.55,0.0014
2025,BD_L5_bucket,high_105_115,team_runs_4plus,480,0.5521,0.5493,0.0028
2023,BD_L5_bucket,high_105_115,team_runs_5plus,463,0.4406,0.4529,-0.0123
2024,BD_L5_bucket,high_105_115,team_runs_5plus,535,0.4168,0.4252,-0.0084
2025,BD_L5_bucket,high_105_115,team_runs_5plus,480,0.4104,0.4166,-0.0062
2023,BD_L5_bucket,high_105_115,team_won,463,0.4708,0.5,-0.0292
2024,BD_L5_bucket,high_105_115,team_won,535,0.4822,0.498,-0.0158
2025,BD_L5_bucket,high_105_115,team_won,480,0.4979,0.5,-0.0021
