generated_at,window_start,window_end,game_pk,game_date,game_id,team,opponent,home_away,coverage_gap_type,team_or_opponent_is_wsn
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824736,2026-07-20,BAL@BOS,BAL,BOS,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824736,2026-07-20,BAL@BOS,BOS,BAL,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823112,2026-07-20,CIN@SEA,CIN,SEA,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823112,2026-07-20,CIN@SEA,SEA,CIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822874,2026-07-20,CWS@TEX,CWS,TEX,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,822874,2026-07-20,CWS@TEX,TEX,CWS,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824654,2026-07-20,DET@CHC,DET,CHC,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824654,2026-07-20,DET@CHC,CHC,DET,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823436,2026-07-20,LAD@PHI,LAD,PHI,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823436,2026-07-20,LAD@PHI,PHI,LAD,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824167,2026-07-20,MIA@HOU,MIA,HOU,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824167,2026-07-20,MIA@HOU,HOU,MIA,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824410,2026-07-20,MIN@CLE,MIN,CLE,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,824410,2026-07-20,MIN@CLE,CLE,MIN,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823762,2026-07-20,NYM@MIL,NYM,MIL,away,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823762,2026-07-20,NYM@MIL,MIL,NYM,home,ok_has_usable_price,False
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,823522,2026-07-20,PIT@NYY,PIT,NYY,away,ok_has_usable_price,False
