generated_at,window_start,window_end,game_date,game_id,subject_team,market_type,threshold,side,brain_score,calibrated_probability,market_implied_probability_cents,gap_cents,bucket,graded,outcome,pl_cents
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,ATH@MIN,MIN,team_total,4.0,YES,0.225,0.5667,69.0,-12.329999999999998,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,KC@DET,DET,team_total,4.0,YES,0.2684,0.5667,69.0,-12.329999999999998,brain_high_market_high,True,WIN,31.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,NYY@PHI,NYY,moneyline,,YES,0.0,0.472,35.0,12.199999999999996,brain_low_market_low,True,LOSE,-35.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,BAL@BOS,BOS,team_total,4.0,YES,0.0255,0.531,65.0,-11.899999999999999,brain_high_market_high,True,WIN,35.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,TB@TOR,TB,team_total,5.0,NO,0.132,0.5913,71.0,-11.869999999999997,brain_high_market_high,True,LOSE,-71.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,CIN@SEA,SEA,moneyline,,YES,0.0837,0.472,59.0,-11.800000000000004,brain_low_market_high,True,WIN,41.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,MIN@CLE,CLE,moneyline,,YES,0.0837,0.472,59.0,-11.800000000000004,brain_low_market_high,True,WIN,41.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,SEA@TEX,TEX,team_total,5.0,NO,0.0,0.5546,67.0,-11.54,brain_high_market_high,True,LOSE,-67.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,CIN@SEA,CIN,team_total,5.0,NO,0.0085,0.5546,67.0,-11.54,brain_high_market_high,True,WIN,33.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-21,TB@TOR,TB,team_total,5.0,NO,0.0,0.5546,67.0,-11.54,brain_high_market_high,True,LOSE,-67.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,ATH@MIN,MIN,team_total,5.0,NO,0.0,0.5546,44.0,11.46,brain_high_market_low,True,WIN,56.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-19,SF@SEA,SF,moneyline,,YES,0.0,0.472,36.0,11.199999999999996,brain_low_market_low,True,LOSE,-36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-23,SD@ATL,ATL,team_total,4.0,YES,0.1452,0.5883,70.0,-11.169999999999995,brain_high_market_high,True,WIN,30.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,KC@DET,DET,moneyline,,YES,0.2457,0.5286,64.0,-11.14,brain_high_market_high,True,LOSE,-64.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,NYY@PHI,PHI,team_total,4.0,YES,0.0481,0.531,64.0,-10.899999999999999,brain_high_market_high,True,WIN,36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,ATL@BAL,ATL,team_total,4.0,YES,0.0,0.531,64.0,-10.899999999999999,brain_high_market_high,True,LOSE,-64.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,LAD@PHI,PHI,team_total,4.0,YES,0.0,0.531,64.0,-10.899999999999999,brain_high_market_high,True,WIN,36.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,COL@MIL,COL,team_total,5.0,NO,0.1841,0.5913,70.0,-10.869999999999997,brain_high_market_high,True,LOSE,-70.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-26,CLE@TB,TB,team_total,4.0,YES,0.1326,0.5883,48.0,10.830000000000005,brain_high_market_low,True,LOSE,-48.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,SD@MIA,MIA,moneyline,,YES,0.0,0.472,58.0,-10.800000000000004,brain_low_market_high,True,LOSE,-58.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-20,LAD@PHI,PHI,moneyline,,YES,0.0,0.472,58.0,-10.800000000000004,brain_low_market_high,True,WIN,42.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-24,CIN@STL,STL,moneyline,,YES,0.0345,0.472,58.0,-10.800000000000004,brain_low_market_high,True,LOSE,-58.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-25,KC@DET,DET,moneyline,,YES,0.1609,0.5039,61.0,-10.61,brain_high_market_high,True,LOSE,-61.0
2026-07-29T04:53:11Z,2026-07-19,2026-07-26,2026-07-22,CIN@SEA,CIN,team_total,5.0,NO,0.0,0.5546,66.0,-10.54,brain_high_market_high,True,LOSE,-66.0
