candidate_id,candidate_type,derivative_type,market_ticker,game_pk,inning,half_inning,score_away,score_home,runners_state,baseline_source,original_mismatch,replayed_mismatch,mismatch_capped,mismatch_delta,original_label,replayed_label,replayed_blocked_reason,classification_changed,process_grade,settlement_result,outcome_explanation,paper_setup_id,paper_net_pnl_cents
899,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,5,top,6,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
902,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,5,bottom,6,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
909,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,6,top,6,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
914,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,824181,6,bottom,6,3,,first_discovery,100.0,25.0,True,75.0,watch,suppress,team_lag_insufficient_baseball_support,True,bad_process,unknown,unknown_or_unsettled,26,
916,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,823938,1,top,2,0,,first_discovery,8.0,8.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,31,
917,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,2,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
920,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,823938,1,bottom,2,0,,first_discovery,8.0,8.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,31,
922,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,3,top,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
925,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,823938,2,top,2,0,,first_discovery,8.0,8.0,False,0.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,31,
929,trailing_team_total_lag_watch,team_total,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,824993,3,bottom,0,3,,first_discovery,100.0,25.0,True,75.0,watch,observe,team_lag_observe_only,True,bad_process,unknown,unknown_or_unsettled,32,
