game_date,away_team,home_team,away_abbr,home_abbr,reason,source_url
2025-06-11,Athletics Athletics,Los Angeles Angels,,LAA,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-11
2025-06-13,Athletics Athletics,Kansas City Royals,,KC,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-13
2025-06-14,Athletics Athletics,Kansas City Royals,,KC,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-14
2025-06-15,Athletics Athletics,Kansas City Royals,,KC,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-15
2025-06-16,Houston Astros,Athletics Athletics,HOU,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-16
2025-06-17,Houston Astros,Athletics Athletics,HOU,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-17
2025-06-18,Houston Astros,Athletics Athletics,HOU,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-18
2025-06-19,Houston Astros,Athletics Athletics,HOU,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-19
2025-06-20,Cleveland Guardians,Athletics Athletics,CLE,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-20
2025-06-21,Cleveland Guardians,Athletics Athletics,CLE,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-21
2025-06-22,Cleveland Guardians,Athletics Athletics,CLE,,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-22
2025-06-24,Athletics Athletics,Detroit Tigers,,DET,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-24
2025-06-25,Athletics Athletics,Detroit Tigers,,DET,team_name_not_in_mapping,https://www.sportsbookreview.com/betting-odds/mlb-baseball/money-line/full-game/?date=2025-06-25
