id,market_ticker,snapped_at,yes_bids_json,yes_asks_json,spread_cents,mid_cents,raw_json,event_ticker,sport,home_team,away_team,game_pk,market_type,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,open_interest,source
3418769,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6,2026-06-17T04:13:21.007233+00:00,,,27,71,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""ed360a1f-9710-4c68-a1a3-02d5df386a83"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6"", ""price_dollars"": ""0.7100"", ""yes_bid_dollars"": ""0.5800"", ""yes_ask_dollars"": ""0.8500"", ""volume_fp"": ""15858.16"", ""open_interest_fp"": ""13764.28"", ""dollar_volume"": 7929, ""dollar_open_interest"": 6882, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""115.94"", ""ts"": 1781669600, ""ts_ms"": 1781669600197, ""time"": ""2026-06-17T04:13:20.197895Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,58,85,15,42,71,15858,13764,ws_ticker
3418768,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8,2026-06-17T04:13:20.008694+00:00,,,59,41,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""b44f60d5-dd63-43f9-b361-9aadd408d66f"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8"", ""price_dollars"": ""0.3100"", ""yes_bid_dollars"": ""0.1200"", ""yes_ask_dollars"": ""0.7100"", ""volume_fp"": ""2649.64"", ""open_interest_fp"": ""1980.38"", ""dollar_volume"": 1324, ""dollar_open_interest"": 990, ""yes_bid_size_fp"": ""50.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669599, ""ts_ms"": 1781669599568, ""time"": ""2026-06-17T04:13:19.568421Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,12,71,29,88,31,2649,1980,ws_ticker
3418767,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8,2026-06-17T04:13:20.008163+00:00,,,52,38,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""1d254009-c1a6-4e0b-97af-854fc91d41b2"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8"", ""price_dollars"": ""0.4500"", ""yes_bid_dollars"": ""0.1200"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""1298.02"", ""open_interest_fp"": ""1296.72"", ""dollar_volume"": 649, ""dollar_open_interest"": 648, ""yes_bid_size_fp"": ""450.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""0.34"", ""ts"": 1781669599, ""ts_ms"": 1781669599540, ""time"": ""2026-06-17T04:13:19.5401Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,12,64,36,88,45,1298,1296,ws_ticker
3418766,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,2026-06-17T04:13:20.007538+00:00,,,38,59,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""255c197b-e90f-4c6c-8149-a50559a8fe80"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6"", ""price_dollars"": ""0.7700"", ""yes_bid_dollars"": ""0.4000"", ""yes_ask_dollars"": ""0.7800"", ""volume_fp"": ""5897.62"", ""open_interest_fp"": ""4677.22"", ""dollar_volume"": 2948, ""dollar_open_interest"": 2338, ""yes_bid_size_fp"": ""5.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""1.20"", ""ts"": 1781669599, ""ts_ms"": 1781669599526, ""time"": ""2026-06-17T04:13:19.526677Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,40,78,22,60,77,5897,4677,ws_ticker
3418765,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,2026-06-17T04:13:20.006986+00:00,,,41,42,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""e18aec3f-027a-4ae6-93ef-a451f4d6ed8b"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7"", ""price_dollars"": ""0.6100"", ""yes_bid_dollars"": ""0.2200"", ""yes_ask_dollars"": ""0.6300"", ""volume_fp"": ""2224.22"", ""open_interest_fp"": ""2175.06"", ""dollar_volume"": 1112, ""dollar_open_interest"": 1087, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""5.00"", ""last_trade_size_fp"": ""21.34"", ""ts"": 1781669599, ""ts_ms"": 1781669599510, ""time"": ""2026-06-17T04:13:19.510657Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,22,63,37,78,61,2224,2175,ws_ticker
3418764,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:13:20.006350+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""3.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669599, ""ts_ms"": 1781669599035, ""time"": ""2026-06-17T04:13:19.03589Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3418763,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6,2026-06-17T04:13:20.005629+00:00,,,28,72,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""ed360a1f-9710-4c68-a1a3-02d5df386a83"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6"", ""price_dollars"": ""0.7100"", ""yes_bid_dollars"": ""0.5800"", ""yes_ask_dollars"": ""0.8600"", ""volume_fp"": ""15858.16"", ""open_interest_fp"": ""13764.28"", ""dollar_volume"": 7929, ""dollar_open_interest"": 6882, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""15.00"", ""last_trade_size_fp"": ""115.94"", ""ts"": 1781669598, ""ts_ms"": 1781669598962, ""time"": ""2026-06-17T04:13:18.962576Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,58,86,14,42,71,15858,13764,ws_ticker
3418472,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8,2026-06-17T04:13:19.009173+00:00,,,61,42,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""b44f60d5-dd63-43f9-b361-9aadd408d66f"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH8"", ""price_dollars"": ""0.3100"", ""yes_bid_dollars"": ""0.1200"", ""yes_ask_dollars"": ""0.7300"", ""volume_fp"": ""2649.64"", ""open_interest_fp"": ""1980.38"", ""dollar_volume"": 1324, ""dollar_open_interest"": 990, ""yes_bid_size_fp"": ""50.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669598, ""ts_ms"": 1781669598167, ""time"": ""2026-06-17T04:13:18.167599Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,12,73,27,88,31,2649,1980,ws_ticker
3418471,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8,2026-06-17T04:13:19.008541+00:00,,,54,37,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""1d254009-c1a6-4e0b-97af-854fc91d41b2"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8"", ""price_dollars"": ""0.4500"", ""yes_bid_dollars"": ""0.1000"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""1298.02"", ""open_interest_fp"": ""1296.72"", ""dollar_volume"": 649, ""dollar_open_interest"": 648, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""0.34"", ""ts"": 1781669598, ""ts_ms"": 1781669598167, ""time"": ""2026-06-17T04:13:18.167341Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,10,64,36,90,45,1298,1296,ws_ticker
3418470,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,2026-06-17T04:13:19.007969+00:00,,,43,41,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""e18aec3f-027a-4ae6-93ef-a451f4d6ed8b"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7"", ""price_dollars"": ""0.6100"", ""yes_bid_dollars"": ""0.2000"", ""yes_ask_dollars"": ""0.6300"", ""volume_fp"": ""2224.22"", ""open_interest_fp"": ""2175.06"", ""dollar_volume"": 1112, ""dollar_open_interest"": 1087, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""5.00"", ""last_trade_size_fp"": ""21.34"", ""ts"": 1781669598, ""ts_ms"": 1781669598136, ""time"": ""2026-06-17T04:13:18.136477Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,20,63,37,80,61,2224,2175,ws_ticker
3418469,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,2026-06-17T04:13:19.007379+00:00,,,40,60,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""255c197b-e90f-4c6c-8149-a50559a8fe80"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6"", ""price_dollars"": ""0.7700"", ""yes_bid_dollars"": ""0.4000"", ""yes_ask_dollars"": ""0.8000"", ""volume_fp"": ""5897.62"", ""open_interest_fp"": ""4677.22"", ""dollar_volume"": 2948, ""dollar_open_interest"": 2338, ""yes_bid_size_fp"": ""5.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""1.20"", ""ts"": 1781669598, ""ts_ms"": 1781669598121, ""time"": ""2026-06-17T04:13:18.121104Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,40,80,20,60,77,5897,4677,ws_ticker
3418468,KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6,2026-06-17T04:13:19.006798+00:00,,,28,72,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""ed360a1f-9710-4c68-a1a3-02d5df386a83"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-ATH6"", ""price_dollars"": ""0.7100"", ""yes_bid_dollars"": ""0.5800"", ""yes_ask_dollars"": ""0.8600"", ""volume_fp"": ""15858.16"", ""open_interest_fp"": ""13764.28"", ""dollar_volume"": 7929, ""dollar_open_interest"": 6882, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""14.00"", ""last_trade_size_fp"": ""115.94"", ""ts"": 1781669598, ""ts_ms"": 1781669598081, ""time"": ""2026-06-17T04:13:18.081434Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,58,86,14,42,71,15858,13764,ws_ticker
3418467,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:13:19.006107+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""1.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669597, ""ts_ms"": 1781669597632, ""time"": ""2026-06-17T04:13:17.632326Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3417882,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8,2026-06-17T04:13:18.006564+00:00,,,56,36,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""1d254009-c1a6-4e0b-97af-854fc91d41b2"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT8"", ""price_dollars"": ""0.4500"", ""yes_bid_dollars"": ""0.0800"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""1298.02"", ""open_interest_fp"": ""1296.72"", ""dollar_volume"": 649, ""dollar_open_interest"": 648, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""0.34"", ""ts"": 1781669596, ""ts_ms"": 1781669596922, ""time"": ""2026-06-17T04:13:16.922895Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,8,64,36,92,45,1298,1296,ws_ticker
3417881,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,2026-06-17T04:13:18.005999+00:00,,,45,40,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""e18aec3f-027a-4ae6-93ef-a451f4d6ed8b"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7"", ""price_dollars"": ""0.6100"", ""yes_bid_dollars"": ""0.1800"", ""yes_ask_dollars"": ""0.6300"", ""volume_fp"": ""2224.22"", ""open_interest_fp"": ""2175.06"", ""dollar_volume"": 1112, ""dollar_open_interest"": 1087, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""5.00"", ""last_trade_size_fp"": ""21.34"", ""ts"": 1781669596, ""ts_ms"": 1781669596921, ""time"": ""2026-06-17T04:13:16.921885Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,18,63,37,82,61,2224,2175,ws_ticker
3417880,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6,2026-06-17T04:13:18.005281+00:00,,,42,61,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""255c197b-e90f-4c6c-8149-a50559a8fe80"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT6"", ""price_dollars"": ""0.7700"", ""yes_bid_dollars"": ""0.4000"", ""yes_ask_dollars"": ""0.8200"", ""volume_fp"": ""5897.62"", ""open_interest_fp"": ""4677.22"", ""dollar_volume"": 2948, ""dollar_open_interest"": 2338, ""yes_bid_size_fp"": ""5.00"", ""yes_ask_size_fp"": ""1450.00"", ""last_trade_size_fp"": ""1.20"", ""ts"": 1781669596, ""ts_ms"": 1781669596875, ""time"": ""2026-06-17T04:13:16.875415Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,40,82,18,60,77,5897,4677,ws_ticker
3417321,KXMLBTEAMTOTAL-26JUN161915SFATL-SF8,2026-06-17T04:13:17.007779+00:00,,,57,35,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""54f3b081-212a-4a24-ad23-1bf492100a8e"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN161915SFATL-SF8"", ""price_dollars"": ""0.2000"", ""yes_bid_dollars"": ""0.0700"", ""yes_ask_dollars"": ""0.6400"", ""volume_fp"": ""5341.70"", ""open_interest_fp"": ""5341.70"", ""dollar_volume"": 2670, ""dollar_open_interest"": 2670, ""yes_bid_size_fp"": ""3.00"", ""yes_ask_size_fp"": ""1.00"", ""last_trade_size_fp"": ""1.00"", ""ts"": 1781669595, ""ts_ms"": 1781669595987, ""time"": ""2026-06-17T04:13:15.98729Z""}}",KXMLBTEAMTOTAL-26JUN161915SFATL,mlb,ATL,SF,,team_total,7,64,36,93,20,5341,5341,ws_ticker
3417320,KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7,2026-06-17T04:13:17.007202+00:00,,,47,39,"{""type"": ""ticker"", ""sid"": 1, ""msg"": {""market_id"": ""e18aec3f-027a-4ae6-93ef-a451f4d6ed8b"", ""market_ticker"": ""KXMLBTEAMTOTAL-26JUN162140PITATH-PIT7"", ""price_dollars"": ""0.6100"", ""yes_bid_dollars"": ""0.1600"", ""yes_ask_dollars"": ""0.6300"", ""volume_fp"": ""2224.22"", ""open_interest_fp"": ""2175.06"", ""dollar_volume"": 1112, ""dollar_open_interest"": 1087, ""yes_bid_size_fp"": ""1450.00"", ""yes_ask_size_fp"": ""5.00"", ""last_trade_size_fp"": ""21.34"", ""ts"": 1781669595, ""ts_ms"": 1781669595634, ""time"": ""2026-06-17T04:13:15.634238Z""}}",KXMLBTEAMTOTAL-26JUN162140PITATH,mlb,ATH,PIT,,team_total,16,63,37,84,61,2224,2175,ws_ticker
