id,game_pk,checked_at,status,inning,inning_half,outs,away_score,home_score,balls,strikes,runner_state,current_batter,current_pitcher
17600,824991,2026-06-16T23:55:11.444871,Live,7,bottom,0,5,5,0,2,-2-,Nick Kurtz,Evan Sisk
17599,824912,2026-06-16T23:55:10.288090,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17598,823939,2026-06-16T23:55:09.125561,Live,8,bottom,1,0,1,1,2,,Shohei Ohtani,Cam Booser
17597,823128,2026-06-16T23:55:07.828691,Live,9,top,1,1,3,1,2,1--,Adley Rutschman,Andrés Muñoz
17596,825070,2026-06-16T23:54:36.259146,Live,8,bottom,2,7,0,1,0,1--,Ketel Marte,Kirby Yates
17595,824991,2026-06-16T23:54:34.958844,Live,7,bottom,0,5,5,0,1,-2-,Nick Kurtz,Evan Sisk
17594,824912,2026-06-16T23:54:33.710875,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17593,823939,2026-06-16T23:54:32.496638,Live,8,bottom,1,0,1,0,1,,Shohei Ohtani,Cam Booser
17592,823128,2026-06-16T23:54:31.200712,Live,9,top,1,1,3,1,2,,Adley Rutschman,Andrés Muñoz
17591,825070,2026-06-16T23:53:59.688532,Live,8,bottom,2,7,0,0,0,1--,Ketel Marte,Kirby Yates
17590,824991,2026-06-16T23:53:58.403020,Live,7,bottom,0,5,5,2,1,,Alika Williams,Evan Sisk
17589,824912,2026-06-16T23:53:57.170541,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17588,823939,2026-06-16T23:53:55.899960,Live,8,bottom,1,0,1,0,0,,Chuckie Robinson,Cam Booser
17587,823128,2026-06-16T23:53:54.648094,Live,9,top,1,1,3,1,2,,Adley Rutschman,Andrés Muñoz
17586,825070,2026-06-16T23:53:23.032854,Live,8,bottom,2,7,0,3,1,,Pavin Smith,Kirby Yates
17585,824991,2026-06-16T23:53:21.694260,Live,7,bottom,0,5,5,1,1,,Alika Williams,Evan Sisk
17584,824912,2026-06-16T23:53:20.410698,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17583,823939,2026-06-16T23:53:19.216188,Live,8,bottom,0,0,1,0,0,,Chuckie Robinson,Cam Booser
17582,823128,2026-06-16T23:53:17.927504,Live,9,top,1,1,3,0,0,,Adley Rutschman,Andrés Muñoz
17581,825070,2026-06-16T23:52:46.381385,Live,8,bottom,2,7,0,2,0,,Pavin Smith,Kirby Yates
17580,824991,2026-06-16T23:52:45.078253,Live,7,bottom,0,5,5,0,0,,Alika Williams,Evan Sisk
17579,824912,2026-06-16T23:52:43.850082,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17578,823939,2026-06-16T23:52:42.630659,Live,8,bottom,0,0,1,0,0,,Chuckie Robinson,Cam Booser
17577,823128,2026-06-16T23:52:41.364010,Live,9,top,1,1,3,0,0,,Adley Rutschman,Andrés Muñoz
17576,825070,2026-06-16T23:52:09.791576,Live,8,bottom,2,7,0,1,0,,Pavin Smith,Kirby Yates
17575,824991,2026-06-16T23:52:08.480812,Live,7,top,3,5,5,2,1,,Nick Gonzales,Hogan Harris
17574,824912,2026-06-16T23:52:07.219629,Live,2,bottom,0,3,2,0,0,,Mike Yastrzemski,Adrian Houser
17573,823939,2026-06-16T23:52:05.919738,Live,8,top,3,0,1,0,3,,Taylor Walls,Kyle Hurt
