game_date,away_team,home_team,start_time,away_pitcher,home_pitcher,sportsbook,away_moneyline,home_moneyline,opener_away,opener_home,source_url,parse_method
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,DraftKings,-156,+129,-175,+144,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Milwaukee Brewers,Cincinnati Reds,2026-06-22T23:10:00,B. Woodruff,B. Singer,Fanatics Sportsbook,-150,+125,-195,+160,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Los Angeles Dodgers,Minnesota Twins,2026-06-22T23:40:00,W. Klein,Z. Matthews,BetMGM,-155,+125,-155,+125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Los Angeles Dodgers,Minnesota Twins,2026-06-22T23:40:00,W. Klein,Z. Matthews,FanDuel,-148,+126,-158,+134,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Los Angeles Dodgers,Minnesota Twins,2026-06-22T23:40:00,W. Klein,Z. Matthews,Caesars,-155,+130,-155,+130,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Los Angeles Dodgers,Minnesota Twins,2026-06-22T23:40:00,W. Klein,Z. Matthews,bet365,-167,+125,-167,+125,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Los Angeles Dodgers,Minnesota Twins,2026-06-22T23:40:00,W. Klein,Z. Matthews,DraftKings,-156,+129,-156,+129,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Los Angeles Dodgers,Minnesota Twins,2026-06-22T23:40:00,W. Klein,Z. Matthews,Fanatics Sportsbook,-150,+125,-145,+120,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Cleveland Guardians,Chicago White Sox,2026-06-22T23:40:00,G. Williams,A. Kay,BetMGM,-110,-110,-115,-105,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Cleveland Guardians,Chicago White Sox,2026-06-22T23:40:00,G. Williams,A. Kay,FanDuel,-110,-106,-120,+102,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
2026-06-22,Cleveland Guardians,Chicago White Sox,2026-06-22T23:40:00,G. Williams,A. Kay,Caesars,-110,-110,-115,-105,https://www.sportsbookreview.com/betting-odds/mlb-baseball/?date=2026-06-22,embedded_json
