season,state_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate
2024,down_2_middle_6,1291,0.206,0.3238,0.4361,0.5655,0.4547,0.4547
2025,down_5_plus_middle_6,1288,0.0194,0.0272,0.3773,0.5435,0.4045,0.038
2025,down_2_middle_6,1273,0.1728,0.3009,0.392,0.5169,0.4171,0.4171
2023,down_2_middle_6,1240,0.1984,0.3056,0.3903,0.5379,0.4323,0.4323
2024,down_4_f5_1_5,1221,0.0844,0.1532,0.3931,0.5569,0.4398,0.1507
2025,down_4_f5_1_5,1146,0.0864,0.1257,0.3927,0.5515,0.4564,0.1405
2023,down_4_f5_1_5,1143,0.0971,0.1557,0.4156,0.5608,0.4558,0.1382
2024,down_3_middle_6,1020,0.098,0.1539,0.4118,0.5363,0.4275,0.2392
2023,down_3_middle_6,981,0.1305,0.1978,0.4149,0.5668,0.4506,0.2589
2025,down_3_middle_6,955,0.0974,0.156,0.3916,0.5047,0.422,0.2398
2023,down_5_plus_early_1_3,921,0.0641,0.1042,0.4332,0.6113,0.4734,0.0543
2023,down_4_early_1_3,914,0.1411,0.2144,0.4344,0.57,0.4431,0.1915
2025,down_5_plus_early_1_3,893,0.0649,0.1053,0.3751,0.5532,0.4255,0.0571
2024,down_5_plus_early_1_3,822,0.1071,0.135,0.4161,0.573,0.4672,0.0389
2024,down_4_early_1_3,803,0.1146,0.1918,0.3873,0.5268,0.4247,0.1108
2024,down_4_middle_6,724,0.0691,0.1077,0.4268,0.5359,0.4448,0.1367
2025,down_4_early_1_3,719,0.1099,0.2086,0.4089,0.5535,0.4339,0.1446
2023,down_4_middle_6,684,0.0746,0.1038,0.4108,0.5468,0.424,0.1389
2025,down_4_middle_6,654,0.0673,0.078,0.3593,0.5138,0.3761,0.1147
