season,state_bucket,home_away,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_2_f5_1_5,home,1424,0.8076,0.3287,0.3272,0.5014,0.3862,0.3862,2806,0.7744,0.0332,0.3553,-0.0266,0.3813,-0.0541,0.5474,-0.046,0.4195,-0.0333,0.4195,-0.0333
2024,up_2_f5_1_5,away,1382,0.7402,0.3828,0.437,0.5948,0.4537,0.4537,2806,0.7744,-0.0342,0.3553,0.0275,0.3813,0.0557,0.5474,0.0474,0.4195,0.0342,0.4195,0.0342
2024,up_2_early_1_3,home,1352,0.7981,0.3883,0.2899,0.4874,0.3609,0.3609,3030,0.7429,0.0552,0.4502,-0.0619,0.3835,-0.0936,0.5419,-0.0545,0.4145,-0.0536,0.4145,-0.0536
2025,up_3_late_7_plus,away,1351,0.946,0.0881,0.3457,0.3967,0.3168,0.1628,2484,0.9569,-0.0109,0.0761,0.012,0.318,0.0277,0.3732,0.0235,0.3019,0.0149,0.1514,0.0114
2025,up_2_f5_1_5,away,1320,0.7182,0.4477,0.4629,0.5902,0.4659,0.4659,2589,0.7636,-0.0454,0.4002,0.0475,0.409,0.0539,0.5577,0.0325,0.4434,0.0225,0.4434,0.0225
2025,up_2_f5_1_5,home,1269,0.8109,0.3507,0.353,0.524,0.42,0.42,2589,0.7636,0.0473,0.4002,-0.0495,0.409,-0.056,0.5577,-0.0337,0.4434,-0.0234,0.4434,-0.0234
2023,up_2_early_1_3,home,1246,0.7608,0.4655,0.3371,0.5064,0.4077,0.4077,2917,0.7011,0.0597,0.505,-0.0395,0.432,-0.0949,0.5883,-0.0819,0.4758,-0.0681,0.4758,-0.0681
2023,up_2_f5_1_5,home,1215,0.7802,0.3835,0.3506,0.5235,0.4305,0.4305,2652,0.7534,0.0268,0.4163,-0.0328,0.4427,-0.0921,0.592,-0.0685,0.4729,-0.0424,0.4729,-0.0424
2024,up_4_late_7_plus,away,1208,0.9627,0.0497,0.3493,0.3982,0.3344,0.0927,2139,0.9715,-0.0088,0.0383,0.0114,0.323,0.0263,0.3806,0.0176,0.3249,0.0095,0.0827,0.01
2024,up_3_late_7_plus,home,1196,0.9482,0.0778,0.2968,0.352,0.2968,0.143,2744,0.953,-0.0048,0.0678,0.01,0.3287,-0.0319,0.3812,-0.0292,0.32,-0.0232,0.1396,0.0034
2025,up_2_early_1_3,home,1177,0.7927,0.4036,0.3033,0.48,0.3772,0.3772,2763,0.7351,0.0576,0.4629,-0.0593,0.3959,-0.0926,0.553,-0.073,0.447,-0.0698,0.447,-0.0698
2023,up_4_late_7_plus,away,1175,0.9719,0.0451,0.3557,0.3932,0.3072,0.0877,2125,0.9755,-0.0036,0.0381,0.007,0.3233,0.0324,0.3751,0.0181,0.2894,0.0178,0.0776,0.0101
2023,up_3_late_7_plus,home,1143,0.9633,0.0709,0.3115,0.378,0.2896,0.1514,2579,0.9387,0.0246,0.0954,-0.0245,0.3373,-0.0258,0.3889,-0.0109,0.3075,-0.0179,0.1706,-0.0192
2025,up_3_late_7_plus,home,1133,0.97,0.0618,0.2851,0.3451,0.2842,0.1377,2484,0.9569,0.0131,0.0761,-0.0143,0.318,-0.0329,0.3732,-0.0281,0.3019,-0.0177,0.1514,-0.0137
2025,up_4_late_7_plus,away,1038,0.9711,0.0356,0.3189,0.3603,0.2755,0.0857,1928,0.9761,-0.005,0.0311,0.0045,0.2822,0.0367,0.333,0.0273,0.2573,0.0182,0.0705,0.0152
2023,up_5_plus_f5_1_5,away,1030,0.9417,0.0883,0.4417,0.5913,0.4738,0.0699,1901,0.9605,-0.0188,0.0631,0.0252,0.3924,0.0493,0.5692,0.0221,0.4477,0.0261,0.0568,0.0131
2024,up_3_f5_1_5,away,1008,0.8343,0.255,0.4365,0.5655,0.4593,0.2827,1931,0.8674,-0.0331,0.2258,0.0292,0.392,0.0445,0.5298,0.0357,0.4247,0.0346,0.2496,0.0331
2024,up_5_plus_f5_1_5,away,967,0.9328,0.0889,0.4199,0.5533,0.4447,0.0724,1894,0.9498,-0.017,0.0692,0.0197,0.3685,0.0514,0.5148,0.0385,0.4197,0.025,0.0533,0.0191
2023,up_3_early_1_3,away,952,0.75,0.3866,0.5378,0.6922,0.5431,0.3235,1690,0.774,-0.024,0.3657,0.0209,0.4385,0.0993,0.5964,0.0958,0.458,0.0851,0.2817,0.0418
2023,up_4_late_7_plus,home,950,0.98,0.0295,0.2832,0.3526,0.2674,0.0653,2125,0.9755,0.0045,0.0381,-0.0086,0.3233,-0.0401,0.3751,-0.0225,0.2894,-0.022,0.0776,-0.0123
2023,up_3_f5_1_5,away,941,0.7949,0.3156,0.492,0.6238,0.4963,0.3071,1832,0.8264,-0.0315,0.2735,0.0421,0.4099,0.0821,0.5617,0.0621,0.4481,0.0482,0.2702,0.0369
2024,up_4_late_7_plus,home,931,0.9828,0.0236,0.2889,0.3577,0.3126,0.0698,2139,0.9715,0.0113,0.0383,-0.0147,0.323,-0.0341,0.3806,-0.0229,0.3249,-0.0123,0.0827,-0.0129
2024,up_5_plus_f5_1_5,home,927,0.9676,0.0485,0.315,0.4746,0.3937,0.0334,1894,0.9498,0.0178,0.0692,-0.0207,0.3685,-0.0535,0.5148,-0.0402,0.4197,-0.026,0.0533,-0.0199
2024,up_3_f5_1_5,home,923,0.9036,0.1939,0.3434,0.4908,0.3868,0.2134,1931,0.8674,0.0362,0.2258,-0.0319,0.392,-0.0486,0.5298,-0.039,0.4247,-0.0379,0.2496,-0.0362
2025,up_5_plus_f5_1_5,home,903,0.9679,0.0443,0.3511,0.5017,0.4109,0.052,1789,0.9631,0.0048,0.0598,-0.0155,0.4203,-0.0692,0.5696,-0.0679,0.4477,-0.0368,0.0464,0.0056
2023,up_3_f5_1_5,home,891,0.8597,0.229,0.3232,0.4961,0.3973,0.2312,1832,0.8264,0.0333,0.2735,-0.0445,0.4099,-0.0867,0.5617,-0.0656,0.4481,-0.0508,0.2702,-0.039
2025,up_4_late_7_plus,home,890,0.982,0.0258,0.2393,0.3011,0.236,0.0528,1928,0.9761,0.0059,0.0311,-0.0053,0.2822,-0.0429,0.333,-0.0319,0.2573,-0.0213,0.0705,-0.0177
2025,up_5_plus_f5_1_5,away,886,0.9582,0.0756,0.491,0.6388,0.4853,0.0406,1789,0.9631,-0.0049,0.0598,0.0158,0.4203,0.0707,0.5696,0.0692,0.4477,0.0376,0.0464,-0.0058
2025,up_3_f5_1_5,home,881,0.882,0.202,0.3133,0.4858,0.3939,0.2157,1710,0.8643,0.0177,0.2216,-0.0196,0.3713,-0.058,0.5222,-0.0364,0.4146,-0.0207,0.2444,-0.0287
2024,up_3_early_1_3,away,877,0.7913,0.3136,0.48,0.6021,0.4629,0.2463,1634,0.8237,-0.0324,0.2803,0.0333,0.4002,0.0798,0.5532,0.0489,0.4278,0.0351,0.2301,0.0162
2023,up_5_plus_f5_1_5,home,871,0.9828,0.0333,0.3341,0.5431,0.4168,0.0413,1901,0.9605,0.0223,0.0631,-0.0298,0.3924,-0.0583,0.5692,-0.0261,0.4477,-0.0309,0.0568,-0.0155
2023,up_1_middle_6,away,855,0.6327,0.5228,0.4398,0.5848,0.4667,0.9766,1639,0.6705,-0.0378,0.5095,0.0133,0.3905,0.0493,0.5503,0.0345,0.446,0.0207,0.975,0.0016
2025,up_3_f5_1_5,away,829,0.8456,0.2425,0.4331,0.5609,0.4367,0.275,1710,0.8643,-0.0187,0.2216,0.0209,0.3713,0.0618,0.5222,0.0387,0.4146,0.0221,0.2444,0.0306
2025,up_3_early_1_3,away,825,0.7952,0.3806,0.4921,0.6364,0.5006,0.3115,1574,0.8113,-0.0161,0.3253,0.0553,0.3952,0.0969,0.5559,0.0805,0.425,0.0756,0.2541,0.0574
2024,up_1_middle_6,away,813,0.6101,0.5572,0.4711,0.6199,0.5018,0.9914,1608,0.658,-0.0479,0.51,0.0472,0.3943,0.0768,0.5647,0.0552,0.449,0.0528,0.9826,0.0088
2025,up_1_middle_6,home,807,0.7261,0.4436,0.3123,0.4783,0.3792,0.9752,1601,0.6721,0.054,0.4859,-0.0423,0.3691,-0.0568,0.524,-0.0457,0.4204,-0.0412,0.9781,-0.0029
2024,up_1_middle_6,home,795,0.7069,0.4616,0.3157,0.5082,0.395,0.9736,1608,0.658,0.0489,0.51,-0.0484,0.3943,-0.0786,0.5647,-0.0565,0.449,-0.054,0.9826,-0.009
2025,up_1_middle_6,away,794,0.6171,0.529,0.427,0.5705,0.4622,0.9811,1601,0.6721,-0.055,0.4859,0.0431,0.3691,0.0579,0.524,0.0465,0.4204,0.0418,0.9781,0.003
2023,up_1_middle_6,home,784,0.7117,0.4949,0.3367,0.5128,0.4235,0.9732,1639,0.6705,0.0412,0.5095,-0.0146,0.3905,-0.0538,0.5503,-0.0375,0.446,-0.0225,0.975,-0.0018
2024,up_3_early_1_3,home,757,0.8613,0.2417,0.3078,0.4967,0.3871,0.2114,1634,0.8237,0.0376,0.2803,-0.0386,0.4002,-0.0924,0.5532,-0.0565,0.4278,-0.0407,0.2301,-0.0187
2025,up_3_early_1_3,home,749,0.8291,0.2644,0.2884,0.4673,0.3418,0.1909,1574,0.8113,0.0178,0.3253,-0.0609,0.3952,-0.1068,0.5559,-0.0886,0.425,-0.0832,0.2541,-0.0632
2023,up_3_early_1_3,home,738,0.8049,0.3388,0.3103,0.4729,0.3482,0.2276,1690,0.774,0.0309,0.3657,-0.0269,0.4385,-0.1282,0.5964,-0.1235,0.458,-0.1098,0.2817,-0.0541
2024,up_5_plus_middle_6,home,719,0.9917,0.0209,0.3435,0.4757,0.3894,0.0195,1412,0.9816,0.0101,0.0269,-0.006,0.3817,-0.0382,0.5163,-0.0406,0.4256,-0.0362,0.0276,-0.0081
2023,up_5_plus_middle_6,away,707,0.9689,0.0495,0.4583,0.6195,0.4866,0.0495,1330,0.9805,-0.0116,0.0331,0.0164,0.4113,0.047,0.5887,0.0308,0.4549,0.0317,0.0406,0.0089
2024,up_5_plus_middle_6,away,693,0.9711,0.0332,0.4214,0.5584,0.4632,0.0361,1412,0.9816,-0.0105,0.0269,0.0063,0.3817,0.0397,0.5163,0.0421,0.4256,0.0376,0.0276,0.0085
2024,up_2_middle_6,home,652,0.8144,0.3052,0.3666,0.5291,0.4264,0.4264,1291,0.7885,0.0259,0.3238,-0.0186,0.4361,-0.0695,0.5655,-0.0364,0.4547,-0.0283,0.4547,-0.0283
2025,up_5_plus_middle_6,home,645,0.9891,0.014,0.2946,0.4915,0.3504,0.0326,1288,0.9806,0.0085,0.0272,-0.0132,0.3773,-0.0827,0.5435,-0.052,0.4045,-0.0541,0.038,-0.0054
2025,up_5_plus_middle_6,away,643,0.972,0.0404,0.4603,0.5956,0.4588,0.0435,1288,0.9806,-0.0086,0.0272,0.0132,0.3773,0.083,0.5435,0.0521,0.4045,0.0543,0.038,0.0055
2024,up_2_middle_6,away,639,0.7621,0.3427,0.507,0.6025,0.4836,0.4836,1291,0.7885,-0.0264,0.3238,0.0189,0.4361,0.0709,0.5655,0.037,0.4547,0.0289,0.4547,0.0289
2025,up_2_middle_6,home,639,0.8748,0.2613,0.3552,0.4851,0.4069,0.4069,1273,0.8272,0.0476,0.3009,-0.0396,0.392,-0.0368,0.5169,-0.0318,0.4171,-0.0102,0.4171,-0.0102
2025,up_2_middle_6,away,634,0.7792,0.3407,0.429,0.5489,0.4274,0.4274,1273,0.8272,-0.048,0.3009,0.0398,0.392,0.037,0.5169,0.032,0.4171,0.0103,0.4171,0.0103
2023,up_5_plus_middle_6,home,623,0.9936,0.0144,0.3579,0.5538,0.4189,0.0305,1330,0.9805,0.0131,0.0331,-0.0187,0.4113,-0.0534,0.5887,-0.0349,0.4549,-0.036,0.0406,-0.0101
2023,up_2_middle_6,home,622,0.8424,0.2781,0.3167,0.4887,0.4116,0.4116,1240,0.8016,0.0408,0.3056,-0.0275,0.3903,-0.0736,0.5379,-0.0492,0.4323,-0.0207,0.4323,-0.0207
2023,up_2_middle_6,away,618,0.7605,0.3333,0.4644,0.5874,0.4531,0.4531,1240,0.8016,-0.0411,0.3056,0.0277,0.3903,0.0741,0.5379,0.0495,0.4323,0.0208,0.4323,0.0208
2024,up_4_f5_1_5,away,614,0.9088,0.1775,0.4414,0.5896,0.4544,0.1857,1221,0.914,-0.0052,0.1532,0.0243,0.3931,0.0483,0.5569,0.0327,0.4398,0.0146,0.1507,0.035
2024,up_4_f5_1_5,home,607,0.9193,0.1285,0.3443,0.5239,0.425,0.1153,1221,0.914,0.0053,0.1532,-0.0247,0.3931,-0.0488,0.5569,-0.033,0.4398,-0.0148,0.1507,-0.0354
2025,up_4_f5_1_5,away,602,0.897,0.1645,0.4701,0.6113,0.49,0.1578,1146,0.9136,-0.0166,0.1257,0.0388,0.3927,0.0774,0.5515,0.0598,0.4564,0.0336,0.1405,0.0173
2023,up_5_plus_early_1_3,away,584,0.9212,0.1233,0.4726,0.6267,0.4897,0.0702,921,0.9359,-0.0147,0.1042,0.0191,0.4332,0.0394,0.6113,0.0154,0.4734,0.0163,0.0543,0.0159
2023,up_4_f5_1_5,home,583,0.9434,0.0978,0.3533,0.5009,0.4237,0.0978,1143,0.9029,0.0405,0.1557,-0.0579,0.4156,-0.0623,0.5608,-0.0599,0.4558,-0.0321,0.1382,-0.0404
2023,up_4_f5_1_5,away,560,0.8607,0.2161,0.4804,0.6232,0.4893,0.1804,1143,0.9029,-0.0422,0.1557,0.0604,0.4156,0.0648,0.5608,0.0624,0.4558,0.0335,0.1382,0.0422
2025,up_4_f5_1_5,home,544,0.932,0.0827,0.307,0.4853,0.4191,0.1213,1146,0.9136,0.0184,0.1257,-0.043,0.3927,-0.0857,0.5515,-0.0662,0.4564,-0.0373,0.1405,-0.0192
2024,up_3_middle_6,away,538,0.8866,0.171,0.4814,0.5855,0.487,0.2714,1020,0.902,-0.0154,0.1539,0.0171,0.4118,0.0696,0.5363,0.0492,0.4275,0.0595,0.2392,0.0322
2023,up_4_early_1_3,away,500,0.822,0.234,0.512,0.614,0.486,0.206,914,0.8589,-0.0369,0.2144,0.0196,0.4344,0.0776,0.57,0.044,0.4431,0.0429,0.1915,0.0145
2023,up_3_middle_6,home,499,0.8938,0.1743,0.3407,0.5331,0.4228,0.2445,981,0.8695,0.0243,0.1978,-0.0235,0.4149,-0.0742,0.5668,-0.0337,0.4506,-0.0278,0.2589,-0.0144
2025,up_3_middle_6,home,499,0.9238,0.1403,0.3627,0.497,0.4228,0.2265,955,0.9026,0.0212,0.156,-0.0157,0.3916,-0.0289,0.5047,-0.0077,0.422,0.0008,0.2398,-0.0133
2025,up_5_plus_early_1_3,away,486,0.9095,0.144,0.4486,0.6152,0.4856,0.0658,893,0.9351,-0.0256,0.1053,0.0387,0.3751,0.0735,0.5532,0.062,0.4255,0.0601,0.0571,0.0087
2023,up_3_middle_6,away,482,0.8444,0.222,0.4917,0.6017,0.4793,0.2739,981,0.8695,-0.0251,0.1978,0.0242,0.4149,0.0768,0.5668,0.0349,0.4506,0.0287,0.2589,0.015
2024,up_3_middle_6,home,482,0.9191,0.1349,0.334,0.4813,0.361,0.2033,1020,0.902,0.0171,0.1539,-0.019,0.4118,-0.0778,0.5363,-0.055,0.4275,-0.0665,0.2392,-0.0359
2025,up_3_middle_6,away,456,0.8794,0.1732,0.4232,0.5132,0.4211,0.2544,955,0.9026,-0.0232,0.156,0.0172,0.3916,0.0316,0.5047,0.0085,0.422,-0.0009,0.2398,0.0146
2024,up_5_plus_early_1_3,away,427,0.8595,0.178,0.4333,0.5761,0.4871,0.0468,822,0.8881,-0.0286,0.135,0.043,0.4161,0.0172,0.573,0.0031,0.4672,0.0199,0.0389,0.0079
2024,up_4_early_1_3,away,423,0.8629,0.2246,0.4799,0.5816,0.5012,0.1371,803,0.8829,-0.02,0.1918,0.0328,0.3873,0.0926,0.5268,0.0548,0.4247,0.0765,0.1108,0.0263
2023,up_4_early_1_3,home,414,0.9034,0.1908,0.3406,0.5169,0.3913,0.1739,914,0.8589,0.0445,0.2144,-0.0236,0.4344,-0.0938,0.57,-0.0531,0.4431,-0.0518,0.1915,-0.0176
2025,up_5_plus_early_1_3,home,407,0.9656,0.059,0.2875,0.4791,0.3538,0.0467,893,0.9351,0.0305,0.1053,-0.0463,0.3751,-0.0876,0.5532,-0.0741,0.4255,-0.0717,0.0571,-0.0104
2024,up_5_plus_early_1_3,home,395,0.919,0.0886,0.3975,0.5696,0.4456,0.0304,822,0.8881,0.0309,0.135,-0.0464,0.4161,-0.0186,0.573,-0.0034,0.4672,-0.0216,0.0389,-0.0085
2024,up_4_middle_6,away,392,0.9209,0.125,0.4923,0.5791,0.4668,0.1556,724,0.9282,-0.0073,0.1077,0.0173,0.4268,0.0655,0.5359,0.0432,0.4448,0.022,0.1367,0.0189
2025,up_4_early_1_3,away,386,0.8756,0.2591,0.4534,0.5803,0.4611,0.1528,719,0.8901,-0.0145,0.2086,0.0505,0.4089,0.0445,0.5535,0.0268,0.4339,0.0272,0.1446,0.0082
2024,up_4_early_1_3,home,380,0.9053,0.1553,0.2842,0.4658,0.3395,0.0816,803,0.8829,0.0224,0.1918,-0.0365,0.3873,-0.1031,0.5268,-0.061,0.4247,-0.0852,0.1108,-0.0292
2023,up_4_middle_6,away,354,0.9068,0.1215,0.4944,0.6073,0.4633,0.1412,684,0.9254,-0.0186,0.1038,0.0177,0.4108,0.0836,0.5468,0.0605,0.424,0.0393,0.1389,0.0023
2025,up_4_middle_6,home,350,0.9486,0.06,0.3343,0.4829,0.3686,0.1029,654,0.9327,0.0159,0.078,-0.018,0.3593,-0.025,0.5138,-0.0309,0.3761,-0.0075,0.1147,-0.0118
2023,up_5_plus_early_1_3,home,337,0.9614,0.0712,0.365,0.5846,0.4451,0.0267,921,0.9359,0.0255,0.1042,-0.033,0.4332,-0.0682,0.6113,-0.0267,0.4734,-0.0283,0.0543,-0.0276
2025,up_4_early_1_3,home,333,0.9069,0.1502,0.3574,0.5225,0.4024,0.1351,719,0.8901,0.0168,0.2086,-0.0584,0.4089,-0.0515,0.5535,-0.031,0.4339,-0.0315,0.1446,-0.0095
2024,up_4_middle_6,home,332,0.9367,0.0873,0.3494,0.4849,0.4187,0.1145,724,0.9282,0.0085,0.1077,-0.0204,0.4268,-0.0774,0.5359,-0.051,0.4448,-0.0261,0.1367,-0.0222
2023,up_4_middle_6,home,330,0.9455,0.0848,0.3212,0.4818,0.3818,0.1364,684,0.9254,0.0201,0.1038,-0.019,0.4108,-0.0896,0.5468,-0.065,0.424,-0.0422,0.1389,-0.0025
