season,state_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_1_late_7_plus,45_50,1282,0.7839,0.2956,0.3237,0.3658,0.2956,0.9727,4150,0.7598,0.0241,0.3383,-0.0427,0.3525,-0.0288,0.4051,-0.0393,0.3383,-0.0427,0.974,-0.0013
2023,up_1_f5_1_5,50_55,1234,0.671,0.5543,0.3744,0.5324,0.4206,0.9692,3577,0.6472,0.0238,0.5801,-0.0258,0.4082,-0.0338,0.5639,-0.0315,0.4507,-0.0301,0.9723,-0.0031
2025,up_2_late_7_plus,50_55,1197,0.883,0.1921,0.3542,0.4052,0.3434,0.3434,3185,0.8942,-0.0112,0.1799,0.0122,0.3341,0.0201,0.3962,0.009,0.3353,0.0081,0.3353,0.0081
2023,up_1_early_1_3,45_50,1195,0.6017,0.6477,0.4209,0.5665,0.4477,0.9506,5257,0.6173,-0.0156,0.6371,0.0106,0.4141,0.0068,0.5632,0.0033,0.4392,0.0085,0.9583,-0.0077
2024,up_1_f5_1_5,50_55,1155,0.6693,0.5688,0.4312,0.5913,0.4623,0.9732,3704,0.6547,0.0146,0.5702,-0.0014,0.4023,0.0289,0.5664,0.0249,0.4355,0.0268,0.9754,-0.0022
2025,up_5_plus_late_7_plus,45_50,1153,0.9853,0.0191,0.3313,0.3868,0.32,0.0278,5064,0.9943,-0.009,0.0079,0.0112,0.3474,-0.0161,0.4017,-0.0149,0.3323,-0.0123,0.0166,0.0112
2024,up_1_late_7_plus,50_55,1148,0.7918,0.3066,0.3528,0.3972,0.3066,0.9721,4150,0.7598,0.032,0.3383,-0.0317,0.3525,0.0003,0.4051,-0.0079,0.3383,-0.0317,0.974,-0.0019
2024,up_1_f5_1_5,45_50,1128,0.6543,0.5532,0.3865,0.5443,0.4176,0.9725,3704,0.6547,-0.0004,0.5702,-0.017,0.4023,-0.0158,0.5664,-0.0221,0.4355,-0.0179,0.9754,-0.0029
2023,up_1_late_7_plus,45_50,1099,0.7962,0.2866,0.3039,0.3412,0.2866,0.9736,4144,0.7734,0.0228,0.3313,-0.0447,0.3448,-0.0409,0.3924,-0.0512,0.3313,-0.0447,0.9718,0.0018
2025,up_2_early_1_3,50_55,1073,0.726,0.4623,0.3672,0.5303,0.4287,0.4287,2763,0.7351,-0.0091,0.4629,-0.0006,0.3959,-0.0287,0.553,-0.0227,0.447,-0.0183,0.447,-0.0183
2024,up_2_late_7_plus,45_50,1070,0.8738,0.157,0.3243,0.3897,0.3374,0.3374,3327,0.8744,-0.0006,0.1776,-0.0206,0.3408,-0.0165,0.3956,-0.0059,0.3267,0.0107,0.3267,0.0107
