season,state_bucket,offense_form_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_2_f5_1_5,50_55,725,0.7407,0.3834,0.3931,0.5366,0.4317,0.4317,2806,0.7744,-0.0337,0.3553,0.0281,0.3813,0.0118,0.5474,-0.0108,0.4195,0.0122,0.4195,0.0122
2025,up_2_f5_1_5,45_50,722,0.7382,0.4141,0.4114,0.5512,0.4446,0.4446,2589,0.7636,-0.0254,0.4002,0.0139,0.409,0.0024,0.5577,-0.0065,0.4434,0.0012,0.4434,0.0012
2025,up_2_early_1_3,50_55,711,0.7398,0.436,0.3896,0.5499,0.4416,0.4416,2763,0.7351,0.0047,0.4629,-0.0269,0.3959,-0.0063,0.553,-0.0031,0.447,-0.0054,0.447,-0.0054
2024,up_3_late_7_plus,50_55,695,0.941,0.0763,0.3237,0.3741,0.3036,0.1252,2744,0.953,-0.012,0.0678,0.0085,0.3287,-0.005,0.3812,-0.0071,0.32,-0.0164,0.1396,-0.0144
2024,up_1_late_7_plus,40_45,681,0.8385,0.2643,0.2981,0.3465,0.2643,0.9809,4150,0.7598,0.0787,0.3383,-0.074,0.3525,-0.0544,0.4051,-0.0586,0.3383,-0.074,0.974,0.0069
2023,up_3_late_7_plus,45_50,678,0.9351,0.0826,0.3407,0.4027,0.3201,0.1578,2579,0.9387,-0.0036,0.0954,-0.0128,0.3373,0.0034,0.3889,0.0138,0.3075,0.0126,0.1706,-0.0128
2023,up_5_plus_late_7_plus,40_45,663,1.0,0.0,0.3952,0.4691,0.3891,0.006,4855,0.9946,0.0054,0.0072,-0.0072,0.3574,0.0378,0.4122,0.0569,0.3429,0.0462,0.0185,-0.0125
2025,up_2_f5_1_5,50_55,658,0.7888,0.3891,0.4331,0.5729,0.4742,0.4742,2589,0.7636,0.0252,0.4002,-0.0111,0.409,0.0241,0.5577,0.0152,0.4434,0.0308,0.4434,0.0308
2023,up_1_late_7_plus,40_45,652,0.7761,0.3466,0.3267,0.3911,0.3466,0.9831,4144,0.7734,0.0027,0.3313,0.0153,0.3448,-0.0181,0.3924,-0.0013,0.3313,0.0153,0.9718,0.0113
2023,up_4_late_7_plus,50_55,648,0.9799,0.0448,0.3333,0.392,0.2917,0.0941,2125,0.9755,0.0044,0.0381,0.0067,0.3233,0.01,0.3751,0.0169,0.2894,0.0023,0.0776,0.0165
