season,state_bucket,opponent_run_prevention_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_4_late_7_plus,50_55,619,0.9742,0.0323,0.3457,0.3764,0.3086,0.0743,2125,0.9755,-0.0013,0.0381,-0.0058,0.3233,0.0224,0.3751,0.0013,0.2894,0.0192,0.0776,-0.0033
2025,up_2_f5_1_5,45_50,606,0.7492,0.4092,0.4274,0.5578,0.4554,0.4554,2589,0.7636,-0.0144,0.4002,0.009,0.409,0.0184,0.5577,0.0001,0.4434,0.012,0.4434,0.012
2023,up_2_late_7_plus,55_60,602,0.8754,0.1777,0.3505,0.4252,0.3505,0.3505,3321,0.8814,-0.006,0.174,0.0037,0.3342,0.0163,0.3927,0.0325,0.3219,0.0286,0.3219,0.0286
2025,up_1_late_7_plus,40_45,601,0.817,0.2895,0.3095,0.3561,0.2895,0.9784,4136,0.7962,0.0208,0.3039,-0.0144,0.3138,-0.0043,0.3656,-0.0095,0.3039,-0.0144,0.9768,0.0016
2024,up_4_late_7_plus,50_55,596,0.9698,0.0419,0.3087,0.3641,0.3171,0.0973,2139,0.9715,-0.0017,0.0383,0.0036,0.323,-0.0143,0.3806,-0.0165,0.3249,-0.0078,0.0827,0.0146
2024,up_2_late_7_plus,55_60,588,0.8827,0.1446,0.2959,0.3418,0.2925,0.2925,3327,0.8744,0.0083,0.1776,-0.033,0.3408,-0.0449,0.3956,-0.0538,0.3267,-0.0342,0.3267,-0.0342
2024,up_1_late_7_plus,40_45,587,0.7359,0.3424,0.3663,0.4378,0.3424,0.9693,4150,0.7598,-0.0239,0.3383,0.0041,0.3525,0.0138,0.4051,0.0327,0.3383,0.0041,0.974,-0.0047
2023,up_1_late_7_plus,40_45,586,0.8259,0.2474,0.2662,0.2867,0.2474,0.9761,4144,0.7734,0.0525,0.3313,-0.0839,0.3448,-0.0786,0.3924,-0.1057,0.3313,-0.0839,0.9718,0.0043
2023,up_1_f5_1_5,55_60,556,0.6763,0.5971,0.4299,0.5683,0.4622,0.9784,3577,0.6472,0.0291,0.5801,0.017,0.4082,0.0217,0.5639,0.0044,0.4507,0.0115,0.9723,0.0061
2024,up_2_early_1_3,55_60,555,0.7261,0.427,0.3676,0.5441,0.4054,0.4054,3030,0.7429,-0.0168,0.4502,-0.0232,0.3835,-0.0159,0.5419,0.0022,0.4145,-0.0091,0.4145,-0.0091
2024,up_3_f5_1_5,50_55,549,0.8962,0.2022,0.388,0.5155,0.4208,0.2259,1931,0.8674,0.0288,0.2258,-0.0236,0.392,-0.004,0.5298,-0.0143,0.4247,-0.0039,0.2496,-0.0237
2025,up_2_late_7_plus,55_60,547,0.8976,0.1792,0.3382,0.4004,0.3163,0.3163,3185,0.8942,0.0034,0.1799,-0.0007,0.3341,0.0041,0.3962,0.0042,0.3353,-0.019,0.3353,-0.019
2025,up_4_late_7_plus,45_50,541,0.9723,0.0407,0.2754,0.3272,0.2477,0.0758,1928,0.9761,-0.0038,0.0311,0.0096,0.2822,-0.0068,0.333,-0.0058,0.2573,-0.0096,0.0705,0.0053
2023,up_5_plus_f5_1_5,50_55,534,0.9794,0.0543,0.3577,0.53,0.3989,0.0506,1901,0.9605,0.0189,0.0631,-0.0088,0.3924,-0.0347,0.5692,-0.0392,0.4477,-0.0488,0.0568,-0.0062
