season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_1_f5_1_5,45_50,862,0.42,0.6172,0.4153,0.58,0.4814,0.9675,3632,0.3648,0.0552,0.5765,0.0407,0.4025,0.0128,0.5498,0.0302,0.4452,0.0362,0.9722,-0.0047
2024,down_3_late_7_plus,50_55,846,0.0402,0.0626,0.3345,0.3948,0.3227,0.1383,2744,0.0466,-0.0064,0.0678,-0.0052,0.3287,0.0058,0.3812,0.0136,0.32,0.0027,0.1396,-0.0013
2023,down_2_early_1_3,45_50,844,0.295,0.4964,0.4893,0.6303,0.5166,0.5166,2917,0.2989,-0.0039,0.505,-0.0086,0.432,0.0573,0.5883,0.042,0.4758,0.0408,0.4758,0.0408
2023,down_2_early_1_3,50_55,823,0.3038,0.5358,0.4313,0.6233,0.5067,0.5067,2917,0.2989,0.0049,0.505,0.0308,0.432,-0.0007,0.5883,0.035,0.4758,0.0309,0.4758,0.0309
2024,down_2_f5_1_5,50_55,821,0.2314,0.3666,0.3666,0.5238,0.4275,0.4275,2806,0.2217,0.0097,0.3553,0.0113,0.3813,-0.0147,0.5474,-0.0236,0.4195,0.008,0.4195,0.008
2023,down_2_f5_1_5,50_55,820,0.2549,0.4183,0.4561,0.6037,0.4793,0.4793,2652,0.2466,0.0083,0.4163,0.002,0.4427,0.0134,0.592,0.0117,0.4729,0.0064,0.4729,0.0064
2025,down_2_early_1_3,50_55,806,0.2854,0.4665,0.402,0.5794,0.4529,0.4529,2763,0.2649,0.0205,0.4629,0.0036,0.3959,0.0061,0.553,0.0264,0.447,0.0059,0.447,0.0059
2025,down_1_late_7_plus,55_60,804,0.1418,0.2736,0.3072,0.3445,0.2736,0.9789,4136,0.2038,-0.062,0.3039,-0.0303,0.3138,-0.0066,0.3656,-0.0211,0.3039,-0.0303,0.9768,0.0021
2025,down_3_late_7_plus,50_55,804,0.0423,0.0709,0.2649,0.3184,0.2562,0.1294,2484,0.0431,-0.0008,0.0761,-0.0052,0.318,-0.0531,0.3732,-0.0548,0.3019,-0.0457,0.1514,-0.022
2023,down_3_late_7_plus,50_55,779,0.0488,0.0809,0.3145,0.371,0.2978,0.1707,2579,0.0613,-0.0125,0.0954,-0.0145,0.3373,-0.0228,0.3889,-0.0179,0.3075,-0.0097,0.1706,0.0001
2025,down_1_early_1_3,40_45,773,0.401,0.5951,0.3803,0.5136,0.4127,0.9495,5522,0.3892,0.0118,0.648,-0.0529,0.404,-0.0237,0.5594,-0.0458,0.4591,-0.0464,0.958,-0.0085
2023,down_3_late_7_plus,45_50,771,0.0571,0.0791,0.3243,0.3735,0.2866,0.1479,2579,0.0613,-0.0042,0.0954,-0.0163,0.3373,-0.013,0.3889,-0.0154,0.3075,-0.0209,0.1706,-0.0227
2025,down_2_late_7_plus,45_50,760,0.0921,0.1776,0.3329,0.3816,0.2947,0.2947,3185,0.1058,-0.0137,0.1799,-0.0023,0.3341,-0.0012,0.3962,-0.0146,0.3353,-0.0406,0.3353,-0.0406
2025,down_5_plus_late_7_plus,40_45,751,0.004,0.004,0.3356,0.3862,0.3289,0.0053,5064,0.0057,-0.0017,0.0079,-0.0039,0.3474,-0.0118,0.4017,-0.0155,0.3323,-0.0034,0.0166,-0.0113
