season,state_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2024,down_2_late_7_plus,50_55,883,0.1438,0.1857,0.3284,0.3907,0.3114,0.3114,3327,0.1214,0.0224,0.1776,0.0081,0.3408,-0.0124,0.3956,-0.0049,0.3267,-0.0153,0.3267,-0.0153
2025,down_2_late_7_plus,45_50,880,0.0909,0.1761,0.317,0.3784,0.3284,0.3284,3185,0.1058,-0.0149,0.1799,-0.0038,0.3341,-0.0171,0.3962,-0.0178,0.3353,-0.0069,0.3353,-0.0069
2025,down_2_late_7_plus,50_55,870,0.1103,0.192,0.3356,0.4034,0.346,0.346,3185,0.1058,0.0045,0.1799,0.0121,0.3341,0.0015,0.3962,0.0072,0.3353,0.0107,0.3353,0.0107
2025,down_5_plus_late_7_plus,40_45,866,0.0104,0.0127,0.3568,0.4053,0.3603,0.03,5064,0.0057,0.0047,0.0079,0.0048,0.3474,0.0094,0.4017,0.0036,0.3323,0.028,0.0166,0.0134
2024,down_2_early_1_3,45_50,843,0.2456,0.4223,0.3737,0.5338,0.4199,0.4199,3030,0.2554,-0.0098,0.4502,-0.0279,0.3835,-0.0098,0.5419,-0.0081,0.4145,0.0054,0.4145,0.0054
2024,down_3_late_7_plus,45_50,837,0.0514,0.0741,0.319,0.3728,0.3082,0.1481,2744,0.0466,0.0048,0.0678,0.0063,0.3287,-0.0097,0.3812,-0.0084,0.32,-0.0118,0.1396,0.0085
2024,down_2_early_1_3,50_55,820,0.2573,0.4829,0.3537,0.5329,0.4159,0.4159,3030,0.2554,0.0019,0.4502,0.0327,0.3835,-0.0298,0.5419,-0.009,0.4145,0.0014,0.4145,0.0014
2025,down_1_early_1_3,55_60,820,0.411,0.6756,0.4024,0.572,0.4683,0.9524,5522,0.3892,0.0218,0.648,0.0276,0.404,-0.0016,0.5594,0.0126,0.4591,0.0092,0.958,-0.0056
2024,down_2_f5_1_5,45_50,814,0.2039,0.3329,0.3894,0.5344,0.4201,0.4201,2806,0.2217,-0.0178,0.3553,-0.0224,0.3813,0.0081,0.5474,-0.013,0.4195,0.0006,0.4195,0.0006
2023,down_2_f5_1_5,45_50,813,0.2165,0.3911,0.4391,0.5855,0.4649,0.4649,2652,0.2466,-0.0301,0.4163,-0.0252,0.4427,-0.0036,0.592,-0.0065,0.4729,-0.008,0.4729,-0.008
2025,down_2_early_1_3,45_50,789,0.2471,0.4322,0.3764,0.5298,0.4246,0.4246,2763,0.2649,-0.0178,0.4629,-0.0307,0.3959,-0.0195,0.553,-0.0232,0.447,-0.0224,0.447,-0.0224
2024,down_1_late_7_plus,40_45,777,0.2355,0.3436,0.3655,0.417,0.3436,0.9665,4150,0.232,0.0035,0.3383,0.0053,0.3525,0.013,0.4051,0.0119,0.3383,0.0053,0.974,-0.0075
2023,down_1_early_1_3,55_60,773,0.3997,0.6417,0.4204,0.5602,0.4386,0.9521,5257,0.3827,0.017,0.6371,0.0046,0.4141,0.0063,0.5632,-0.003,0.4392,-0.0006,0.9583,-0.0062
2024,down_2_f5_1_5,50_55,761,0.2365,0.3968,0.435,0.6032,0.477,0.477,2806,0.2217,0.0148,0.3553,0.0415,0.3813,0.0537,0.5474,0.0558,0.4195,0.0575,0.4195,0.0575
2023,down_3_late_7_plus,45_50,756,0.0648,0.0899,0.3214,0.3743,0.291,0.1508,2579,0.0613,0.0035,0.0954,-0.0055,0.3373,-0.0159,0.3889,-0.0146,0.3075,-0.0165,0.1706,-0.0198
2023,down_1_late_7_plus,40_45,736,0.2554,0.3709,0.3967,0.4416,0.3709,0.9715,4144,0.2266,0.0288,0.3313,0.0396,0.3448,0.0519,0.3924,0.0492,0.3313,0.0396,0.9718,-0.0003
2024,down_1_f5_1_5,40_45,733,0.3274,0.5498,0.3752,0.5266,0.4311,0.9795,3704,0.3386,-0.0112,0.5702,-0.0204,0.4023,-0.0271,0.5664,-0.0398,0.4355,-0.0044,0.9754,0.0041
2025,down_5_plus_late_7_plus,55_60,730,0.0,0.0,0.3027,0.3438,0.2671,0.0027,5064,0.0057,-0.0057,0.0079,-0.0079,0.3474,-0.0447,0.4017,-0.0579,0.3323,-0.0652,0.0166,-0.0139
2025,down_2_f5_1_5,45_50,722,0.2299,0.3698,0.3809,0.5305,0.4114,0.4114,2589,0.2364,-0.0065,0.4002,-0.0304,0.409,-0.0281,0.5577,-0.0272,0.4434,-0.032,0.4434,-0.032
2023,down_2_early_1_3,50_55,720,0.3292,0.5694,0.4667,0.6236,0.5028,0.5028,2917,0.2989,0.0303,0.505,0.0644,0.432,0.0347,0.5883,0.0353,0.4758,0.027,0.4758,0.027
2025,down_1_late_7_plus,40_45,718,0.1922,0.2827,0.2967,0.3649,0.2827,0.9735,4136,0.2038,-0.0116,0.3039,-0.0212,0.3138,-0.0171,0.3656,-0.0007,0.3039,-0.0212,0.9768,-0.0033
2023,down_2_f5_1_5,50_55,701,0.2625,0.4608,0.4608,0.6177,0.4893,0.4893,2652,0.2466,0.0159,0.4163,0.0445,0.4427,0.0181,0.592,0.0257,0.4729,0.0164,0.4729,0.0164
2025,down_2_early_1_3,50_55,700,0.2543,0.4514,0.3571,0.5286,0.44,0.44,2763,0.2649,-0.0106,0.4629,-0.0115,0.3959,-0.0388,0.553,-0.0244,0.447,-0.007,0.447,-0.007
2025,down_2_f5_1_5,50_55,699,0.2446,0.4335,0.4263,0.5894,0.4793,0.4793,2589,0.2364,0.0082,0.4002,0.0333,0.409,0.0173,0.5577,0.0317,0.4434,0.0359,0.4434,0.0359
2024,down_3_late_7_plus,50_55,698,0.0415,0.0559,0.2937,0.3467,0.2994,0.1175,2744,0.0466,-0.0051,0.0678,-0.0119,0.3287,-0.035,0.3812,-0.0345,0.32,-0.0206,0.1396,-0.0221
2025,down_3_late_7_plus,45_50,691,0.0333,0.055,0.314,0.3777,0.3111,0.1302,2484,0.0431,-0.0098,0.0761,-0.0211,0.318,-0.004,0.3732,0.0045,0.3019,0.0092,0.1514,-0.0212
2024,down_1_early_1_3,55_60,683,0.3719,0.6457,0.4641,0.6032,0.4993,0.9414,5340,0.3575,0.0144,0.6305,0.0152,0.3964,0.0677,0.5468,0.0564,0.4255,0.0738,0.9541,-0.0127
2024,down_5_plus_late_7_plus,55_60,677,0.0133,0.0281,0.3294,0.3767,0.3309,0.0502,5053,0.0073,0.006,0.0113,0.0168,0.3275,0.0019,0.3794,-0.0027,0.3137,0.0172,0.0263,0.0239
2024,down_2_late_7_plus,40_45,660,0.1197,0.1758,0.3364,0.3788,0.3106,0.3106,3327,0.1214,-0.0017,0.1776,-0.0018,0.3408,-0.0044,0.3956,-0.0168,0.3267,-0.0161,0.3267,-0.0161
2023,down_5_plus_f5_1_5,45_50,658,0.035,0.0502,0.3982,0.5669,0.4119,0.0517,1901,0.0395,-0.0045,0.0631,-0.0129,0.3924,0.0058,0.5692,-0.0023,0.4477,-0.0358,0.0568,-0.0051
2025,down_3_late_7_plus,50_55,644,0.0404,0.073,0.3634,0.4332,0.3276,0.1522,2484,0.0431,-0.0027,0.0761,-0.0031,0.318,0.0454,0.3732,0.06,0.3019,0.0257,0.1514,0.0008
2023,down_3_late_7_plus,50_55,642,0.0389,0.067,0.324,0.3832,0.2897,0.1651,2579,0.0613,-0.0224,0.0954,-0.0284,0.3373,-0.0133,0.3889,-0.0057,0.3075,-0.0178,0.1706,-0.0055
2023,down_1_f5_1_5,40_45,637,0.3438,0.6185,0.4144,0.573,0.4678,0.9686,3577,0.3528,-0.009,0.5801,0.0384,0.4082,0.0062,0.5639,0.0091,0.4507,0.0171,0.9723,-0.0037
2024,down_4_late_7_plus,45_50,631,0.0206,0.0333,0.3471,0.4041,0.3661,0.0887,2139,0.0276,-0.007,0.0383,-0.005,0.323,0.0241,0.3806,0.0235,0.3249,0.0412,0.0827,0.006
2023,down_5_plus_late_7_plus,55_60,627,0.0,0.0,0.362,0.4306,0.378,0.0096,4855,0.0054,-0.0054,0.0072,-0.0072,0.3574,0.0046,0.4122,0.0184,0.3429,0.0351,0.0185,-0.0089
2025,down_1_late_7_plus,55_60,615,0.2374,0.3252,0.3512,0.3984,0.3252,0.9756,4136,0.2038,0.0336,0.3039,0.0213,0.3138,0.0374,0.3656,0.0328,0.3039,0.0213,0.9768,-0.0012
2023,down_4_late_7_plus,45_50,611,0.0327,0.0393,0.3208,0.3633,0.3093,0.0769,2125,0.0245,0.0082,0.0381,0.0012,0.3233,-0.0025,0.3751,-0.0118,0.2894,0.0199,0.0776,-0.0007
2024,down_2_early_1_3,40_45,602,0.2392,0.4502,0.4003,0.5382,0.4153,0.4153,3030,0.2554,-0.0162,0.4502,0.0,0.3835,0.0168,0.5419,-0.0037,0.4145,0.0008,0.4145,0.0008
2024,down_4_late_7_plus,50_55,597,0.0151,0.0235,0.2948,0.3467,0.2881,0.0519,2139,0.0276,-0.0125,0.0383,-0.0148,0.323,-0.0282,0.3806,-0.0339,0.3249,-0.0368,0.0827,-0.0308
2023,down_2_late_7_plus,40_45,593,0.1619,0.1973,0.3592,0.398,0.317,0.317,3321,0.1186,0.0433,0.174,0.0233,0.3342,0.025,0.3927,0.0053,0.3219,-0.0049,0.3219,-0.0049
2023,down_1_late_7_plus,55_60,582,0.2182,0.3162,0.3127,0.3591,0.3162,0.9777,4144,0.2266,-0.0084,0.3313,-0.0151,0.3448,-0.0321,0.3924,-0.0333,0.3313,-0.0151,0.9718,0.0059
2024,down_5_plus_f5_1_5,45_50,564,0.0443,0.0674,0.3316,0.4787,0.3918,0.0461,1894,0.0491,-0.0048,0.0692,-0.0018,0.3685,-0.0369,0.5148,-0.0361,0.4197,-0.0279,0.0533,-0.0072
2023,down_4_late_7_plus,50_55,560,0.0125,0.0321,0.3,0.35,0.2625,0.0821,2125,0.0245,-0.012,0.0381,-0.006,0.3233,-0.0233,0.3751,-0.0251,0.2894,-0.0269,0.0776,0.0045
2024,down_2_f5_1_5,40_45,550,0.2091,0.3309,0.3382,0.5236,0.3836,0.3836,2806,0.2217,-0.0126,0.3553,-0.0244,0.3813,-0.0431,0.5474,-0.0238,0.4195,-0.0359,0.4195,-0.0359
2024,down_3_f5_1_5,45_50,545,0.1174,0.2257,0.4128,0.5174,0.4239,0.2624,1931,0.13,-0.0126,0.2258,-0.0001,0.392,0.0208,0.5298,-0.0124,0.4247,-0.0008,0.2496,0.0128
2025,down_1_f5_1_5,40_45,545,0.2991,0.5266,0.4165,0.5596,0.4422,0.9596,3632,0.3648,-0.0657,0.5765,-0.0499,0.4025,0.014,0.5498,0.0098,0.4452,-0.003,0.9722,-0.0126
2024,down_3_f5_1_5,50_55,544,0.1232,0.193,0.3879,0.5184,0.4228,0.2316,1931,0.13,-0.0068,0.2258,-0.0328,0.392,-0.0041,0.5298,-0.0114,0.4247,-0.0019,0.2496,-0.018
2025,down_1_f5_1_5,55_60,537,0.3929,0.5996,0.4246,0.5456,0.4488,0.9758,3632,0.3648,0.0281,0.5765,0.0231,0.4025,0.0221,0.5498,-0.0042,0.4452,0.0036,0.9722,0.0036
2023,down_3_early_1_3,45_50,535,0.1981,0.3065,0.4224,0.5963,0.428,0.2467,1690,0.226,-0.0279,0.3657,-0.0592,0.4385,-0.0161,0.5964,-0.0001,0.458,-0.03,0.2817,-0.035
2023,down_3_f5_1_5,45_50,530,0.1642,0.2642,0.4057,0.534,0.4226,0.2642,1832,0.1736,-0.0094,0.2735,-0.0093,0.4099,-0.0042,0.5617,-0.0277,0.4481,-0.0255,0.2702,-0.006
2025,down_4_late_7_plus,50_55,522,0.0268,0.0383,0.2931,0.3333,0.2663,0.0766,1928,0.0239,0.0029,0.0311,0.0072,0.2822,0.0109,0.333,0.0003,0.2573,0.009,0.0705,0.0061
2024,down_1_late_7_plus,55_60,521,0.2246,0.3608,0.3666,0.4242,0.3608,0.977,4150,0.232,-0.0074,0.3383,0.0225,0.3525,0.0141,0.4051,0.0191,0.3383,0.0225,0.974,0.003
2025,down_2_late_7_plus,40_45,516,0.0872,0.1279,0.3062,0.3547,0.3023,0.3023,3185,0.1058,-0.0186,0.1799,-0.052,0.3341,-0.0279,0.3962,-0.0415,0.3353,-0.033,0.3353,-0.033
2024,down_5_plus_f5_1_5,50_55,513,0.0526,0.076,0.4035,0.5361,0.4308,0.0702,1894,0.0491,0.0035,0.0692,0.0068,0.3685,0.035,0.5148,0.0213,0.4197,0.0111,0.0533,0.0169
2025,down_4_late_7_plus,45_50,511,0.0137,0.0254,0.2779,0.3425,0.2701,0.0665,1928,0.0239,-0.0102,0.0311,-0.0057,0.2822,-0.0043,0.333,0.0095,0.2573,0.0128,0.0705,-0.004
2023,down_2_late_7_plus,55_60,508,0.126,0.189,0.3543,0.4409,0.3425,0.3425,3321,0.1186,0.0074,0.174,0.015,0.3342,0.0201,0.3927,0.0482,0.3219,0.0206,0.3219,0.0206
2023,down_1_f5_1_5,55_60,506,0.3676,0.6146,0.4387,0.581,0.504,0.9723,3577,0.3528,0.0148,0.5801,0.0345,0.4082,0.0305,0.5639,0.0171,0.4507,0.0533,0.9723,0.0
2025,down_5_plus_f5_1_5,45_50,504,0.0377,0.0556,0.4683,0.5952,0.4663,0.0317,1789,0.0369,0.0008,0.0598,-0.0042,0.4203,0.048,0.5696,0.0256,0.4477,0.0186,0.0464,-0.0147
2024,down_3_late_7_plus,40_45,491,0.0367,0.0591,0.3442,0.389,0.3096,0.1202,2744,0.0466,-0.0099,0.0678,-0.0087,0.3287,0.0155,0.3812,0.0078,0.32,-0.0104,0.1396,-0.0194
2025,down_3_late_7_plus,40_45,491,0.0591,0.0937,0.2892,0.3279,0.2709,0.165,2484,0.0431,0.016,0.0761,0.0176,0.318,-0.0288,0.3732,-0.0453,0.3019,-0.031,0.1514,0.0136
2025,down_3_f5_1_5,50_55,489,0.1697,0.2843,0.3824,0.544,0.4151,0.2781,1710,0.1357,0.034,0.2216,0.0627,0.3713,0.0111,0.5222,0.0218,0.4146,0.0005,0.2444,0.0337
