model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
tier_modifier,lead,up_2_early_1_3,home_away,home,"2023,2024,2025",3775,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7839,0.0575,0.0552,0.0597
tier_modifier,lead,up_2_early_1_3,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",1748,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7857,0.0593,0.0545,0.0661
tier_modifier,lead,up_2_early_1_3,offense_form_bucket,55_60,"2023,2024,2025",1218,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7872,0.0609,0.042,0.0772
tier_modifier,lead,up_2_early_1_3,offense_form_bucket,60_plus,"2023,2024,2025",789,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.789,0.0626,0.0091,0.1146
tier_modifier,lead,up_2_early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",780,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7761,0.0498,0.0308,0.0683
tier_modifier,lead,up_2_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",862,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.8019,0.0756,0.0466,0.0964
tier_modifier,lead,up_2_early_1_3,team_strength_bucket,60_plus,"2023,2024,2025",647,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.7759,0.0495,0.0203,0.0748
tier_modifier,lead,up_2_early_1_3,team_strength_bucket,lt_40,"2023,2024,2025",589,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.5804,0.1077,0.032,0.1942
tier_modifier,lead,up_2_f5_1_5,home_away,away,"2023,2024,2025",4139,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6117,0.046,0.0325,0.058
tier_modifier,lead,up_2_f5_1_5,offense_form_bucket,lt_40,"2023,2024,2025",383,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.5006,0.11,0.0236,0.1807
tier_modifier,lead,up_2_f5_1_5,opponent_run_prevention_bucket,50_55,"2023,2024,2025",2405,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.612,0.0463,0.0098,0.081
tier_modifier,lead,up_2_f5_1_5,team_strength_bucket,55_60,"2023,2024,2025",1214,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.8075,0.0437,0.0316,0.0648
tier_modifier,lead,up_2_f5_1_5,team_strength_bucket,lt_40,"2023,2024,2025",552,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.515,0.1244,0.0107,0.2329
tier_modifier,lead,up_2_late_7_plus,offense_form_bucket,60_plus,"2023,2024,2025",840,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.9279,0.0446,0.024,0.0774
tier_modifier,lead,up_2_late_7_plus,team_strength_bucket,lt_40,"2023,2024,2025",611,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.2279,0.0508,0.0133,0.11
tier_modifier,lead,up_2_late_7_plus,team_strength_bucket,lt_40,"2023,2024,2025",611,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4585,0.0636,0.0132,0.1194
tier_modifier,lead,up_2_middle_6,team_strength_bucket,55_60,"2023,2024,2025",583,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.8464,0.0406,0.0074,0.0804
tier_modifier,lead,up_3_early_1_3,home_away,away,"2023,2024,2025",2654,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6436,0.0751,0.0489,0.0958
tier_modifier,lead,up_3_early_1_3,l10_rpg_bucket,low_lt_3_5,"2023,2024,2025",786,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.3663,0.0425,0.009,0.0712
tier_modifier,lead,up_3_early_1_3,offense_form_bucket,60_plus,"2023,2024,2025",484,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.8725,0.0695,0.0134,0.127
tier_modifier,lead,up_3_early_1_3,opponent_team_strength_bucket,55_60,"2023,2024,2025",728,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.3672,0.0435,0.0341,0.0513
tier_modifier,lead,up_3_early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",494,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.9175,0.1145,0.0781,0.1825
tier_modifier,lead,up_3_early_1_3,team_strength_bucket,40_45,"2023,2024,2025",567,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.4392,0.1154,0.0755,0.1507
tier_modifier,lead,up_3_f5_1_5,home_away,away,"2023,2024,2025",2778,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5834,0.0455,0.0357,0.0621
tier_modifier,lead,up_3_f5_1_5,offense_form_bucket,60_plus,"2023,2024,2025",480,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.9015,0.0488,0.0307,0.0625
tier_modifier,lead,up_3_f5_1_5,opponent_run_prevention_bucket,55_60,"2023,2024,2025",935,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.2828,0.0425,0.0056,0.0841
tier_modifier,lead,up_3_f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",426,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5893,0.0514,0.0426,0.0665
tier_modifier,lead,up_3_f5_1_5,opponent_team_strength_bucket,55_60,"2023,2024,2025",784,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.2878,0.0475,0.0002,0.1049
tier_modifier,lead,up_3_f5_1_5,team_strength_bucket,40_45,"2023,2024,2025",599,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.284,0.0437,0.025,0.0598
tier_modifier,lead,up_3_late_7_plus,l10_rpg_bucket,low_lt_3_5,"2023,2024,2025",1253,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4264,0.0453,0.009,0.0665
tier_modifier,lead,up_3_late_7_plus,opponent_run_prevention_bucket,55_60,"2023,2024,2025",1280,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4217,0.0406,0.0176,0.0621
tier_modifier,lead,up_3_late_7_plus,opponent_run_prevention_bucket,60_plus,"2023,2024,2025",402,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.9901,0.0406,0.0303,0.0513
tier_modifier,lead,up_3_late_7_plus,opponent_team_strength_bucket,60_plus,"2023,2024,2025",456,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4602,0.0791,0.0136,0.2094
tier_modifier,lead,up_3_middle_6,offense_form_bucket,40_45,"2023,2024,2025",501,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.2188,0.0496,0.0279,0.0702
tier_modifier,lead,up_3_middle_6,team_strength_bucket,40_45,"2023,2024,2025",323,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.242,0.0727,0.0611,0.0879
tier_modifier,lead,up_3_middle_6,team_strength_bucket,40_45,"2023,2024,2025",323,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5792,0.0432,0.0237,0.0629
tier_modifier,lead,up_4_early_1_3,home_away,away,"2023,2024,2025",1309,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.592,0.0419,0.0268,0.0548
tier_modifier,lead,up_4_early_1_3,opponent_team_strength_bucket,55_60,"2023,2024,2025",323,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.2798,0.0749,0.0356,0.0995
tier_modifier,lead,up_4_early_1_3,opponent_team_strength_bucket,55_60,"2023,2024,2025",323,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.609,0.0589,0.046,0.0715
tier_modifier,lead,up_4_f5_1_5,home_away,away,"2023,2024,2025",1776,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.186,0.0412,0.0243,0.0604
tier_modifier,lead,up_4_f5_1_5,home_away,away,"2023,2024,2025",1776,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.608,0.0516,0.0327,0.0624
tier_modifier,lead,up_4_f5_1_5,l10_rpg_bucket,low_lt_3_5,"2023,2024,2025",598,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.208,0.0632,0.0329,0.1182
tier_modifier,lead,up_4_f5_1_5,l10_rpg_bucket,low_lt_3_5,"2023,2024,2025",598,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.6098,0.0534,0.0366,0.0761
tier_modifier,lead,up_4_f5_1_5,offense_form_bucket,40_45,"2023,2024,2025",591,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gave_up_tie_or_lead,0.1982,0.0534,0.0375,0.0826
tier_modifier,lead,up_4_f5_1_5,offense_form_bucket,60_plus,"2023,2024,2025",347,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,held_to_win,0.9626,0.0525,0.0206,0.0877
tier_modifier,lead,up_4_f5_1_5,opponent_team_strength_bucket,45_50,"2023,2024,2025",946,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.604,0.0476,0.0097,0.0987
tier_modifier,lead,up_4_late_7_plus,l10_rpg_bucket,low_lt_3_5,"2023,2024,2025",866,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4081,0.0452,0.0323,0.0553
tier_modifier,lead,up_4_late_7_plus,offense_form_bucket,60_plus,"2023,2024,2025",592,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4132,0.0503,0.0182,0.0751
tier_modifier,lead,up_4_middle_6,home_away,away,"2023,2024,2025",1050,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5786,0.0464,0.0355,0.0605
tier_modifier,lead,up_5_plus_f5_1_5,home_away,away,"2023,2024,2025",2883,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5945,0.0433,0.0221,0.0692
tier_modifier,lead,up_5_plus_late_7_plus,offense_form_bucket,lt_40,"2023,2024,2025",564,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.4727,0.0749,0.0036,0.141
tier_modifier,lead,up_5_plus_middle_6,home_away,away,"2023,2024,2025",2043,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opponent_scored_next_2_innings,0.5912,0.0417,0.0308,0.0521
tier_modifier,response_after_allowed,early_1_3,home_away,home,"2023,2024,2025",8242,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6211,0.0855,0.0754,0.0912
tier_modifier,response_after_allowed,early_1_3,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",3258,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3778,0.0563,0.0409,0.0695
tier_modifier,response_after_allowed,early_1_3,offense_form_bucket,60_plus,"2023,2024,2025",1358,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.386,0.0645,0.0336,0.0887
tier_modifier,response_after_allowed,early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",1230,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.384,0.0625,0.0032,0.1002
tier_modifier,response_after_allowed,early_1_3,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",1230,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6021,0.0664,0.0576,0.0755
tier_modifier,response_after_allowed,early_1_3,opponent_team_strength_bucket,40_45,"2023,2024,2025",1847,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3769,0.0554,0.0403,0.0774
tier_modifier,response_after_allowed,early_1_3,opponent_team_strength_bucket,lt_40,"2023,2024,2025",1258,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4463,0.1248,0.0902,0.1542
tier_modifier,response_after_allowed,early_1_3,team_strength_bucket,55_60,"2023,2024,2025",2499,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.362,0.0405,0.0282,0.0584
tier_modifier,response_after_allowed,early_1_3,team_strength_bucket,60_plus,"2023,2024,2025",1069,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3808,0.0593,0.0559,0.0654
tier_modifier,response_after_allowed,early_1_3,team_strength_bucket,60_plus,"2023,2024,2025",1069,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6011,0.0654,0.0464,0.0919
tier_modifier,response_after_allowed,f5_1_5,home_away,home,"2023,2024,2025",5825,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6043,0.0715,0.0662,0.0765
tier_modifier,response_after_allowed,f5_1_5,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",2158,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3605,0.0433,0.0259,0.072
tier_modifier,response_after_allowed,f5_1_5,offense_form_bucket,60_plus,"2023,2024,2025",936,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4162,0.099,0.076,0.1186
tier_modifier,response_after_allowed,f5_1_5,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",894,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3888,0.0716,0.0498,0.088
tier_modifier,response_after_allowed,f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",1146,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3789,0.0616,0.0416,0.1013
tier_modifier,response_after_allowed,f5_1_5,opponent_team_strength_bucket,40_45,"2023,2024,2025",1146,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5764,0.0435,0.0113,0.0898
tier_modifier,response_after_allowed,f5_1_5,opponent_team_strength_bucket,lt_40,"2023,2024,2025",838,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4242,0.107,0.0966,0.1147
tier_modifier,response_after_allowed,late_7_plus,home_away,home,"2023,2024,2025",8973,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.4094,0.055,0.0441,0.0672
tier_modifier,response_after_allowed,late_7_plus,offense_form_bucket,60_plus,"2023,2024,2025",1287,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3924,0.0708,0.0393,0.1113
tier_modifier,response_after_allowed,late_7_plus,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",1218,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3837,0.0621,0.0615,0.0625
tier_modifier,response_after_allowed,late_7_plus,opponent_team_strength_bucket,40_45,"2023,2024,2025",1631,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3917,0.0701,0.0627,0.0748
tier_modifier,response_after_allowed,late_7_plus,opponent_team_strength_bucket,lt_40,"2023,2024,2025",1284,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4142,0.0926,0.0663,0.1117
tier_modifier,response_after_allowed,late_7_plus,team_strength_bucket,55_60,"2023,2024,2025",2387,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3628,0.0412,0.0224,0.0578
tier_modifier,response_after_allowed,middle_6,home_away,home,"2023,2024,2025",2843,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6045,0.0828,0.0719,0.0951
tier_modifier,response_after_allowed,middle_6,l10_rpg_bucket,very_high_5_5_plus,"2023,2024,2025",1170,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3614,0.0402,0.0094,0.0804
tier_modifier,response_after_allowed,middle_6,opponent_run_prevention_bucket,lt_40,"2023,2024,2025",473,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3907,0.0695,0.0361,0.1041
tier_modifier,response_after_allowed,middle_6,opponent_team_strength_bucket,40_45,"2023,2024,2025",654,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3929,0.0717,0.0402,0.0987
tier_modifier,response_after_allowed,middle_6,opponent_team_strength_bucket,40_45,"2023,2024,2025",654,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.5631,0.0414,0.0204,0.0534
tier_modifier,response_after_allowed,middle_6,opponent_team_strength_bucket,lt_40,"2023,2024,2025",459,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.4364,0.1152,0.0819,0.1603
tier_modifier,response_after_allowed,middle_6,opponent_team_strength_bucket,lt_40,"2023,2024,2025",459,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scored_next_2_innings,0.6154,0.0937,0.0768,0.1221
tier_modifier,response_after_allowed,middle_6,team_strength_bucket,55_60,"2023,2024,2025",805,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eventually_won,0.3636,0.0424,0.0055,0.0957
