model_layer,state_type,state_bucket,tier,tier_value,seasons_seen,total_count,min_season_count,eventually_won_avg_rate,eventually_won_min_rate,eventually_won_max_rate,eventually_won_range,tied_or_led_later_avg_rate,tied_or_led_later_min_rate,tied_or_led_later_max_rate,tied_or_led_later_range,scored_next_1_inning_avg_rate,scored_next_1_inning_min_rate,scored_next_1_inning_max_rate,scored_next_1_inning_range,scored_next_2_innings_avg_rate,scored_next_2_innings_min_rate,scored_next_2_innings_max_rate,scored_next_2_innings_range,reduced_deficit_next_2_avg_rate,reduced_deficit_next_2_min_rate,reduced_deficit_next_2_max_rate,reduced_deficit_next_2_range,within_1_next_2_avg_rate,within_1_next_2_min_rate,within_1_next_2_max_rate,within_1_next_2_range,held_to_win_avg_rate,held_to_win_min_rate,held_to_win_max_rate,held_to_win_range,gave_up_tie_or_lead_avg_rate,gave_up_tie_or_lead_min_rate,gave_up_tie_or_lead_max_rate,gave_up_tie_or_lead_range,opponent_scored_next_1_inning_avg_rate,opponent_scored_next_1_inning_min_rate,opponent_scored_next_1_inning_max_rate,opponent_scored_next_1_inning_range,opponent_scored_next_2_innings_avg_rate,opponent_scored_next_2_innings_min_rate,opponent_scored_next_2_innings_max_rate,opponent_scored_next_2_innings_range,lead_reduced_next_2_avg_rate,lead_reduced_next_2_min_rate,lead_reduced_next_2_max_rate,lead_reduced_next_2_range,lead_cut_to_1_next_2_avg_rate,lead_cut_to_1_next_2_min_rate,lead_cut_to_1_next_2_max_rate,lead_cut_to_1_next_2_range,primary_outcome,avg_rate,avg_lift,min_lift,max_lift
baseline,lead,up_2_f5_1_5,,,"2023,2024,2025",8047,2589,,,,,,,,,,,,,,,,,,,,,,,,,0.7638,0.7534,0.7744,0.021,0.3906,0.3553,0.4163,0.061,0.411,0.3813,0.4427,0.0614,0.5657,0.5474,0.592,0.0446,0.4453,0.4195,0.4729,0.0534,0.4453,0.4195,0.4729,0.0534,,,,,
baseline,lead,up_3_late_7_plus,,,"2023,2024,2025",7807,2484,,,,,,,,,,,,,,,,,,,,,,,,,0.9495,0.9387,0.9569,0.0182,0.0798,0.0678,0.0954,0.0276,0.328,0.318,0.3373,0.0193,0.3811,0.3732,0.3889,0.0157,0.3098,0.3019,0.32,0.0181,0.1539,0.1396,0.1706,0.031,,,,,
baseline,lead,up_4_late_7_plus,,,"2023,2024,2025",6192,1928,,,,,,,,,,,,,,,,,,,,,,,,,0.9744,0.9715,0.9761,0.0046,0.0358,0.0311,0.0383,0.0072,0.3095,0.2822,0.3233,0.0411,0.3629,0.333,0.3806,0.0476,0.2905,0.2573,0.3249,0.0676,0.0769,0.0705,0.0827,0.0122,,,,,
baseline,lead,up_3_f5_1_5,,,"2023,2024,2025",5473,1710,,,,,,,,,,,,,,,,,,,,,,,,,0.8527,0.8264,0.8674,0.041,0.2403,0.2216,0.2735,0.0519,0.3911,0.3713,0.4099,0.0386,0.5379,0.5222,0.5617,0.0395,0.4291,0.4146,0.4481,0.0335,0.2547,0.2444,0.2702,0.0258,,,,,
baseline,lead,up_5_plus_f5_1_5,,,"2023,2024,2025",5584,1789,,,,,,,,,,,,,,,,,,,,,,,,,0.9578,0.9498,0.9631,0.0133,0.064,0.0598,0.0692,0.0094,0.3937,0.3685,0.4203,0.0518,0.5512,0.5148,0.5696,0.0548,0.4384,0.4197,0.4477,0.028,0.0522,0.0464,0.0568,0.0104,,,,,
baseline,lead,up_3_early_1_3,,,"2023,2024,2025",4898,1574,,,,,,,,,,,,,,,,,,,,,,,,,0.803,0.774,0.8237,0.0497,0.3238,0.2803,0.3657,0.0854,0.4113,0.3952,0.4385,0.0433,0.5685,0.5532,0.5964,0.0432,0.4369,0.425,0.458,0.033,0.2553,0.2301,0.2817,0.0516,,,,,
baseline,lead,up_1_middle_6,,,"2023,2024,2025",4848,1601,,,,,,,,,,,,,,,,,,,,,,,,,0.6669,0.658,0.6721,0.0141,0.5018,0.4859,0.51,0.0241,0.3846,0.3691,0.3943,0.0252,0.5463,0.524,0.5647,0.0407,0.4385,0.4204,0.449,0.0286,0.9786,0.975,0.9826,0.0076,,,,,
baseline,lead,up_5_plus_middle_6,,,"2023,2024,2025",4030,1288,,,,,,,,,,,,,,,,,,,,,,,,,0.9809,0.9805,0.9816,0.0011,0.0291,0.0269,0.0331,0.0062,0.3901,0.3773,0.4113,0.034,0.5495,0.5163,0.5887,0.0724,0.4283,0.4045,0.4549,0.0504,0.0354,0.0276,0.0406,0.013,,,,,
baseline,lead,up_2_middle_6,,,"2023,2024,2025",3804,1240,,,,,,,,,,,,,,,,,,,,,,,,,0.8058,0.7885,0.8272,0.0387,0.3101,0.3009,0.3238,0.0229,0.4061,0.3903,0.4361,0.0458,0.5401,0.5169,0.5655,0.0486,0.4347,0.4171,0.4547,0.0376,0.4347,0.4171,0.4547,0.0376,,,,,
baseline,lead,up_4_f5_1_5,,,"2023,2024,2025",3510,1143,,,,,,,,,,,,,,,,,,,,,,,,,0.9102,0.9029,0.914,0.0111,0.1449,0.1257,0.1557,0.03,0.4005,0.3927,0.4156,0.0229,0.5564,0.5515,0.5608,0.0093,0.4507,0.4398,0.4564,0.0166,0.1431,0.1382,0.1507,0.0125,,,,,
baseline,lead,up_3_middle_6,,,"2023,2024,2025",2956,955,,,,,,,,,,,,,,,,,,,,,,,,,0.8914,0.8695,0.9026,0.0331,0.1692,0.1539,0.1978,0.0439,0.4061,0.3916,0.4149,0.0233,0.5359,0.5047,0.5668,0.0621,0.4334,0.422,0.4506,0.0286,0.246,0.2392,0.2589,0.0197,,,,,
