season,state_bucket,home_away,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2023,down_1_f5_1_5,home,1828,0.3884,0.5941,0.4519,0.5952,0.4705,0.9737,3577,0.3528,0.0356,0.5801,0.014,0.4082,0.0437,0.5639,0.0313,0.4507,0.0198,0.9723,0.0014
2024,down_2_late_7_plus,home,1826,0.138,0.1796,0.3719,0.4217,0.3253,0.3253,3327,0.1214,0.0166,0.1776,0.002,0.3408,0.0311,0.3956,0.0261,0.3267,-0.0014,0.3267,-0.0014
2025,down_1_f5_1_5,away,1788,0.3166,0.5481,0.3434,0.5045,0.4155,0.972,3632,0.3648,-0.0482,0.5765,-0.0284,0.4025,-0.0591,0.5498,-0.0453,0.4452,-0.0297,0.9722,-0.0002
2023,down_2_late_7_plus,home,1750,0.1337,0.1783,0.3663,0.4171,0.3303,0.3303,3321,0.1186,0.0151,0.174,0.0043,0.3342,0.0321,0.3927,0.0244,0.3219,0.0084,0.3219,0.0084
2023,down_1_f5_1_5,away,1749,0.3156,0.5655,0.3625,0.5312,0.43,0.9708,3577,0.3528,-0.0372,0.5801,-0.0146,0.4082,-0.0457,0.5639,-0.0327,0.4507,-0.0207,0.9723,-0.0015
2025,down_2_late_7_plus,home,1725,0.1322,0.2029,0.367,0.4226,0.353,0.353,3185,0.1058,0.0264,0.1799,0.023,0.3341,0.0329,0.3962,0.0264,0.3353,0.0177,0.3353,0.0177
2024,down_1_f5_1_5,away,1710,0.3193,0.5713,0.3456,0.514,0.4158,0.9731,3704,0.3386,-0.0193,0.5702,0.0011,0.4023,-0.0567,0.5664,-0.0524,0.4355,-0.0197,0.9754,-0.0023
2024,down_2_early_1_3,home,1678,0.301,0.5,0.4589,0.5858,0.4577,0.4577,3030,0.2554,0.0456,0.4502,0.0498,0.3835,0.0754,0.5419,0.0439,0.4145,0.0432,0.4145,0.0432
2023,down_2_early_1_3,home,1671,0.3435,0.5344,0.5027,0.6493,0.5266,0.5266,2917,0.2989,0.0446,0.505,0.0294,0.432,0.0707,0.5883,0.061,0.4758,0.0508,0.4758,0.0508
2025,down_2_early_1_3,home,1586,0.3077,0.5069,0.4647,0.6072,0.4987,0.4987,2763,0.2649,0.0428,0.4629,0.044,0.3959,0.0688,0.553,0.0542,0.447,0.0517,0.447,0.0517
2023,down_2_late_7_plus,away,1571,0.1018,0.1693,0.2985,0.3654,0.3125,0.3125,3321,0.1186,-0.0168,0.174,-0.0047,0.3342,-0.0357,0.3927,-0.0273,0.3219,-0.0094,0.3219,-0.0094
2024,down_3_late_7_plus,home,1548,0.0426,0.0601,0.3534,0.4037,0.3379,0.137,2744,0.0466,-0.004,0.0678,-0.0077,0.3287,0.0247,0.3812,0.0225,0.32,0.0179,0.1396,-0.0026
2024,down_2_late_7_plus,away,1501,0.1013,0.1752,0.3031,0.3638,0.3284,0.3284,3327,0.1214,-0.0201,0.1776,-0.0024,0.3408,-0.0377,0.3956,-0.0318,0.3267,0.0017,0.3267,0.0017
2025,down_2_late_7_plus,away,1460,0.0747,0.1527,0.2952,0.3651,0.3144,0.3144,3185,0.1058,-0.0311,0.1799,-0.0272,0.3341,-0.0389,0.3962,-0.0311,0.3353,-0.0209,0.3353,-0.0209
2023,down_2_f5_1_5,home,1437,0.2693,0.444,0.5205,0.65,0.5087,0.5087,2652,0.2466,0.0227,0.4163,0.0277,0.4427,0.0778,0.592,0.058,0.4729,0.0358,0.4729,0.0358
2023,down_3_late_7_plus,home,1436,0.0808,0.1149,0.3579,0.3976,0.3217,0.1859,2579,0.0613,0.0195,0.0954,0.0195,0.3373,0.0206,0.3889,0.0087,0.3075,0.0142,0.1706,0.0153
2024,down_2_f5_1_5,away,1424,0.1868,0.3287,0.3272,0.5014,0.3862,0.3862,2806,0.2217,-0.0349,0.3553,-0.0266,0.3813,-0.0541,0.5474,-0.046,0.4195,-0.0333,0.4195,-0.0333
