season,state_bucket,opponent_team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2023,down_1_early_1_3,55_60,708,0.3432,0.5975,0.4237,0.5706,0.4153,0.9605,5257,0.3827,-0.0395,0.6371,-0.0396,0.4141,0.0096,0.5632,0.0074,0.4392,-0.0239,0.9583,0.0022
2025,down_1_late_7_plus,55_60,688,0.218,0.3198,0.3299,0.3823,0.3198,0.9724,4136,0.2038,0.0142,0.3039,0.0159,0.3138,0.0161,0.3656,0.0167,0.3039,0.0159,0.9768,-0.0044
2024,down_4_late_7_plus,50_55,687,0.0175,0.0306,0.294,0.3377,0.2809,0.0553,2139,0.0276,-0.0101,0.0383,-0.0077,0.323,-0.029,0.3806,-0.0429,0.3249,-0.044,0.0827,-0.0274
2023,down_5_plus_f5_1_5,50_55,681,0.0367,0.0573,0.4023,0.5859,0.4581,0.0426,1901,0.0395,-0.0028,0.0631,-0.0058,0.3924,0.0099,0.5692,0.0167,0.4477,0.0104,0.0568,-0.0142
2023,down_2_f5_1_5,45_50,680,0.2574,0.4088,0.4368,0.5868,0.4691,0.4691,2652,0.2466,0.0108,0.4163,-0.0075,0.4427,-0.0059,0.592,-0.0052,0.4729,-0.0038,0.4729,-0.0038
2025,down_2_f5_1_5,45_50,678,0.2109,0.4027,0.3791,0.5265,0.4071,0.4071,2589,0.2364,-0.0255,0.4002,0.0025,0.409,-0.0299,0.5577,-0.0312,0.4434,-0.0363,0.4434,-0.0363
2024,down_4_late_7_plus,45_50,658,0.038,0.0441,0.3313,0.4043,0.3541,0.1109,2139,0.0276,0.0104,0.0383,0.0058,0.323,0.0083,0.3806,0.0237,0.3249,0.0292,0.0827,0.0282
2025,down_3_f5_1_5,50_55,652,0.1258,0.2209,0.3758,0.5445,0.4187,0.2561,1710,0.1357,-0.0099,0.2216,-0.0007,0.3713,0.0045,0.5222,0.0223,0.4146,0.0041,0.2444,0.0117
2023,down_3_f5_1_5,50_55,646,0.161,0.2957,0.4334,0.5882,0.4675,0.2879,1832,0.1736,-0.0126,0.2735,0.0222,0.4099,0.0235,0.5617,0.0265,0.4481,0.0194,0.2702,0.0177
2025,down_2_early_1_3,45_50,645,0.2155,0.4279,0.4078,0.5395,0.445,0.445,2763,0.2649,-0.0494,0.4629,-0.035,0.3959,0.0119,0.553,-0.0135,0.447,-0.002,0.447,-0.002
2024,down_1_late_7_plus,55_60,638,0.2163,0.3652,0.3636,0.4232,0.3652,0.9655,4150,0.232,-0.0157,0.3383,0.0269,0.3525,0.0111,0.4051,0.0181,0.3383,0.0269,0.974,-0.0085
2023,down_3_late_7_plus,45_50,635,0.0646,0.0961,0.3543,0.4016,0.3465,0.1764,2579,0.0613,0.0033,0.0954,0.0007,0.3373,0.017,0.3889,0.0127,0.3075,0.039,0.1706,0.0058
2024,down_5_plus_f5_1_5,50_55,623,0.0482,0.0594,0.3596,0.5169,0.3884,0.0353,1894,0.0491,-0.0009,0.0692,-0.0098,0.3685,-0.0089,0.5148,0.0021,0.4197,-0.0313,0.0533,-0.018
