season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2024,up_2_f5_1_5,mid_3_5_4_5,976,0.7807,0.335,0.3965,0.5625,0.4252,0.4252,2806,0.7744,0.0063,0.3553,-0.0203,0.3813,0.0152,0.5474,0.0151,0.4195,0.0057,0.4195,0.0057
2024,up_1_early_1_3,very_high_5_5_plus,974,0.6776,0.617,0.4292,0.5585,0.4312,0.9517,5340,0.6382,0.0394,0.6305,-0.0135,0.3964,0.0328,0.5468,0.0117,0.4255,0.0057,0.9541,-0.0024
2023,up_2_late_7_plus,mid_3_5_4_5,966,0.9079,0.1429,0.3302,0.3944,0.3002,0.3002,3321,0.8814,0.0265,0.174,-0.0311,0.3342,-0.004,0.3927,0.0017,0.3219,-0.0217,0.3219,-0.0217
2023,up_2_early_1_3,high_4_5_5_5,963,0.6968,0.5047,0.4393,0.6127,0.4964,0.4964,2917,0.7011,-0.0043,0.505,-0.0003,0.432,0.0073,0.5883,0.0244,0.4758,0.0206,0.4758,0.0206
2024,up_3_late_7_plus,mid_3_5_4_5,960,0.9542,0.0677,0.3135,0.3729,0.3156,0.1448,2744,0.953,0.0012,0.0678,-0.0001,0.3287,-0.0152,0.3812,-0.0083,0.32,-0.0044,0.1396,0.0052
2024,up_1_early_1_3,low_lt_3_5,932,0.5912,0.6502,0.3981,0.5461,0.4528,0.956,5340,0.6382,-0.047,0.6305,0.0197,0.3964,0.0017,0.5468,-0.0007,0.4255,0.0273,0.9541,0.0019
2025,up_2_early_1_3,mid_3_5_4_5,929,0.7244,0.4607,0.3832,0.5318,0.4446,0.4446,2763,0.7351,-0.0107,0.4629,-0.0022,0.3959,-0.0127,0.553,-0.0212,0.447,-0.0024,0.447,-0.0024
2024,up_2_early_1_3,high_4_5_5_5,903,0.7132,0.4928,0.3843,0.5559,0.443,0.443,3030,0.7429,-0.0297,0.4502,0.0426,0.3835,0.0008,0.5419,0.014,0.4145,0.0285,0.4145,0.0285
2023,up_3_late_7_plus,high_4_5_5_5,896,0.9464,0.0982,0.3315,0.3817,0.3013,0.1574,2579,0.9387,0.0077,0.0954,0.0028,0.3373,-0.0058,0.3889,-0.0072,0.3075,-0.0062,0.1706,-0.0132
2023,up_2_f5_1_5,high_4_5_5_5,884,0.7534,0.388,0.4559,0.6052,0.4514,0.4514,2652,0.7534,0.0,0.4163,-0.0283,0.4427,0.0132,0.592,0.0132,0.4729,-0.0215,0.4729,-0.0215
