season,state_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2023,down_1_early_1_3,low_lt_3_5,818,0.3484,0.6394,0.4095,0.5416,0.4242,0.9597,5257,0.3827,-0.0343,0.6371,0.0023,0.4141,-0.0046,0.5632,-0.0216,0.4392,-0.015,0.9583,0.0014
2025,down_3_late_7_plus,mid_3_5_4_5,810,0.0296,0.058,0.3012,0.358,0.2988,0.1309,2484,0.0431,-0.0135,0.0761,-0.0181,0.318,-0.0168,0.3732,-0.0152,0.3019,-0.0031,0.1514,-0.0205
2024,down_5_plus_late_7_plus,very_high_5_5_plus,799,0.005,0.0113,0.3342,0.363,0.3141,0.0438,5053,0.0073,-0.0023,0.0113,0.0,0.3275,0.0067,0.3794,-0.0164,0.3137,0.0004,0.0263,0.0175
2023,down_3_late_7_plus,high_4_5_5_5,790,0.0342,0.057,0.3215,0.3747,0.2734,0.1506,2579,0.0613,-0.0271,0.0954,-0.0384,0.3373,-0.0158,0.3889,-0.0142,0.3075,-0.0341,0.1706,-0.02
2025,down_2_early_1_3,high_4_5_5_5,790,0.2342,0.4544,0.362,0.5291,0.4354,0.4354,2763,0.2649,-0.0307,0.4629,-0.0085,0.3959,-0.0339,0.553,-0.0239,0.447,-0.0116,0.447,-0.0116
2023,down_5_plus_late_7_plus,low_lt_3_5,789,0.0051,0.0051,0.3511,0.3954,0.3321,0.0101,4855,0.0054,-0.0003,0.0072,-0.0021,0.3574,-0.0063,0.4122,-0.0168,0.3429,-0.0108,0.0185,-0.0084
2025,down_1_late_7_plus,very_high_5_5_plus,785,0.2459,0.3656,0.3669,0.428,0.3656,0.9822,4136,0.2038,0.0421,0.3039,0.0617,0.3138,0.0531,0.3656,0.0624,0.3039,0.0617,0.9768,0.0054
2024,down_1_f5_1_5,low_lt_3_5,781,0.3239,0.5659,0.4174,0.5672,0.4622,0.9795,3704,0.3386,-0.0147,0.5702,-0.0043,0.4023,0.0151,0.5664,0.0008,0.4355,0.0267,0.9754,0.0041
2023,down_1_f5_1_5,very_high_5_5_plus,772,0.3601,0.5907,0.4339,0.5881,0.478,0.9715,3577,0.3528,0.0073,0.5801,0.0106,0.4082,0.0257,0.5639,0.0242,0.4507,0.0273,0.9723,-0.0008
2024,down_3_late_7_plus,high_4_5_5_5,772,0.0453,0.0544,0.3135,0.3718,0.3199,0.1308,2744,0.0466,-0.0013,0.0678,-0.0134,0.3287,-0.0152,0.3812,-0.0094,0.32,-0.0001,0.1396,-0.0088
2025,down_2_f5_1_5,high_4_5_5_5,765,0.217,0.4196,0.417,0.5739,0.4536,0.4536,2589,0.2364,-0.0194,0.4002,0.0194,0.409,0.008,0.5577,0.0162,0.4434,0.0102,0.4434,0.0102
2024,down_1_late_7_plus,low_lt_3_5,748,0.2326,0.3262,0.3503,0.3984,0.3262,0.9746,4150,0.232,0.0006,0.3383,-0.0121,0.3525,-0.0022,0.4051,-0.0067,0.3383,-0.0121,0.974,0.0006
2024,down_4_late_7_plus,mid_3_5_4_5,730,0.0247,0.0397,0.3493,0.4123,0.3589,0.0945,2139,0.0276,-0.0029,0.0383,0.0014,0.323,0.0263,0.3806,0.0317,0.3249,0.034,0.0827,0.0118
2023,down_4_late_7_plus,mid_3_5_4_5,724,0.0262,0.0414,0.3094,0.366,0.2845,0.0691,2125,0.0245,0.0017,0.0381,0.0033,0.3233,-0.0139,0.3751,-0.0091,0.2894,-0.0049,0.0776,-0.0085
2023,down_5_plus_f5_1_5,mid_3_5_4_5,703,0.037,0.0669,0.3698,0.5576,0.4083,0.0498,1901,0.0395,-0.0025,0.0631,0.0038,0.3924,-0.0226,0.5692,-0.0116,0.4477,-0.0394,0.0568,-0.007
2024,down_5_plus_f5_1_5,mid_3_5_4_5,685,0.0482,0.0701,0.3708,0.5255,0.419,0.0482,1894,0.0491,-0.0009,0.0692,0.0009,0.3685,0.0023,0.5148,0.0107,0.4197,-0.0007,0.0533,-0.0051
2025,down_3_late_7_plus,high_4_5_5_5,685,0.0438,0.0788,0.3635,0.4248,0.3328,0.1547,2484,0.0431,0.0007,0.0761,0.0027,0.318,0.0455,0.3732,0.0516,0.3019,0.0309,0.1514,0.0033
2024,down_4_late_7_plus,high_4_5_5_5,684,0.0205,0.0292,0.2865,0.3436,0.2895,0.0599,2139,0.0276,-0.0071,0.0383,-0.0091,0.323,-0.0365,0.3806,-0.037,0.3249,-0.0354,0.0827,-0.0228
2025,down_1_f5_1_5,very_high_5_5_plus,683,0.3895,0.59,0.3968,0.5198,0.4261,0.9736,3632,0.3648,0.0247,0.5765,0.0135,0.4025,-0.0057,0.5498,-0.03,0.4452,-0.0191,0.9722,0.0014
2023,down_2_late_7_plus,very_high_5_5_plus,677,0.1196,0.1817,0.3368,0.4254,0.3353,0.3353,3321,0.1186,0.001,0.174,0.0077,0.3342,0.0026,0.3927,0.0327,0.3219,0.0134,0.3219,0.0134
2024,down_1_late_7_plus,very_high_5_5_plus,675,0.2667,0.3881,0.3911,0.4533,0.3881,0.9793,4150,0.232,0.0347,0.3383,0.0498,0.3525,0.0386,0.4051,0.0482,0.3383,0.0498,0.974,0.0053
2024,down_2_late_7_plus,low_lt_3_5,673,0.1204,0.1768,0.3447,0.3908,0.3388,0.3388,3327,0.1214,-0.001,0.1776,-0.0008,0.3408,0.0039,0.3956,-0.0048,0.3267,0.0121,0.3267,0.0121
2025,down_1_f5_1_5,low_lt_3_5,672,0.3051,0.5253,0.4018,0.5446,0.4286,0.9688,3632,0.3648,-0.0597,0.5765,-0.0512,0.4025,-0.0007,0.5498,-0.0052,0.4452,-0.0166,0.9722,-0.0034
2024,down_3_f5_1_5,high_4_5_5_5,649,0.1186,0.1957,0.3698,0.5008,0.4006,0.2157,1931,0.13,-0.0114,0.2258,-0.0301,0.392,-0.0222,0.5298,-0.029,0.4247,-0.0241,0.2496,-0.0339
2023,down_1_late_7_plus,low_lt_3_5,642,0.2336,0.3692,0.4097,0.4517,0.3692,0.9735,4144,0.2266,0.007,0.3313,0.0379,0.3448,0.0649,0.3924,0.0593,0.3313,0.0379,0.9718,0.0017
