candidate_id,derivative_type,game,market_ticker,baseline_source,opening_price_cents,price_delta_from_open_cents,market_mismatch_score,overall_watch_score,recommendation
,fg_total,MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,first_discovery,74,14,58.0,61.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,74.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,first_discovery,74,14,58.0,61.0,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,first_discovery,74,14,58.0,61.0,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,74.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,f5_total,DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,first_discovery,95,5,18.0,47.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIA@PHI,KXMLBTOTAL-26JUN151840MIAPHI-6,first_discovery,74,14,58.0,61.0,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,f5_total,DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,first_discovery,95,5,18.0,47.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,f5_total,DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,first_discovery,95,5,18.0,47.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,first_discovery,0,100,100.0,74.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,f5_total,DET@HOU,KXMLBF5TOTAL-26JUN152010DETHOU-1,first_discovery,95,5,18.0,47.2,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,team_total,MIN@TEX,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,first_discovery,0,100,100.0,74.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,DET@HOU,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,first_discovery,34,43,100.0,62.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,MIN@TEX,KXMLBTOTAL-26JUN152005MINTEX-8,first_discovery,56,18,70.0,63.1,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
,team_total,PIT@ATH,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,first_discovery,11,67,100.0,86.5,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,fg_total,DET@HOU,KXMLBTOTAL-26JUN152010DETHOU-7,first_discovery,73,22,88.0,69.4,cap_market_mismatch_for_first_discovery_baselines
,team_total,TB@LAD,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,first_discovery,42,2,8.0,58.9,cap_market_mismatch_for_first_discovery_baselines
