blocked_reason,runs_needed_team_bucket,count,settled_count,wins,losses,hold_win_rate,avg_hold_pnl_cents,total_hold_pnl_cents,total_risk_cents,hold_roi_on_risk,avg_delta_1m,avg_delta_3m,avg_delta_5m,avg_delta_10m,favorable_1m_rate,favorable_5m_rate,avg_mfe_10m,avg_mae_10m,avg_baseball_support_score,avg_overall_watch_score,avg_runs_needed_team,avg_runs_needed_total,avg_spread_cents
wide_spread_hard_block: spread=41c > 12c,need_7_plus,2,2,0,2,0.0,-46.5,-93.0,93.0,-1.0,-16.75,3.5,3.5,3.5,0.5,1.0,2.0,-38.5,48.0,34.6,7.5,-0.5,41.0
wide_spread_hard_block: spread=50c > 12c,need_3,2,2,2,0,1.0,14.0,28.0,172.0,0.1628,-36.0,-36.0,-36.0,-36.0,0.0,0.0,-5.5,-36.0,48.0,34.6,3.0,-1.0,50.0
wide_spread_hard_block: spread=48c > 12c,need_7_plus,2,2,0,2,0.0,-55.5,-111.0,111.0,-1.0,-5.5,-5.5,-5.5,-5.5,0.0,0.0,-5.5,-22.25,50.0,35.2,7.0,-0.5,48.0
wide_spread_hard_block: spread=19c > 12c,need_3,2,2,0,2,0.0,-42.0,-84.0,84.0,-1.0,8.0,8.0,8.0,8.0,1.0,1.0,14.25,8.0,48.0,34.6,3.0,-3.0,19.0
wide_spread_hard_block: spread=55c > 12c,need_3,2,2,0,2,0.0,-64.0,-128.0,128.0,-1.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,-14.0,-14.0,50.0,35.2,3.0,-4.5,55.0
missing,need_1,2,2,2,0,1.0,21.0,42.0,158.0,0.2658,-29.0,-29.0,-29.0,-29.0,0.0,0.0,-29.0,-29.0,46.0,50.05,1.0,-4.0,6.5
wide_spread_hard_block: spread=18c > 12c,need_5,2,2,0,2,0.0,-27.5,-55.0,55.0,-1.0,22.5,22.5,22.5,22.5,1.0,1.0,22.5,19.25,49.0,34.9,5.0,-0.5,18.0
missing,need_4,2,2,0,2,0.0,-25.0,-50.0,50.0,-1.0,25.0,25.0,25.0,22.0,1.0,1.0,25.0,25.0,46.0,56.3,4.0,-1.0,4.0
wide_spread_hard_block: spread=17c > 12c,need_2,2,2,1,1,0.5,-3.0,-6.0,106.0,-0.0566,-3.0,-3.0,-3.0,-3.0,0.0,0.0,-3.0,-3.0,37.5,29.2,2.0,-3.5,17.0
wide_spread_hard_block: spread=29c > 12c,need_4,2,2,0,2,0.0,-45.0,-90.0,90.0,-1.0,5.0,5.0,5.0,5.0,0.5,0.5,5.0,5.0,49.5,35.05,4.0,-3.5,29.0
wide_spread_hard_block: spread=35c > 12c,need_3,2,2,0,2,0.0,-43.0,-86.0,86.0,-1.0,7.0,7.0,7.0,7.0,1.0,1.0,6.0,6.0,50.0,35.2,3.0,-5.0,35.0
wide_spread_hard_block: spread=54c > 12c,need_5,2,2,1,1,0.5,-13.5,-27.0,127.0,-0.2126,-13.5,-13.5,-13.5,-14.0,0.0,0.0,-13.5,-16.75,52.5,35.2,5.0,0.0,54.0
team_lag_insufficient_baseball_support,need_5,2,2,0,2,0.0,-18.0,-36.0,36.0,-1.0,32.0,32.0,35.0,35.0,1.0,1.0,29.0,29.0,25.0,38.0,5.0,2.0,7.0
wide_spread_hard_block: spread=18c > 12c,need_2,2,2,1,1,0.5,-20.0,-40.0,140.0,-0.2857,-20.0,-18.0,-18.0,-18.0,0.0,0.0,-22.0,-22.0,47.0,34.3,2.0,-5.0,18.0
wide_spread_hard_block: spread=50c > 12c,need_4,2,2,0,2,0.0,-61.5,-123.0,123.0,-1.0,-14.0,-14.0,-14.0,-14.0,0.0,0.0,-14.0,-14.0,51.5,35.65,4.0,-5.0,50.0
wide_spread_hard_block: spread=31c > 12c,need_4,2,2,0,2,0.0,-44.0,-88.0,88.0,-1.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,2.0,48.0,34.6,4.0,-5.5,31.0
team_lag_blowout,need_5,2,2,0,2,0.0,-14.0,-28.0,28.0,-1.0,36.0,36.0,36.0,36.0,1.0,1.0,35.0,7.5,49.5,56.1,5.0,-5.5,4.5
team_lag_blowout,need_2,2,2,0,2,0.0,-54.5,-109.0,109.0,-1.0,-4.5,-4.5,-4.5,-4.5,0.0,0.0,2.5,-5.0,49.5,48.7,2.0,-8.5,7.0
wide_spread_hard_block: spread=28c > 12c,need_1,2,2,1,1,0.5,-27.5,-55.0,155.0,-0.3548,-27.5,-27.5,-27.5,-27.5,0.0,0.0,-16.75,-27.5,49.5,35.05,1.0,-9.5,28.0
wide_spread_hard_block: spread=14c > 12c,need_4,2,2,0,2,0.0,-39.0,-78.0,78.0,-1.0,11.0,11.0,11.0,11.0,0.5,0.5,11.0,1.75,53.0,36.1,4.0,-3.5,14.0
wide_spread_hard_block: spread=52c > 12c,need_5,2,2,0,2,0.0,-63.5,-127.0,127.0,-1.0,-13.5,-13.5,-13.5,-13.5,0.0,0.0,-13.5,-30.5,53.0,36.1,5.0,-2.5,52.0
wide_spread_hard_block: spread=18c > 12c,need_4,2,2,1,1,0.5,10.5,21.0,79.0,0.2658,10.5,10.5,10.5,10.5,1.0,1.0,13.75,10.5,54.0,36.45,4.0,-1.5,18.0
wide_spread_hard_block: spread=53c > 12c,need_4,2,2,0,2,0.0,-63.5,-127.0,127.0,-1.0,-13.5,-13.5,-13.5,-13.5,0.0,0.0,-9.5,-13.5,50.5,35.35,4.0,-3.5,53.0
wide_spread_hard_block: spread=33c > 12c,need_2,2,2,2,0,1.0,25.5,51.0,149.0,0.3423,-24.5,-24.5,-24.5,-24.5,0.0,0.0,-6.25,-24.5,54.0,36.45,2.0,-5.0,33.0
wide_spread_hard_block: spread=23c > 12c,need_4,2,2,1,1,0.5,-3.0,-6.0,106.0,-0.0566,-3.0,-3.0,-3.0,-3.0,0.5,0.5,5.5,-6.25,54.0,36.45,4.0,-2.5,23.0
wide_spread_hard_block: spread=23c > 12c,need_3,2,2,1,1,0.5,-17.0,-34.0,134.0,-0.2537,-17.0,-17.0,-17.0,-17.0,0.0,0.0,-6.0,-17.0,51.5,35.7,3.0,0.0,23.0
wide_spread_hard_block: spread=48c > 12c,need_2,1,1,1,0,1.0,15.0,15.0,85.0,0.1765,-35.0,-35.0,-35.0,-35.0,0.0,0.0,-6.5,-35.0,50.0,35.2,2.0,-1.0,48.0
wide_spread_hard_block: spread=14c > 12c,need_6,1,1,0,1,0.0,-29.0,-29.0,29.0,-1.0,-4.5,21.0,21.0,21.0,0.0,1.0,21.0,-4.5,50.0,35.2,6.0,3.0,14.0
wide_spread_hard_block: spread=48c > 12c,need_6,1,1,0,1,0.0,-63.0,-63.0,63.0,-1.0,-13.0,-13.0,-13.0,-13.0,0.0,0.0,-13.0,-38.5,50.0,35.2,6.0,3.0,48.0
wide_spread_hard_block: spread=43c > 12c,need_7_plus,1,1,0,1,0.0,-50.0,-50.0,50.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.5,50.0,35.2,7.0,4.0,43.0
wide_spread_hard_block: spread=26c > 12c,need_2,1,1,1,0,1.0,24.0,24.0,76.0,0.3158,-26.0,-26.0,-26.0,-26.0,0.0,0.0,2.5,-26.0,50.0,35.2,2.0,-1.0,26.0
