deficit_bucket,inning_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_1,late_7_plus,low_lt_3_5,748,0.2326,0.3262,0.2487,0.3503,0.3984,0.3262,0.9746,-0.861,0.293
down_4,late_7_plus,mid_3_5_4_5,730,0.0247,0.0397,0.0315,0.3493,0.4123,0.3589,0.0945,-3.871,3.323
down_4,middle_4_6,mid_3_5_4_5,697,0.0689,0.1205,0.0846,0.3945,0.5366,0.4347,0.1377,-4.22,3.076
down_4,late_7_plus,high_4_5_5_5,684,0.0205,0.0292,0.0205,0.2865,0.3436,0.2895,0.0599,-4.072,3.513
down_1,late_7_plus,very_high_5_5_plus,675,0.2667,0.3881,0.2874,0.3911,0.4533,0.3881,0.9793,-0.671,0.15
down_2,late_7_plus,low_lt_3_5,673,0.1204,0.1768,0.1233,0.3447,0.3908,0.3388,0.3388,-1.841,1.334
down_2,middle_4_6,very_high_5_5_plus,629,0.2576,0.38,0.2989,0.4038,0.5882,0.4404,0.4404,-2.428,1.145
down_4,middle_4_6,high_4_5_5_5,603,0.073,0.1327,0.0945,0.3814,0.5257,0.4013,0.1592,-4.06,3.063
down_2,early_1_3,low_lt_3_5,600,0.285,0.4917,0.3567,0.4317,0.5833,0.4633,0.4633,-2.005,1.078
down_3,early_1_3,mid_3_5_4_5,574,0.1951,0.2857,0.2439,0.4042,0.5714,0.4512,0.2387,-3.242,2.108
down_5_plus,middle_4_6,low_lt_3_5,571,0.035,0.049,0.0438,0.303,0.4378,0.3888,0.0385,-6.275,5.513
down_3,middle_4_6,low_lt_3_5,517,0.1238,0.2147,0.1509,0.4159,0.5493,0.4468,0.2843,-3.393,2.046
down_2,late_7_plus,very_high_5_5_plus,509,0.1277,0.2318,0.1454,0.4008,0.4715,0.3752,0.3752,-1.945,1.236
down_3,late_7_plus,very_high_5_5_plus,507,0.0572,0.0868,0.0651,0.3886,0.4359,0.3807,0.1657,-2.913,2.335
down_3,middle_4_6,very_high_5_5_plus,498,0.1486,0.2289,0.1707,0.3835,0.5723,0.4458,0.2691,-2.97,2.104
down_3,early_1_3,high_4_5_5_5,495,0.1172,0.2343,0.1475,0.3556,0.497,0.3818,0.1939,-3.945,2.248
down_2,early_1_3,very_high_5_5_plus,493,0.2759,0.4625,0.3489,0.4239,0.5558,0.4138,0.4138,-2.493,1.02
down_5_plus,middle_4_6,very_high_5_5_plus,481,0.0541,0.0769,0.0624,0.4595,0.6008,0.5135,0.052,-6.183,5.281
down_3,late_7_plus,low_lt_3_5,480,0.0354,0.0604,0.0396,0.3125,0.3604,0.2812,0.1313,-3.081,2.498
down_4,late_7_plus,low_lt_3_5,403,0.0323,0.0323,0.0323,0.2978,0.3474,0.2928,0.0645,-4.042,3.496
down_4,middle_4_6,low_lt_3_5,355,0.062,0.1352,0.0958,0.3803,0.5211,0.4113,0.1296,-4.214,3.127
down_4,late_7_plus,very_high_5_5_plus,311,0.045,0.0643,0.045,0.3666,0.4244,0.3569,0.1318,-4.013,3.264
down_5_plus,early_1_3,mid_3_5_4_5,297,0.138,0.1785,0.165,0.4343,0.596,0.4781,0.0404,-5.539,4.997
down_4,early_1_3,mid_3_5_4_5,290,0.0966,0.1517,0.1345,0.3586,0.4966,0.3586,0.0931,-4.572,3.279
down_4,middle_4_6,very_high_5_5_plus,285,0.1298,0.1789,0.1333,0.5053,0.6561,0.5719,0.1509,-4.133,2.909
down_4,early_1_3,high_4_5_5_5,282,0.1489,0.2589,0.2021,0.4007,0.5496,0.4716,0.1383,-4.039,3.018
down_3,early_1_3,very_high_5_5_plus,281,0.2028,0.3238,0.2491,0.4377,0.5836,0.4342,0.2491,-2.993,2.085
down_3,early_1_3,low_lt_3_5,273,0.1758,0.3004,0.2125,0.4432,0.5861,0.4652,0.2601,-3.484,1.916
down_5_plus,early_1_3,high_4_5_5_5,224,0.0938,0.1116,0.0938,0.4375,0.6027,0.5,0.0268,-6.165,5.317
down_5_plus,early_1_3,very_high_5_5_plus,141,0.1277,0.1418,0.1277,0.3688,0.5887,0.4539,0.0213,-5.922,5.291
down_5_plus,early_1_3,low_lt_3_5,138,0.058,0.0652,0.0652,0.3986,0.4855,0.4348,0.0507,-6.79,5.225
down_4,early_1_3,low_lt_3_5,121,0.0248,0.1074,0.0496,0.3471,0.4628,0.4132,0.0992,-5.273,3.306
down_4,early_1_3,very_high_5_5_plus,99,0.1515,0.1818,0.1515,0.4646,0.6162,0.4848,0.0707,-4.051,3.354
down_5_plus,middle_4_6,missing,49,0.0,0.0,0.0,0.3265,0.449,0.3673,0.0,-7.98,6.224
down_5_plus,late_7_plus,missing,37,0.0,0.0,0.0,0.3514,0.4595,0.1892,0.0,-9.081,8.541
down_1,middle_4_6,missing,26,0.5385,0.7308,0.6154,0.6538,0.8462,0.5769,0.9615,0.115,-0.231
down_2,late_7_plus,missing,25,0.2,0.32,0.2,0.36,0.36,0.32,0.32,-1.52,1.12
down_1,late_7_plus,missing,22,0.2727,0.6818,0.2727,0.6364,0.8182,0.6818,0.9545,-0.318,-0.227
down_3,late_7_plus,missing,22,0.0,0.0909,0.0,0.4091,0.5,0.5,0.3636,-2.864,2.045
down_5_plus,early_1_3,missing,22,0.0,0.1818,0.1818,0.3636,0.4091,0.2727,0.1818,-7.409,4.364
down_1,early_1_3,missing,21,0.4762,0.5714,0.5714,0.381,0.5238,0.4286,0.9048,-0.476,-0.381
down_3,middle_4_6,missing,18,0.1667,0.1667,0.1667,0.5,0.7778,0.5,0.1667,-2.056,1.833
down_2,middle_4_6,missing,11,0.3636,0.6364,0.5455,0.7273,0.9091,0.8182,0.8182,-1.455,0.0
down_3,early_1_3,missing,11,0.3636,0.4545,0.4545,0.1818,0.5455,0.1818,0.1818,-2.727,2.455
down_4,early_1_3,missing,11,0.3636,0.5455,0.5455,0.5455,0.6364,0.5455,0.3636,-4.364,2.0
down_4,late_7_plus,missing,11,0.0,0.0,0.0,0.5455,0.5455,0.5455,0.0,-4.545,3.455
down_2,early_1_3,missing,8,0.5,0.5,0.5,0.625,0.75,0.625,0.625,-0.5,0.0
down_4,middle_4_6,missing,5,0.4,0.4,0.4,1.0,1.0,1.0,0.4,-4.0,1.0
