deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_4,middle_4_6,40_45,249,0.0522,0.0602,0.0602,0.3173,0.4819,0.3775,0.0602,-4.277,3.365
down_3,middle_4_6,lt_40,246,0.0894,0.1585,0.1098,0.3496,0.5122,0.3862,0.2602,-3.5,2.11
down_5_plus,early_1_3,50_55,246,0.0691,0.126,0.1016,0.4431,0.5732,0.5203,0.0691,-5.947,4.671
down_2,late_7_plus,lt_40,239,0.0753,0.0879,0.0837,0.2971,0.3682,0.2845,0.2845,-1.979,1.544
down_5_plus,late_7_plus,60_plus,225,0.0,0.0,0.0,0.4089,0.4489,0.4,0.0089,-7.013,6.4
down_3,late_7_plus,lt_40,222,0.0541,0.0631,0.0541,0.3018,0.3514,0.3153,0.1306,-3.171,2.405
down_1,early_1_3,60_plus,218,0.4404,0.6239,0.5413,0.3991,0.5321,0.4541,0.9587,-0.459,-0.106
down_4,early_1_3,50_55,218,0.1147,0.1972,0.1193,0.4174,0.5872,0.4771,0.1376,-4.046,3.06
down_3,early_1_3,40_45,215,0.1209,0.2326,0.1907,0.307,0.4698,0.3023,0.1581,-4.316,2.409
down_2,middle_4_6,60_plus,204,0.25,0.3775,0.3186,0.3529,0.5049,0.4118,0.4118,-2.123,0.995
down_1,late_7_plus,60_plus,200,0.155,0.23,0.175,0.335,0.355,0.23,0.97,-1.105,0.575
down_1,middle_4_6,60_plus,199,0.2362,0.3668,0.2965,0.3216,0.5075,0.3015,0.9447,-1.673,0.266
down_4,late_7_plus,lt_40,195,0.0615,0.0667,0.0615,0.3487,0.4154,0.3026,0.0821,-4.215,3.328
down_4,middle_4_6,lt_40,193,0.1295,0.1451,0.1451,0.3316,0.513,0.3575,0.1088,-4.534,3.145
down_4,early_1_3,45_50,183,0.0874,0.1967,0.1257,0.3607,0.4317,0.3115,0.1639,-5.393,3.251
down_3,early_1_3,lt_40,170,0.1059,0.2353,0.1765,0.3647,0.5118,0.3647,0.1882,-4.406,2.235
down_2,late_7_plus,60_plus,164,0.0732,0.1585,0.1037,0.2683,0.311,0.2744,0.2744,-2.457,1.36
down_2,early_1_3,60_plus,153,0.2484,0.3856,0.3203,0.3856,0.5556,0.3268,0.3268,-2.183,1.033
down_5_plus,early_1_3,40_45,135,0.0148,0.0519,0.0148,0.4074,0.5926,0.3556,0.0519,-6.659,5.237
down_3,late_7_plus,60_plus,115,0.0609,0.1391,0.0783,0.5304,0.5826,0.5652,0.3478,-2.896,1.93
down_5_plus,middle_4_6,60_plus,114,0.0526,0.0526,0.0526,0.3333,0.5789,0.3596,0.0789,-5.956,5.254
down_5_plus,early_1_3,55_60,113,0.0619,0.1416,0.0796,0.3009,0.4248,0.3363,0.0796,-5.522,4.735
down_4,early_1_3,40_45,112,0.0982,0.1518,0.1339,0.3839,0.5804,0.3929,0.1161,-4.536,3.134
down_3,middle_4_6,60_plus,109,0.0734,0.1835,0.1009,0.3486,0.4771,0.4312,0.1651,-3.431,2.312
down_5_plus,early_1_3,lt_40,105,0.0952,0.0952,0.0952,0.4095,0.6381,0.4667,0.0476,-6.733,4.981
down_4,early_1_3,55_60,104,0.1442,0.2981,0.1635,0.4423,0.625,0.5288,0.1442,-4.163,3.0
down_4,middle_4_6,60_plus,93,0.129,0.129,0.129,0.4086,0.5591,0.4301,0.1505,-2.645,2.925
down_4,late_7_plus,60_plus,81,0.0494,0.0494,0.0494,0.2716,0.3086,0.2716,0.1235,-3.864,3.309
down_4,early_1_3,lt_40,70,0.1143,0.2286,0.1429,0.4857,0.6,0.5143,0.1714,-4.729,2.971
down_3,early_1_3,60_plus,61,0.3115,0.3443,0.3443,0.5574,0.7049,0.5246,0.1639,-2.0,1.934
down_4,early_1_3,60_plus,32,0.125,0.2188,0.1562,0.4375,0.5938,0.5,0.125,-3.875,3.094
down_5_plus,early_1_3,60_plus,23,0.1739,0.1739,0.1739,0.4783,0.7391,0.5652,0.087,-6.913,4.826
