deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_2,late_7_plus,60_plus,205,0.1171,0.1659,0.1561,0.3171,0.4049,0.3463,0.3463,-1.849,1.273
down_3,middle_4_6,60_plus,205,0.1659,0.2634,0.2098,0.439,0.5951,0.439,0.2878,-2.8,2.01
down_2,middle_4_6,lt_40,193,0.2746,0.4197,0.3161,0.3886,0.5181,0.4041,0.4041,-1.979,1.016
down_2,early_1_3,lt_40,192,0.1719,0.4115,0.2917,0.3125,0.401,0.3802,0.3802,-3.505,1.13
down_5_plus,early_1_3,40_45,165,0.0303,0.097,0.0303,0.4121,0.5697,0.4606,0.0364,-5.224,5.339
down_4,early_1_3,55_60,155,0.1419,0.1548,0.1419,0.471,0.6065,0.4903,0.2645,-3.555,2.645
down_3,late_7_plus,lt_40,149,0.1074,0.1342,0.1074,0.2685,0.2752,0.2148,0.1879,-2.564,2.349
down_5_plus,middle_4_6,60_plus,147,0.0136,0.0136,0.0136,0.415,0.551,0.4966,0.0136,-6.578,5.218
down_4,early_1_3,40_45,144,0.1319,0.2222,0.1806,0.3681,0.4931,0.3681,0.1806,-3.792,3.007
down_2,late_7_plus,lt_40,143,0.1608,0.2517,0.1958,0.3986,0.4056,0.3776,0.3776,-1.357,0.958
down_4,late_7_plus,60_plus,136,0.0294,0.0294,0.0294,0.375,0.3971,0.3162,0.0956,-3.912,3.331
down_3,middle_4_6,lt_40,130,0.2231,0.2462,0.2308,0.4615,0.6769,0.5077,0.3308,-3.046,1.838
down_3,early_1_3,60_plus,123,0.1951,0.4634,0.3171,0.5122,0.6504,0.6016,0.3496,-2.455,1.691
down_4,late_7_plus,lt_40,122,0.0574,0.082,0.0656,0.4262,0.4672,0.3852,0.1148,-3.738,3.205
down_4,middle_4_6,60_plus,117,0.0598,0.0855,0.0684,0.4786,0.6068,0.4786,0.1368,-4.538,3.077
down_4,middle_4_6,lt_40,103,0.1068,0.1845,0.1553,0.3495,0.5049,0.4466,0.165,-3.961,3.029
down_5_plus,early_1_3,55_60,83,0.0843,0.0843,0.0843,0.4819,0.5663,0.5301,0.1084,-5.277,4.614
down_3,early_1_3,lt_40,79,0.2405,0.3797,0.3038,0.443,0.5443,0.4684,0.3165,-3.772,1.835
down_4,early_1_3,60_plus,66,0.0606,0.1364,0.1061,0.4394,0.5909,0.5,0.1212,-5.409,3.045
down_5_plus,early_1_3,lt_40,55,0.0,0.0,0.0,0.1455,0.3818,0.2727,0.0,-8.618,5.618
down_5_plus,early_1_3,60_plus,44,0.1364,0.1364,0.1364,0.4773,0.6591,0.5682,0.0455,-4.818,4.295
down_4,early_1_3,lt_40,29,0.0,0.0,0.0,0.1034,0.2069,0.069,0.069,-7.172,3.897
