deficit_bucket,inning_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_4,early_1_3,high_4_5_5_5,268,0.1455,0.2201,0.1567,0.3993,0.5373,0.403,0.2015,-4.317,3.004
down_4,early_1_3,very_high_5_5_plus,216,0.1204,0.1528,0.1343,0.4491,0.5926,0.4815,0.2083,-4.157,2.796
down_3,early_1_3,low_lt_3_5,200,0.2,0.345,0.255,0.42,0.62,0.42,0.27,-3.28,2.085
down_5_plus,early_1_3,low_lt_3_5,140,0.0,0.0357,0.0,0.3143,0.5143,0.3857,0.0071,-7.264,5.593
down_5_plus,early_1_3,very_high_5_5_plus,121,0.1074,0.1074,0.1074,0.4876,0.6116,0.5537,0.0909,-5.074,4.496
down_4,early_1_3,low_lt_3_5,99,0.101,0.1515,0.1212,0.2626,0.3636,0.2828,0.1616,-4.808,3.242
down_1,middle_4_6,missing,25,0.28,0.56,0.32,0.36,0.52,0.48,0.96,-1.72,0.12
down_3,middle_4_6,missing,25,0.04,0.2,0.04,0.44,0.56,0.36,0.2,-3.6,2.12
down_5_plus,late_7_plus,missing,25,0.0,0.0,0.0,0.28,0.28,0.28,0.24,-4.24,4.08
down_1,late_7_plus,missing,23,0.4783,0.5652,0.5652,0.5652,0.5652,0.5652,1.0,-0.043,-0.217
down_1,early_1_3,missing,21,0.2857,0.6667,0.4762,0.4762,0.619,0.5238,1.0,-1.476,0.19
down_2,late_7_plus,missing,20,0.0,0.0,0.0,0.15,0.15,0.15,0.15,-2.6,1.85
down_2,middle_4_6,missing,20,0.0,0.4,0.1,0.5,0.5,0.4,0.4,-3.0,1.2
down_4,late_7_plus,missing,16,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,-4.0,4.0
down_2,early_1_3,missing,14,0.5,0.6429,0.6429,0.5,0.8571,0.6429,0.6429,0.714,-0.571
down_4,middle_4_6,missing,13,0.0769,0.0769,0.0769,0.4615,0.5385,0.4615,0.0769,-2.462,2.923
down_5_plus,middle_4_6,missing,11,0.1818,0.1818,0.1818,0.8182,0.9091,0.9091,0.1818,-1.364,2.182
down_3,early_1_3,missing,10,0.1,0.7,0.7,0.9,0.9,0.9,0.7,-1.6,0.5
down_3,late_7_plus,missing,10,0.0,0.0,0.0,0.3,0.3,0.3,0.3,-3.1,2.4
down_4,early_1_3,missing,3,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,1.333,-2.0
