deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_3,late_7_plus,45_50,691,0.0333,0.055,0.0362,0.314,0.3777,0.3111,0.1302,-3.111,2.489
down_2,middle_4_6,40_45,664,0.2154,0.3645,0.2681,0.4081,0.5527,0.4488,0.4488,-1.914,0.953
down_3,late_7_plus,50_55,644,0.0404,0.073,0.0512,0.3634,0.4332,0.3276,0.1522,-3.272,2.435
down_1,late_7_plus,55_60,615,0.2374,0.3252,0.2488,0.3512,0.3984,0.3252,0.9756,-0.878,0.324
down_2,middle_4_6,55_60,572,0.1661,0.3479,0.2395,0.4073,0.5227,0.4021,0.4021,-2.502,1.143
down_5_plus,middle_4_6,40_45,562,0.0409,0.0676,0.0569,0.411,0.5587,0.4466,0.0623,-6.717,5.358
down_3,middle_4_6,40_45,535,0.0841,0.1327,0.0935,0.3421,0.4766,0.3925,0.2131,-3.465,2.228
down_4,late_7_plus,50_55,522,0.0268,0.0383,0.0326,0.2931,0.3333,0.2663,0.0766,-4.126,3.517
down_2,late_7_plus,40_45,516,0.0872,0.1279,0.0891,0.3062,0.3547,0.3023,0.3023,-2.056,1.498
down_4,late_7_plus,45_50,511,0.0137,0.0254,0.0137,0.2779,0.3425,0.2701,0.0665,-4.35,3.55
down_4,middle_4_6,45_50,510,0.0647,0.0922,0.0725,0.3961,0.5549,0.4412,0.1118,-4.518,3.18
down_3,late_7_plus,40_45,491,0.0591,0.0937,0.0692,0.2892,0.3279,0.2709,0.165,-2.974,2.379
down_2,late_7_plus,55_60,483,0.1077,0.1988,0.118,0.323,0.3851,0.3147,0.3147,-2.153,1.331
down_1,early_1_3,60_plus,482,0.4149,0.666,0.5187,0.3983,0.5456,0.4668,0.9689,-1.154,0.054
down_2,early_1_3,40_45,473,0.2452,0.4672,0.3679,0.4144,0.5497,0.4715,0.4715,-2.249,0.975
down_4,middle_4_6,50_55,466,0.0794,0.0923,0.0837,0.397,0.5622,0.4313,0.1288,-4.23,3.114
down_1,middle_4_6,60_plus,459,0.3682,0.5468,0.4444,0.3312,0.4749,0.3834,0.9695,-1.268,0.135
down_5_plus,late_7_plus,60_plus,451,0.0155,0.0155,0.0155,0.3902,0.4523,0.4169,0.0177,-6.874,6.302
down_5_plus,middle_4_6,55_60,426,0.0141,0.0211,0.0164,0.3685,0.507,0.3638,0.0211,-6.808,5.779
down_3,early_1_3,50_55,423,0.2057,0.3357,0.2577,0.409,0.5556,0.4681,0.2577,-3.213,2.0
down_3,early_1_3,45_50,400,0.2,0.36,0.2325,0.4075,0.61,0.445,0.265,-3.32,2.0
down_2,early_1_3,55_60,390,0.2667,0.5077,0.3923,0.4128,0.5821,0.4769,0.4769,-2.005,0.987
down_1,late_7_plus,60_plus,382,0.2461,0.3927,0.2906,0.377,0.445,0.3927,0.9895,-0.785,0.257
down_4,late_7_plus,40_45,357,0.014,0.0196,0.0168,0.2353,0.2773,0.1821,0.0392,-4.204,3.703
down_2,middle_4_6,60_plus,337,0.2671,0.3798,0.273,0.3501,0.5223,0.4184,0.4184,-1.976,1.128
down_3,late_7_plus,55_60,320,0.0437,0.0844,0.0531,0.2469,0.2875,0.2406,0.1187,-3.369,2.578
down_3,middle_4_6,55_60,315,0.2,0.2889,0.2032,0.4476,0.581,0.5079,0.2667,-2.956,1.873
down_4,middle_4_6,40_45,313,0.0767,0.0958,0.0895,0.345,0.5208,0.4026,0.1342,-4.313,3.153
down_3,early_1_3,40_45,301,0.093,0.2193,0.1761,0.309,0.4452,0.3422,0.2027,-3.801,2.336
down_2,early_1_3,60_plus,283,0.3145,0.4558,0.3675,0.4735,0.6148,0.4558,0.4558,-2.318,1.004
down_5_plus,early_1_3,45_50,283,0.0495,0.0883,0.0601,0.3746,0.5548,0.4523,0.0565,-6.438,5.155
down_5_plus,late_7_plus,lt_40,273,0.0,0.0,0.0,0.381,0.4359,0.3919,0.022,-6.418,6.026
down_1,middle_4_6,lt_40,268,0.306,0.5,0.3731,0.3097,0.4664,0.3843,0.9888,-1.045,0.216
down_1,early_1_3,lt_40,260,0.3577,0.6077,0.4654,0.4269,0.5577,0.4462,0.9654,-1.288,0.073
down_2,late_7_plus,60_plus,253,0.2055,0.2648,0.2134,0.4427,0.5099,0.4466,0.4466,-1.573,1.032
down_5_plus,middle_4_6,60_plus,250,0.028,0.044,0.028,0.356,0.584,0.42,0.044,-7.152,5.576
down_4,middle_4_6,55_60,242,0.0537,0.1074,0.0579,0.3926,0.5248,0.438,0.1405,-4.298,3.004
down_3,middle_4_6,60_plus,241,0.0954,0.1826,0.112,0.3029,0.4689,0.3817,0.2282,-3.68,2.245
down_4,late_7_plus,55_60,239,0.046,0.046,0.046,0.3473,0.3933,0.3222,0.0837,-3.941,3.331
down_3,late_7_plus,60_plus,231,0.0433,0.0823,0.0433,0.342,0.3983,0.329,0.1775,-2.974,2.359
down_5_plus,early_1_3,50_55,221,0.0452,0.1403,0.0814,0.3032,0.4887,0.371,0.0543,-6.005,5.127
down_1,late_7_plus,lt_40,208,0.2212,0.3029,0.2212,0.3173,0.3606,0.3029,0.976,-0.88,0.462
down_3,early_1_3,55_60,206,0.2233,0.335,0.2718,0.4369,0.6117,0.466,0.2864,-2.922,1.981
down_4,early_1_3,45_50,195,0.0667,0.1897,0.0769,0.4462,0.6154,0.5128,0.1641,-4.615,2.985
down_4,late_7_plus,60_plus,184,0.0326,0.0326,0.0326,0.2609,0.3043,0.2391,0.1033,-4.016,3.424
down_2,late_7_plus,lt_40,183,0.0656,0.1202,0.0656,0.3661,0.4372,0.3115,0.3115,-2.148,1.541
down_5_plus,early_1_3,40_45,180,0.0722,0.0722,0.0722,0.3222,0.5056,0.4056,0.0333,-6.861,4.928
down_5_plus,middle_4_6,lt_40,173,0.0694,0.0694,0.0694,0.4509,0.6185,0.4451,0.0578,-5.983,5.59
down_4,early_1_3,50_55,172,0.0581,0.1453,0.0872,0.3488,0.4826,0.3779,0.1279,-5.093,3.169
down_4,middle_4_6,60_plus,167,0.0898,0.1437,0.0898,0.3832,0.5329,0.4371,0.1557,-3.743,3.006
down_2,middle_4_6,lt_40,154,0.2208,0.3377,0.2662,0.4221,0.5455,0.4221,0.4221,-1.857,1.123
down_3,early_1_3,60_plus,140,0.25,0.4143,0.3071,0.4357,0.5429,0.4,0.25,-2.657,2.179
down_2,early_1_3,lt_40,128,0.3906,0.5781,0.5078,0.4375,0.6172,0.4219,0.4219,-1.703,1.086
down_3,middle_4_6,lt_40,126,0.119,0.1825,0.127,0.2778,0.373,0.3333,0.1667,-3.254,2.405
down_4,early_1_3,40_45,126,0.1667,0.2302,0.2143,0.4444,0.5714,0.4365,0.119,-4.024,3.103
down_4,late_7_plus,lt_40,115,0.0261,0.0261,0.0261,0.2957,0.3826,0.287,0.0783,-3.809,3.417
down_4,early_1_3,55_60,112,0.1339,0.2054,0.1518,0.3304,0.4911,0.3125,0.1429,-5.196,3.277
down_3,late_7_plus,lt_40,107,0.0467,0.1121,0.0467,0.3645,0.3925,0.3551,0.2617,-2.935,2.271
down_3,early_1_3,lt_40,104,0.2019,0.3173,0.2788,0.4038,0.5769,0.3654,0.2885,-3.721,2.125
down_5_plus,early_1_3,55_60,104,0.1058,0.1058,0.1058,0.3846,0.625,0.4135,0.0481,-6.654,5.029
down_4,middle_4_6,lt_40,102,0.2059,0.2451,0.2451,0.3039,0.4314,0.3725,0.1667,-3.559,2.922
down_4,early_1_3,60_plus,61,0.1311,0.3115,0.1475,0.4426,0.5902,0.5574,0.1148,-3.262,3.066
down_5_plus,early_1_3,60_plus,55,0.0909,0.1636,0.0909,0.6,0.6364,0.5091,0.1273,-5.618,4.582
down_4,early_1_3,lt_40,53,0.2264,0.3208,0.2453,0.5094,0.6038,0.434,0.2264,-3.792,3.019
down_5_plus,early_1_3,lt_40,50,0.1,0.1,0.1,0.62,0.76,0.52,0.1,-6.04,5.34
