deficit_bucket,inning_bucket,offense_form_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_5_plus,middle_4_6,40_45,626,0.0383,0.0463,0.0415,0.3514,0.5,0.4169,0.0431,-6.383,5.47
down_2,early_1_3,40_45,602,0.2392,0.4502,0.3206,0.4003,0.5382,0.4153,0.4153,-2.404,1.164
down_4,late_7_plus,50_55,597,0.0151,0.0235,0.0168,0.2948,0.3467,0.2881,0.0519,-4.119,3.541
down_1,middle_4_6,55_60,567,0.2945,0.4974,0.3545,0.4162,0.5838,0.3845,0.9771,-1.432,0.069
down_4,middle_4_6,45_50,564,0.0496,0.1099,0.0656,0.3723,0.5213,0.4167,0.133,-4.266,3.129
down_4,middle_4_6,50_55,547,0.0786,0.1444,0.106,0.4168,0.5594,0.4406,0.1828,-4.038,2.956
down_3,middle_4_6,40_45,524,0.1107,0.1947,0.1279,0.4122,0.542,0.4313,0.2481,-3.592,2.132
down_1,late_7_plus,55_60,521,0.2246,0.3608,0.2495,0.3666,0.4242,0.3608,0.977,-0.816,0.299
down_2,middle_4_6,55_60,501,0.1916,0.3194,0.2236,0.3792,0.5529,0.3772,0.3772,-2.589,1.313
down_3,late_7_plus,40_45,491,0.0367,0.0591,0.0428,0.3442,0.389,0.3096,0.1202,-3.022,2.485
down_3,early_1_3,45_50,468,0.1987,0.3013,0.2607,0.3996,0.562,0.4444,0.2436,-3.118,2.079
down_3,middle_4_6,55_60,444,0.1351,0.232,0.1667,0.4392,0.6486,0.4662,0.2545,-3.25,2.117
down_3,early_1_3,50_55,424,0.1203,0.2288,0.1509,0.3561,0.5189,0.3915,0.2005,-3.771,2.257
down_5_plus,middle_4_6,55_60,422,0.0403,0.0592,0.0521,0.4621,0.609,0.4858,0.0379,-6.379,5.566
down_2,late_7_plus,55_60,418,0.11,0.2057,0.122,0.3636,0.4354,0.3589,0.3589,-1.852,1.299
down_1,early_1_3,60_plus,407,0.4349,0.7371,0.5946,0.484,0.629,0.5184,0.9681,-0.735,-0.064
down_2,early_1_3,55_60,403,0.263,0.4169,0.3176,0.3945,0.5409,0.3697,0.3697,-2.871,1.122
down_4,middle_4_6,40_45,395,0.0709,0.1367,0.1013,0.3949,0.5215,0.4304,0.1316,-4.175,3.061
down_4,late_7_plus,40_45,389,0.0257,0.0308,0.0308,0.3239,0.3933,0.3008,0.072,-4.039,3.463
down_3,late_7_plus,55_60,346,0.052,0.0809,0.0694,0.4306,0.4884,0.4335,0.1792,-2.939,2.277
down_1,middle_4_6,lt_40,345,0.3594,0.5942,0.4841,0.458,0.5884,0.5188,0.9884,-0.794,-0.119
down_1,middle_4_6,60_plus,323,0.4365,0.6656,0.5356,0.4427,0.6006,0.5046,0.9659,-0.619,-0.09
down_3,early_1_3,40_45,316,0.1772,0.2658,0.1994,0.3924,0.5538,0.4367,0.2247,-3.858,2.085
down_1,early_1_3,lt_40,309,0.3948,0.6796,0.5825,0.4175,0.6052,0.4757,0.9806,-1.333,0.013
down_5_plus,late_7_plus,60_plus,301,0.0133,0.0133,0.0133,0.3355,0.3588,0.3056,0.0498,-6.425,5.857
down_4,late_7_plus,55_60,293,0.0375,0.0614,0.0375,0.3174,0.372,0.3276,0.1024,-4.157,3.328
down_5_plus,late_7_plus,lt_40,284,0.007,0.007,0.007,0.2958,0.3627,0.3028,0.0141,-6.634,6.173
down_2,middle_4_6,60_plus,266,0.3045,0.4211,0.3722,0.4098,0.5789,0.4586,0.4586,-2.271,0.966
down_1,late_7_plus,60_plus,263,0.2966,0.4183,0.3156,0.4068,0.4639,0.4183,0.981,-0.662,0.099
down_5_plus,early_1_3,45_50,257,0.0739,0.1167,0.1012,0.4358,0.5681,0.4708,0.0233,-6.093,5.167
down_4,early_1_3,50_55,248,0.125,0.254,0.2056,0.3468,0.5282,0.4234,0.125,-4.266,3.137
down_2,middle_4_6,lt_40,244,0.2336,0.3566,0.2705,0.3607,0.5246,0.4057,0.4057,-2.471,1.197
down_4,early_1_3,45_50,234,0.0855,0.1325,0.1197,0.3632,0.4957,0.3632,0.1026,-4.547,3.248
down_3,early_1_3,55_60,229,0.1528,0.3057,0.1965,0.4148,0.5677,0.4061,0.2009,-3.541,2.175
down_1,late_7_plus,lt_40,228,0.2675,0.3596,0.307,0.3509,0.4035,0.3596,1.0,-0.566,0.066
down_3,late_7_plus,60_plus,220,0.0682,0.0955,0.0682,0.3545,0.4182,0.3591,0.1727,-2.877,2.323
down_4,middle_4_6,55_60,219,0.0822,0.137,0.0868,0.4886,0.6256,0.5068,0.1005,-4.397,3.142
down_2,late_7_plus,60_plus,214,0.1822,0.257,0.2103,0.4299,0.486,0.3645,0.3645,-1.967,1.117
down_5_plus,early_1_3,50_55,205,0.1707,0.2146,0.1951,0.4634,0.6293,0.5122,0.0488,-5.502,5.049
down_2,early_1_3,60_plus,190,0.2632,0.4842,0.3684,0.3895,0.5158,0.4105,0.4105,-2.232,0.958
down_3,middle_4_6,60_plus,183,0.1585,0.2514,0.1694,0.2842,0.4098,0.3607,0.224,-2.831,2.191
down_2,late_7_plus,lt_40,181,0.1326,0.1878,0.1381,0.3481,0.4033,0.3757,0.3757,-1.961,1.271
down_5_plus,middle_4_6,lt_40,178,0.0112,0.0281,0.0281,0.2472,0.3764,0.3539,0.0281,-6.219,5.669
down_5_plus,middle_4_6,60_plus,177,0.0508,0.0734,0.0508,0.3955,0.5198,0.4802,0.0452,-5.797,5.034
down_2,early_1_3,lt_40,172,0.3256,0.4709,0.3779,0.4826,0.6686,0.4884,0.4884,-2.047,1.081
down_3,late_7_plus,lt_40,152,0.0329,0.0461,0.0329,0.2237,0.2632,0.1974,0.1184,-3.237,2.664
down_3,middle_4_6,lt_40,149,0.1879,0.2617,0.2215,0.4362,0.5369,0.4295,0.2886,-3.06,1.993
down_4,early_1_3,40_45,137,0.0657,0.1533,0.0876,0.3869,0.5036,0.4307,0.1022,-5.161,3.255
down_5_plus,early_1_3,40_45,135,0.1704,0.1704,0.1704,0.4296,0.6,0.4741,0.0889,-5.615,4.496
down_4,middle_4_6,60_plus,125,0.216,0.248,0.216,0.44,0.616,0.528,0.2,-3.504,2.736
down_4,late_7_plus,lt_40,117,0.0684,0.0684,0.0684,0.2906,0.3077,0.2991,0.1197,-4.017,3.35
down_4,late_7_plus,60_plus,112,0.0714,0.0804,0.0714,0.3839,0.4821,0.3929,0.1607,-3.509,3.125
down_5_plus,early_1_3,55_60,112,0.0893,0.1071,0.0893,0.4018,0.5268,0.4196,0.0179,-6.562,5.768
down_3,early_1_3,60_plus,109,0.3028,0.4037,0.3486,0.4587,0.578,0.4862,0.3303,-2.312,1.844
down_4,middle_4_6,lt_40,95,0.0947,0.0947,0.0947,0.3474,0.5053,0.3789,0.0947,-4.4,3.305
down_4,early_1_3,55_60,93,0.2151,0.2903,0.2151,0.5376,0.6344,0.5484,0.172,-3.548,2.849
down_3,early_1_3,lt_40,88,0.125,0.25,0.1591,0.5341,0.6023,0.4659,0.2727,-3.364,1.943
down_5_plus,early_1_3,lt_40,63,0.0,0.0159,0.0159,0.3333,0.381,0.3651,0.0159,-7.46,6.063
down_4,early_1_3,60_plus,51,0.2157,0.2157,0.2157,0.4314,0.6078,0.5098,0.0588,-3.843,3.216
down_5_plus,early_1_3,60_plus,50,0.02,0.02,0.02,0.22,0.64,0.48,0.02,-6.08,4.8
down_4,early_1_3,lt_40,40,0.025,0.025,0.025,0.375,0.425,0.375,0.025,-4.925,3.575
