deficit_bucket,inning_bucket,l10_rpg_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_5_plus,early_1_3,very_high_5_5_plus,115,0.1391,0.1739,0.1391,0.5391,0.6783,0.4957,0.1043,-5.765,4.652
down_1,middle_4_6,missing,47,0.6383,0.766,0.7234,0.4681,0.5957,0.4894,1.0,0.702,-0.298
down_1,early_1_3,missing,42,0.3571,0.5476,0.5476,0.4762,0.6667,0.381,1.0,-1.262,0.31
down_1,late_7_plus,missing,38,0.3421,0.6316,0.3421,0.5526,0.7105,0.6316,0.9474,-0.842,-0.368
down_3,late_7_plus,missing,28,0.0,0.0,0.0,0.4643,0.7143,0.3929,0.0,-3.357,2.607
down_2,late_7_plus,missing,21,0.2857,0.381,0.2857,0.5238,0.5714,0.5238,0.5238,-1.333,0.81
down_2,middle_4_6,missing,18,0.5556,0.5556,0.5556,0.6667,0.8889,0.8889,0.8889,-0.056,0.5
down_3,middle_4_6,missing,17,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,-3.0,2.294
down_5_plus,late_7_plus,missing,14,0.0,0.0,0.0,0.3571,0.3571,0.2857,0.0,-8.286,7.571
down_4,middle_4_6,missing,12,0.0,0.0,0.0,0.5833,0.5833,0.5833,0.25,-6.0,2.917
down_3,early_1_3,missing,9,0.2222,0.2222,0.2222,0.2222,0.4444,0.4444,0.2222,-2.667,2.333
down_2,early_1_3,missing,6,0.0,0.0,0.0,0.5,0.8333,0.3333,0.3333,-6.333,1.833
down_4,late_7_plus,missing,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,4.0
down_5_plus,middle_4_6,missing,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-7.0,3.5
down_5_plus,early_1_3,missing,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-10.0,4.0
down_4,early_1_3,missing,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,2.0
