deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_3,middle_4_6,45_50,698,0.1418,0.2264,0.1504,0.3739,0.5215,0.414,0.2607,-3.355,2.1
down_3,late_7_plus,45_50,653,0.0628,0.1103,0.072,0.3216,0.3859,0.2986,0.1623,-3.006,2.358
down_4,middle_4_6,50_55,652,0.0828,0.1411,0.092,0.3942,0.5506,0.4325,0.1319,-4.014,3.092
down_1,early_1_3,55_60,638,0.4279,0.6364,0.5611,0.4326,0.5643,0.442,0.9498,-0.831,-0.042
down_5_plus,late_7_plus,40_45,634,0.0079,0.0079,0.0079,0.418,0.4653,0.4038,0.0252,-7.334,6.74
down_3,early_1_3,50_55,632,0.2405,0.4035,0.2943,0.4351,0.5791,0.4557,0.2848,-2.479,1.97
down_5_plus,late_7_plus,55_60,632,0.0,0.0,0.0,0.3544,0.432,0.3354,0.0063,-6.922,6.389
down_1,middle_4_6,55_60,624,0.3702,0.5561,0.4535,0.4022,0.5625,0.4311,0.9776,-0.74,-0.112
down_1,middle_4_6,40_45,608,0.2928,0.4918,0.4128,0.3569,0.5181,0.3914,0.977,-1.423,0.146
down_5_plus,late_7_plus,lt_40,603,0.0066,0.0066,0.0066,0.3333,0.3682,0.3284,0.0232,-7.332,6.655
down_1,early_1_3,40_45,540,0.3333,0.6204,0.5019,0.4352,0.563,0.4407,0.9685,-1.761,0.063
down_1,early_1_3,lt_40,529,0.2665,0.5198,0.4121,0.3667,0.5595,0.3819,0.9527,-2.259,0.206
down_1,middle_4_6,lt_40,507,0.2702,0.5227,0.3629,0.3767,0.5325,0.432,0.9645,-1.755,0.189
down_1,late_7_plus,55_60,506,0.2787,0.3775,0.3241,0.3676,0.4209,0.3775,0.9704,-0.686,0.069
down_2,middle_4_6,55_60,506,0.2332,0.3992,0.2905,0.4605,0.6285,0.5178,0.5178,-1.895,0.806
down_4,late_7_plus,45_50,488,0.0246,0.0492,0.0307,0.3033,0.332,0.2787,0.084,-4.076,3.453
down_4,middle_4_6,45_50,447,0.094,0.1566,0.1141,0.4832,0.6219,0.4944,0.1432,-4.163,2.96
down_5_plus,middle_4_6,40_45,440,0.025,0.0455,0.025,0.4023,0.5773,0.4205,0.05,-7.702,6.136
down_3,early_1_3,45_50,432,0.2523,0.3657,0.2963,0.4282,0.581,0.412,0.2407,-2.87,2.081
down_1,late_7_plus,40_45,429,0.1818,0.2867,0.2191,0.3054,0.3683,0.2867,0.9604,-1.051,0.469
down_2,middle_4_6,lt_40,416,0.2043,0.3365,0.2236,0.3365,0.4784,0.375,0.375,-2.601,1.195
down_5_plus,middle_4_6,lt_40,413,0.0169,0.0363,0.0169,0.414,0.6077,0.4673,0.0387,-6.927,5.579
down_1,late_7_plus,lt_40,405,0.1975,0.2864,0.2296,0.3358,0.3556,0.2864,0.9728,-1.126,0.44
down_5_plus,middle_4_6,55_60,395,0.0076,0.038,0.0228,0.3949,0.5747,0.4177,0.038,-6.742,5.762
down_2,late_7_plus,55_60,388,0.134,0.1985,0.1418,0.3325,0.4098,0.3222,0.3222,-1.941,1.353
down_1,middle_4_6,60_plus,374,0.2513,0.5053,0.3503,0.3877,0.5428,0.4385,0.9679,-1.324,0.168
down_2,middle_4_6,40_45,369,0.2222,0.3442,0.2818,0.4309,0.5799,0.4282,0.4282,-2.317,1.003
down_2,early_1_3,55_60,357,0.3333,0.493,0.437,0.4734,0.5882,0.465,0.465,-1.913,0.866
down_1,early_1_3,60_plus,353,0.3824,0.6884,0.5269,0.4533,0.6006,0.4958,0.9547,-1.096,-0.309
down_2,late_7_plus,lt_40,331,0.1057,0.1722,0.1178,0.3202,0.3414,0.3051,0.3051,-2.03,1.36
down_2,early_1_3,lt_40,330,0.2152,0.4273,0.297,0.4909,0.6182,0.4879,0.4879,-3.058,1.052
down_2,late_7_plus,40_45,329,0.1337,0.1581,0.1398,0.3343,0.3769,0.2766,0.2766,-1.897,1.359
down_3,middle_4_6,55_60,325,0.2154,0.3415,0.2831,0.4431,0.6,0.5108,0.3262,-2.612,1.76
down_3,middle_4_6,lt_40,321,0.1184,0.1776,0.1215,0.4112,0.5483,0.433,0.2555,-3.533,2.034
down_3,late_7_plus,40_45,315,0.0762,0.1048,0.0889,0.3175,0.3905,0.273,0.1556,-2.879,2.39
down_1,late_7_plus,60_plus,312,0.1635,0.2372,0.1795,0.2788,0.3237,0.2372,0.9679,-0.958,0.474
down_3,middle_4_6,40_45,306,0.1699,0.2451,0.2124,0.415,0.5621,0.4085,0.2386,-2.99,2.095
down_4,early_1_3,50_55,301,0.1362,0.2326,0.1628,0.3987,0.5449,0.4585,0.1927,-3.777,2.87
down_3,late_7_plus,55_60,298,0.0772,0.1309,0.1007,0.4094,0.4564,0.3758,0.2013,-2.913,2.245
down_3,late_7_plus,lt_40,292,0.0616,0.0925,0.0616,0.2774,0.2979,0.2534,0.1849,-3.199,2.462
down_5_plus,early_1_3,50_55,286,0.0769,0.1189,0.1084,0.4266,0.6119,0.5035,0.0699,-6.056,4.857
down_2,middle_4_6,60_plus,273,0.2491,0.4505,0.3516,0.4396,0.5934,0.4982,0.4982,-1.722,0.703
down_2,early_1_3,40_45,272,0.2868,0.5257,0.4081,0.4816,0.6434,0.5037,0.5037,-2.287,1.004
down_4,late_7_plus,lt_40,268,0.0261,0.0373,0.0261,0.2612,0.306,0.2127,0.0634,-4.157,3.552
down_4,late_7_plus,40_45,258,0.0388,0.0543,0.0543,0.3953,0.4767,0.4031,0.0969,-3.961,3.287
down_2,late_7_plus,60_plus,249,0.1044,0.1486,0.1245,0.3133,0.3735,0.3092,0.3092,-1.924,1.337
down_5_plus,early_1_3,45_50,247,0.0607,0.085,0.0688,0.4453,0.6073,0.4615,0.0283,-6.32,5.287
down_5_plus,late_7_plus,60_plus,244,0.0,0.0,0.0,0.3115,0.3484,0.2828,0.0,-7.381,6.779
down_4,late_7_plus,55_60,235,0.0213,0.0213,0.0213,0.2979,0.3404,0.2213,0.0468,-4.128,3.634
down_3,early_1_3,55_60,223,0.278,0.417,0.3632,0.4439,0.6009,0.5022,0.3004,-2.372,1.758
down_4,early_1_3,45_50,215,0.1953,0.2651,0.2093,0.4744,0.614,0.4744,0.2419,-4.0,2.795
down_4,middle_4_6,40_45,214,0.0841,0.1168,0.0888,0.4299,0.5561,0.4019,0.1262,-4.57,3.065
down_4,middle_4_6,lt_40,211,0.0711,0.09,0.0806,0.4028,0.5545,0.5024,0.128,-4.611,3.009
down_4,middle_4_6,55_60,206,0.1117,0.1408,0.1359,0.301,0.4369,0.3252,0.1311,-4.286,3.184
down_2,early_1_3,60_plus,189,0.3069,0.6402,0.5132,0.4233,0.6243,0.4974,0.4974,-1.651,0.725
down_3,middle_4_6,60_plus,175,0.1314,0.2057,0.1771,0.4286,0.6057,0.4971,0.2743,-3.08,1.937
down_5_plus,middle_4_6,60_plus,167,0.0778,0.0778,0.0778,0.4371,0.5808,0.4431,0.1198,-6.695,5.096
down_3,early_1_3,40_45,165,0.2121,0.2848,0.2424,0.4303,0.6,0.4606,0.3576,-3.461,1.909
down_3,early_1_3,lt_40,161,0.0435,0.1491,0.0745,0.4224,0.6273,0.4161,0.1863,-4.453,2.261
down_3,late_7_plus,60_plus,159,0.0252,0.044,0.0252,0.3836,0.4025,0.3208,0.0943,-2.937,2.553
down_4,late_7_plus,60_plus,132,0.0,0.0303,0.0,0.3258,0.3712,0.3182,0.053,-3.97,3.492
down_4,early_1_3,40_45,125,0.04,0.096,0.056,0.312,0.44,0.288,0.104,-5.64,3.32
down_5_plus,early_1_3,40_45,125,0.032,0.08,0.032,0.408,0.552,0.408,0.032,-7.744,5.952
down_4,early_1_3,55_60,116,0.1983,0.25,0.2328,0.5345,0.6293,0.431,0.2155,-4.034,2.664
down_5_plus,early_1_3,lt_40,110,0.0727,0.1545,0.1182,0.4727,0.6818,0.4727,0.0636,-7.245,5.036
down_5_plus,early_1_3,55_60,104,0.0481,0.0865,0.0865,0.4038,0.5865,0.4615,0.0481,-5.779,5.192
down_4,middle_4_6,60_plus,97,0.1031,0.1443,0.1237,0.4536,0.5361,0.5052,0.2268,-4.155,2.67
down_4,early_1_3,lt_40,91,0.0989,0.1648,0.1319,0.4835,0.5934,0.4725,0.1209,-4.747,3.198
down_3,early_1_3,60_plus,77,0.2208,0.5325,0.4545,0.5584,0.7403,0.6883,0.4675,-2.39,1.26
down_4,early_1_3,60_plus,66,0.1364,0.197,0.197,0.4545,0.6515,0.5455,0.2424,-3.621,2.788
down_5_plus,early_1_3,60_plus,49,0.102,0.102,0.102,0.449,0.6735,0.551,0.1429,-5.122,5.122
