deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_min_deficit_next_2
down_4,late_7_plus,45_50,656,0.0244,0.0351,0.032,0.3445,0.407,0.3628,0.0899,-3.988,3.341
down_4,late_7_plus,50_55,649,0.0247,0.0401,0.0247,0.2881,0.3297,0.2804,0.0632,-4.094,3.498
down_5_plus,late_7_plus,40_45,646,0.0,0.0062,0.0,0.3375,0.4071,0.3251,0.017,-6.924,6.404
down_1,early_1_3,40_45,631,0.3027,0.5499,0.4089,0.3819,0.5055,0.3851,0.954,-1.815,0.217
down_4,middle_4_6,45_50,607,0.1087,0.1647,0.1433,0.4333,0.5717,0.4646,0.1466,-4.041,2.974
down_1,late_7_plus,55_60,587,0.2436,0.3543,0.2624,0.3578,0.4123,0.3543,0.9796,-0.709,0.218
down_1,middle_4_6,40_45,586,0.3191,0.5188,0.3635,0.3242,0.5034,0.3891,0.9829,-1.543,0.242
down_2,middle_4_6,55_60,583,0.199,0.3431,0.2521,0.4271,0.5712,0.4237,0.4237,-2.233,1.173
down_4,middle_4_6,50_55,571,0.0701,0.1629,0.0893,0.4133,0.5604,0.4694,0.1786,-4.207,2.919
down_5_plus,late_7_plus,lt_40,548,0.0274,0.0347,0.0274,0.3595,0.4015,0.3412,0.042,-6.44,5.967
down_1,early_1_3,lt_40,524,0.2844,0.6508,0.4752,0.3607,0.542,0.3817,0.9561,-1.847,0.347
down_3,early_1_3,45_50,504,0.2163,0.3313,0.246,0.3651,0.5278,0.4067,0.2202,-3.2,2.087
down_1,middle_4_6,lt_40,487,0.3121,0.6099,0.4148,0.4353,0.5626,0.4928,0.9815,-1.078,-0.094
down_2,late_7_plus,55_60,483,0.1201,0.1739,0.1325,0.2961,0.3354,0.2754,0.2754,-1.826,1.422
down_2,middle_4_6,40_45,468,0.2051,0.3205,0.25,0.3868,0.5385,0.4274,0.4274,-2.468,1.058
down_3,middle_4_6,55_60,461,0.1367,0.2256,0.154,0.4013,0.5423,0.4599,0.282,-3.141,1.972
down_2,early_1_3,55_60,451,0.2528,0.4989,0.337,0.3858,0.5654,0.4612,0.4612,-1.987,1.022
down_5_plus,middle_4_6,55_60,441,0.0476,0.068,0.0635,0.3741,0.5193,0.4512,0.0635,-5.921,5.109
down_5_plus,middle_4_6,40_45,428,0.0374,0.0537,0.0374,0.3972,0.5421,0.4346,0.0467,-6.495,5.36
down_2,middle_4_6,lt_40,415,0.1663,0.2723,0.2169,0.3277,0.4795,0.3904,0.3904,-2.802,1.272
down_1,late_7_plus,40_45,411,0.2433,0.3212,0.253,0.3528,0.4282,0.3212,0.9708,-0.949,0.399
down_2,early_1_3,40_45,403,0.2159,0.4094,0.2978,0.4144,0.5434,0.4218,0.4218,-2.861,1.132
down_3,early_1_3,50_55,392,0.1607,0.2347,0.1964,0.3648,0.5179,0.4209,0.2015,-3.635,2.209
down_1,late_7_plus,lt_40,388,0.2216,0.3299,0.2294,0.317,0.3737,0.3299,0.9613,-0.99,0.384
down_3,late_7_plus,55_60,364,0.0714,0.0797,0.0714,0.3407,0.3846,0.3407,0.1841,-2.907,2.349
down_2,late_7_plus,lt_40,359,0.078,0.1476,0.0891,0.2646,0.3064,0.2674,0.2674,-2.29,1.504
down_3,late_7_plus,40_45,322,0.028,0.0373,0.028,0.295,0.3509,0.2671,0.0683,-3.174,2.615
down_1,early_1_3,60_plus,320,0.4344,0.7031,0.5813,0.5188,0.6531,0.5469,0.9469,-0.459,-0.319
down_5_plus,middle_4_6,lt_40,316,0.0316,0.0506,0.0411,0.2753,0.4462,0.3544,0.0285,-6.282,5.709
down_2,late_7_plus,40_45,310,0.129,0.1613,0.1355,0.4032,0.4677,0.3516,0.3516,-1.877,1.342
down_3,middle_4_6,40_45,303,0.0726,0.132,0.0792,0.3861,0.5248,0.4488,0.2013,-3.894,2.254
down_3,late_7_plus,lt_40,287,0.0279,0.0418,0.0279,0.2997,0.3484,0.2509,0.0871,-3.279,2.631
down_2,early_1_3,lt_40,280,0.1607,0.325,0.2286,0.375,0.4929,0.3607,0.3607,-3.157,1.404
down_4,late_7_plus,55_60,274,0.0292,0.0365,0.0292,0.3139,0.3942,0.3321,0.1058,-3.759,3.332
down_3,middle_4_6,lt_40,268,0.097,0.1754,0.1418,0.3209,0.4552,0.3657,0.2313,-3.373,2.134
down_4,middle_4_6,55_60,262,0.0687,0.0954,0.0763,0.4237,0.5267,0.4008,0.1489,-4.08,3.179
down_1,late_7_plus,60_plus,253,0.2174,0.3992,0.2806,0.4071,0.4585,0.3992,0.9802,-0.787,0.17
down_4,late_7_plus,40_45,253,0.0316,0.0395,0.0316,0.2806,0.3439,0.2885,0.087,-4.087,3.494
down_1,middle_4_6,60_plus,251,0.3586,0.5657,0.4542,0.3466,0.5378,0.3904,0.988,-0.876,0.187
down_3,early_1_3,55_60,249,0.1807,0.3253,0.2329,0.3735,0.5301,0.4257,0.3092,-3.0,2.096
down_4,early_1_3,45_50,246,0.1341,0.2236,0.1829,0.374,0.5325,0.435,0.0854,-4.24,3.179
down_4,middle_4_6,40_45,240,0.0875,0.1083,0.0875,0.3625,0.5417,0.4417,0.1,-4.325,3.142
down_5_plus,early_1_3,50_55,235,0.0936,0.1191,0.1106,0.3404,0.4851,0.4255,0.034,-6.387,5.217
down_5_plus,late_7_plus,60_plus,235,0.0,0.0,0.0,0.3149,0.3404,0.2681,0.0128,-7.247,6.655
down_4,early_1_3,50_55,232,0.0948,0.1681,0.1121,0.3664,0.5259,0.4181,0.1207,-4.651,3.203
down_2,middle_4_6,60_plus,218,0.2431,0.2982,0.2752,0.344,0.5413,0.3807,0.3807,-2.037,1.339
down_5_plus,early_1_3,45_50,211,0.0616,0.1043,0.0948,0.4692,0.6398,0.4692,0.019,-6.455,5.294
down_3,early_1_3,40_45,210,0.1619,0.2762,0.2048,0.5333,0.6905,0.5429,0.2238,-3.719,2.0
down_3,middle_4_6,60_plus,204,0.1029,0.201,0.1373,0.3137,0.4804,0.3725,0.2402,-2.828,2.255
down_4,late_7_plus,lt_40,198,0.0455,0.0455,0.0455,0.3838,0.4394,0.3333,0.0657,-4.056,3.449
down_2,late_7_plus,60_plus,193,0.1036,0.1813,0.1347,0.3782,0.4197,0.3782,0.3782,-1.788,1.285
down_5_plus,middle_4_6,60_plus,186,0.0699,0.1022,0.0914,0.4409,0.5161,0.457,0.1183,-6.478,5.355
down_3,late_7_plus,60_plus,182,0.0275,0.0549,0.033,0.3462,0.3956,0.3626,0.1484,-2.929,2.456
down_4,middle_4_6,lt_40,171,0.0,0.0526,0.0175,0.2398,0.4035,0.2398,0.076,-4.579,3.515
down_2,early_1_3,60_plus,170,0.3353,0.4529,0.3824,0.4176,0.5353,0.3824,0.3824,-1.894,1.088
down_3,early_1_3,lt_40,163,0.0982,0.1718,0.1534,0.3865,0.5031,0.3681,0.184,-3.877,2.215
down_3,early_1_3,60_plus,116,0.1034,0.2759,0.1638,0.5086,0.6552,0.4224,0.2759,-3.776,2.052
down_5_plus,early_1_3,40_45,116,0.1552,0.1897,0.1552,0.4052,0.5948,0.5172,0.069,-5.75,4.819
down_4,late_7_plus,60_plus,109,0.0183,0.0367,0.0183,0.4128,0.4679,0.4128,0.1193,-3.651,3.202
down_4,early_1_3,40_45,104,0.2115,0.2212,0.2115,0.3942,0.5192,0.4135,0.1058,-4.317,3.154
down_4,early_1_3,55_60,103,0.1359,0.2913,0.2524,0.4175,0.5728,0.4854,0.2233,-3.699,2.864
down_5_plus,early_1_3,55_60,101,0.1683,0.1782,0.1782,0.4059,0.5644,0.4653,0.0396,-4.851,5.099
down_4,middle_4_6,60_plus,94,0.0851,0.1277,0.0851,0.5426,0.6809,0.6064,0.1702,-3.596,2.926
down_5_plus,early_1_3,lt_40,93,0.0645,0.0753,0.0753,0.3656,0.4301,0.3978,0.0645,-5.806,5.301
down_4,early_1_3,lt_40,80,0.0,0.075,0.0375,0.375,0.4375,0.3125,0.05,-5.2,3.538
down_5_plus,early_1_3,60_plus,66,0.1818,0.2121,0.1818,0.6212,0.8485,0.6212,0.0303,-6.076,4.97
down_4,early_1_3,60_plus,38,0.0263,0.0263,0.0263,0.5263,0.5789,0.5,0.0526,-4.842,3.289
