avg_final_margin,avg_next_2_innings_opp_runs,avg_next_2_innings_team_runs,count,deficit_bucket,eventually_won_rate,gave_up_tie_or_lead_rate,held_to_win_rate,inning_bucket,lead_bucket,lead_cut_to_1_next_2_rate,lead_reduced_next_2_rate,note,offense_form_bucket,opponent_run_prevention_bucket,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,opponent_took_lead_later_rate,reduced_deficit_next_2_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,source,team_strength_bucket,tied_or_led_later_rate,took_lead_later_rate,within_1_next_2_rate
2.592,1.309,1.681,385,,,0.4,0.8182,f5_1_5,up_2,0.4519,0.4519,leader_under_pressure,,,0.4571,0.5974,0.2519,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
0.437,1.521,1.184,380,,,0.6684,0.6053,f5_1_5,up_1,0.9789,0.5342,leader_under_pressure,,,0.4632,0.6289,0.4895,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
-7.112,1.834,1.492,374,down_5_plus,0.0374,,,f5_1_5,,,,high_score_next_2_rebound,,55_60,,,,0.4412,0.377,0.5535,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0642,0.0374,0.0561
0.645,1.008,0.656,372,,,0.4059,0.7124,late_7_plus,up_1,0.9785,0.4059,leader_under_pressure,,,0.3898,0.4597,0.3065,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
-0.685,1.565,1.906,372,down_1,0.4597,,,early_1_3,,,,high_tie_or_lead_rebound,,lt_40,,,,0.5699,0.543,0.6909,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.7043,0.5941,0.9543
-2.372,1.617,1.051,371,down_2,0.2803,,,early_1_3,,,,high_tie_or_lead_rebound,,40_45,,,,0.3666,0.3261,0.4771,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4394,0.3531,0.3666
2.768,1.431,1.736,367,,,0.3297,0.8065,early_1_3,up_3,0.2725,0.4142,leader_under_pressure,,,0.4387,0.5722,0.2561,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-7.107,1.56,1.316,364,down_5_plus,0.022,,,middle_6,,,,high_score_next_2_rebound,,50_55,,,,0.4918,0.4533,0.6648,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0302,0.0247,0.0192
3.251,1.185,1.434,362,,,0.174,0.884,middle_6,up_3,0.2403,0.4309,leader_under_pressure,,,0.3812,0.5331,0.1298,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-1.913,1.608,1.577,357,down_2,0.3333,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.465,0.4734,0.5882,comeback_by_deficit_inning_strength.csv,55_60,0.493,0.437,0.465
