lead_bucket,inning_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_2,late_7_plus,45_50,835,0.8826,0.1533,0.1246,0.3725,0.4335,0.3449,0.3449,1.853,0.729,0.868,,,
up_5_plus,late_7_plus,55_60,805,1.0,0.0,0.0,0.2944,0.3304,0.282,0.0087,7.056,0.719,0.621,,,
up_4,late_7_plus,50_55,791,0.9747,0.0379,0.0303,0.2743,0.3312,0.2288,0.0721,4.087,0.785,0.697,,,
up_2,early_1_3,45_50,733,0.6971,0.4952,0.4052,0.4202,0.5894,0.4816,0.4816,1.996,1.422,1.416,,,
up_1,early_1_3,55_60,708,0.6568,0.5975,0.476,0.4237,0.5706,0.4153,0.9605,1.541,1.651,1.415,,,
up_5_plus,f5_1_5,50_55,681,0.9633,0.0573,0.0455,0.4023,0.5859,0.4581,0.0426,7.213,1.693,1.364,,,
up_2,f5_1_5,45_50,680,0.7426,0.4088,0.3235,0.4368,0.5868,0.4691,0.4691,1.941,1.374,1.369,,,
up_3,f5_1_5,50_55,646,0.839,0.2957,0.1997,0.4334,0.5882,0.4675,0.2879,3.098,1.361,1.353,,,
up_3,late_7_plus,45_50,635,0.9354,0.0961,0.074,0.3543,0.4016,0.3465,0.1764,2.732,0.592,0.857,,,
up_1,late_7_plus,55_60,603,0.7546,0.3798,0.2769,0.4113,0.4693,0.3798,0.9751,1.095,0.977,0.879,,,
up_3,early_1_3,50_55,577,0.8024,0.3466,0.26,0.3899,0.5459,0.4281,0.279,3.173,1.458,1.334,,,
up_1,middle_6,50_55,565,0.685,0.5097,0.3841,0.3858,0.5204,0.4425,0.9699,1.129,1.352,1.195,,,
up_1,early_1_3,40_45,549,0.5556,0.6867,0.5556,0.4481,0.5847,0.4936,0.9508,0.268,1.33,1.648,,,
up_5_plus,late_7_plus,60_plus,520,0.9904,0.0135,0.0096,0.3423,0.4135,0.3135,0.0135,7.908,0.962,0.727,,,
up_1,early_1_3,60_plus,485,0.6866,0.5856,0.4289,0.367,0.5258,0.4144,0.9588,1.858,1.746,1.307,,,
up_1,f5_1_5,55_60,477,0.6855,0.5388,0.4214,0.3941,0.5618,0.4235,0.9727,1.572,1.597,1.31,,,
up_4,late_7_plus,45_50,454,0.9802,0.0374,0.0264,0.3789,0.4207,0.3546,0.0903,3.78,0.628,0.846,,,
up_5_plus,middle_6,50_55,451,0.9712,0.0288,0.0288,0.408,0.5809,0.4812,0.0244,7.029,1.601,1.264,,,
up_2,middle_6,50_55,448,0.8058,0.3237,0.2411,0.3705,0.4866,0.4062,0.4062,2.069,1.333,1.152,,,
up_2,early_1_3,55_60,445,0.6899,0.5663,0.4067,0.4292,0.6022,0.4921,0.4921,1.613,1.366,1.699,,,
up_2,late_7_plus,55_60,431,0.9095,0.1439,0.1114,0.3318,0.3735,0.3132,0.3132,2.009,0.791,0.789,,,
up_1,middle_6,45_50,407,0.6978,0.4644,0.4029,0.371,0.5479,0.4103,0.9803,0.946,1.391,1.329,,,
up_5_plus,f5_1_5,45_50,406,0.9433,0.0788,0.0567,0.3966,0.6034,0.4778,0.0443,6.217,1.335,1.574,,,
up_1,early_1_3,lt_40,404,0.5248,0.7302,0.6386,0.4703,0.6337,0.495,0.9629,0.616,1.495,1.636,,,
up_4,f5_1_5,50_55,400,0.925,0.155,0.09,0.435,0.57,0.465,0.135,4.543,1.515,1.337,,,
up_5_plus,late_7_plus,40_45,399,1.0,0.0,0.0,0.3885,0.4386,0.3885,0.0175,6.386,0.782,0.845,,,
up_3,f5_1_5,45_50,391,0.8465,0.2583,0.1918,0.3504,0.5396,0.4527,0.2506,2.783,1.294,1.302,,,
up_3,late_7_plus,55_60,391,0.9616,0.0767,0.046,0.3325,0.3708,0.266,0.156,3.153,0.9,0.742,,,
up_2,f5_1_5,55_60,385,0.8182,0.4,0.2519,0.4571,0.5974,0.4519,0.4519,2.592,1.681,1.309,,,
up_1,f5_1_5,40_45,380,0.6053,0.6684,0.4895,0.4632,0.6289,0.5342,0.9789,0.437,1.184,1.521,,,
up_1,late_7_plus,40_45,372,0.7124,0.4059,0.3065,0.3898,0.4597,0.4059,0.9785,0.645,0.656,1.008,,,
up_3,early_1_3,45_50,367,0.8065,0.3297,0.2561,0.4387,0.5722,0.4142,0.2725,2.768,1.736,1.431,,,
up_3,middle_6,50_55,362,0.884,0.174,0.1298,0.3812,0.5331,0.4309,0.2403,3.251,1.434,1.185,,,
up_4,late_7_plus,55_60,351,0.9715,0.0427,0.0285,0.2991,0.3305,0.2849,0.0712,4.125,0.821,0.698,,,
up_2,late_7_plus,40_45,334,0.8653,0.1976,0.1587,0.3713,0.4461,0.3922,0.3922,1.605,0.554,0.958,,,
up_1,late_7_plus,lt_40,331,0.7764,0.3323,0.2749,0.3323,0.3807,0.3323,0.9758,0.644,0.674,0.991,,,
up_5_plus,late_7_plus,lt_40,327,0.9786,0.0306,0.0306,0.4709,0.5138,0.4159,0.0489,6.728,0.719,1.101,,,
up_5_plus,f5_1_5,55_60,322,0.9752,0.0466,0.0342,0.4596,0.6149,0.4783,0.0714,6.031,1.494,1.391,,,
up_2,middle_6,45_50,311,0.7846,0.2958,0.2572,0.3987,0.5756,0.4469,0.4469,1.894,1.508,1.469,,,
up_5_plus,early_1_3,50_55,308,0.9675,0.0747,0.0519,0.3442,0.4968,0.3734,0.0747,7.588,1.87,1.162,,,
up_2,early_1_3,40_45,307,0.6775,0.5309,0.456,0.4886,0.6124,0.5081,0.5081,1.534,1.42,1.622,,,
up_4,early_1_3,50_55,299,0.893,0.204,0.1237,0.4314,0.5619,0.4482,0.2074,4.572,1.532,1.431,,,
up_1,f5_1_5,lt_40,298,0.547,0.7013,0.557,0.4698,0.6443,0.5403,0.9832,0.51,1.218,1.715,,,
up_5_plus,middle_6,45_50,285,0.9754,0.0386,0.0281,0.4807,0.6456,0.5053,0.0456,6.491,1.589,1.681,,,
up_1,f5_1_5,60_plus,281,0.5943,0.5694,0.452,0.4164,0.5516,0.4448,0.9644,1.238,1.658,1.363,,,
up_3,f5_1_5,55_60,278,0.8669,0.2158,0.1691,0.4245,0.5396,0.3813,0.2194,4.094,1.838,1.155,,,
up_2,early_1_3,60_plus,277,0.7545,0.4332,0.3069,0.4152,0.5379,0.4404,0.4404,3.152,1.585,1.336,,,
up_3,late_7_plus,40_45,269,0.8736,0.1636,0.1301,0.3792,0.4387,0.3606,0.2825,2.428,0.58,1.123,,,
up_1,late_7_plus,60_plus,268,0.7836,0.3134,0.2388,0.3284,0.3545,0.3134,0.9701,0.981,0.866,0.881,,,
up_4,f5_1_5,45_50,251,0.8287,0.2231,0.1912,0.4303,0.6096,0.51,0.1673,3.398,1.422,1.657,,,
up_5_plus,middle_6,55_60,248,0.9919,0.0202,0.0121,0.4677,0.5766,0.4274,0.0323,6.81,1.452,1.165,,,
up_3,middle_6,45_50,241,0.8589,0.2324,0.1618,0.473,0.6183,0.527,0.3237,2.494,1.357,1.672,,,
up_2,f5_1_5,40_45,240,0.7333,0.4208,0.3375,0.4417,0.575,0.4917,0.4917,1.604,1.288,1.433,,,
up_2,late_7_plus,60_plus,236,0.8305,0.2627,0.178,0.3814,0.4195,0.3517,0.3517,1.809,0.903,1.114,,,
up_2,f5_1_5,60_plus,229,0.8035,0.3406,0.2227,0.3799,0.524,0.3624,0.3624,2.926,1.873,1.205,,,
up_3,early_1_3,55_60,228,0.7982,0.3596,0.2368,0.4912,0.6886,0.4605,0.2632,3.061,1.719,1.57,,,
up_4,middle_6,50_55,228,0.9254,0.1009,0.0789,0.4035,0.5044,0.4298,0.1404,4.079,1.408,1.154,,,
up_4,late_7_plus,60_plus,221,0.9548,0.0633,0.0452,0.3891,0.4751,0.3846,0.095,3.774,0.701,0.95,,,
up_2,early_1_3,lt_40,216,0.6157,0.537,0.4676,0.3889,0.5741,0.375,0.375,1.287,1.458,1.5,,,
up_5_plus,f5_1_5,60_plus,209,0.9426,0.067,0.0574,0.3301,0.4976,0.3636,0.0478,7.522,1.99,1.124,,,
up_3,f5_1_5,40_45,207,0.7101,0.3333,0.2947,0.3865,0.5652,0.4686,0.2657,2.082,1.261,1.329,,,
up_1,middle_6,55_60,202,0.7327,0.4752,0.3317,0.3515,0.5446,0.396,0.9554,1.515,1.663,1.163,,,
up_2,late_7_plus,lt_40,202,0.8713,0.203,0.1634,0.3465,0.4059,0.2723,0.2723,1.797,0.861,1.025,,,
up_3,late_7_plus,60_plus,198,0.9192,0.0859,0.0808,0.2879,0.3535,0.2576,0.1263,2.899,0.722,0.813,,,
up_4,f5_1_5,55_60,196,0.9286,0.1122,0.0918,0.3827,0.4949,0.398,0.0867,4.597,1.617,1.051,,,
up_4,early_1_3,45_50,195,0.8103,0.2513,0.2051,0.4103,0.5846,0.4308,0.2,3.41,1.579,1.503,,,
up_1,middle_6,40_45,186,0.586,0.6129,0.4731,0.457,0.6237,0.5215,0.9785,0.43,1.156,1.683,,,
up_5_plus,early_1_3,45_50,186,0.9032,0.1183,0.0968,0.4301,0.5914,0.4516,0.0215,5.941,1.651,1.081,,,
up_2,f5_1_5,lt_40,185,0.6757,0.5459,0.4324,0.5459,0.7027,0.6108,0.6108,1.016,1.227,2.043,,,
up_4,late_7_plus,40_45,180,0.9944,0.0167,0.0056,0.3222,0.3667,0.2389,0.0667,3.906,0.683,0.778,,,
up_3,early_1_3,60_plus,179,0.7542,0.3408,0.2961,0.4804,0.6425,0.5363,0.2682,3.145,1.872,1.659,,,
up_2,middle_6,55_60,178,0.882,0.2191,0.1573,0.3427,0.5056,0.3989,0.3989,2.247,1.315,1.202,,,
up_3,late_7_plus,lt_40,177,0.9831,0.0395,0.0339,0.2881,0.3503,0.2203,0.1186,3.299,0.972,0.706,,,
up_3,early_1_3,40_45,175,0.6229,0.4857,0.4057,0.4343,0.5657,0.4743,0.3143,1.48,1.154,1.697,,,
up_3,f5_1_5,60_plus,169,0.8343,0.2485,0.1657,0.3846,0.5207,0.432,0.2663,3.189,1.639,1.325,,,
up_4,middle_6,45_50,166,0.9217,0.1145,0.1024,0.4398,0.5964,0.4157,0.1687,3.958,1.566,1.398,,,
up_3,early_1_3,lt_40,164,0.75,0.4207,0.3659,0.4939,0.6829,0.5549,0.3171,2.689,1.238,1.652,,,
up_5_plus,f5_1_5,40_45,156,0.9551,0.0769,0.0769,0.3333,0.4872,0.3974,0.0513,5.987,0.987,1.071,,,
up_1,middle_6,lt_40,151,0.6225,0.5364,0.4238,0.3974,0.5762,0.4967,0.9801,0.702,1.305,1.377,,,
up_5_plus,middle_6,60_plus,149,0.9732,0.0403,0.0268,0.3154,0.4966,0.349,0.047,7.705,1.799,1.101,,,
up_5_plus,early_1_3,55_60,143,0.979,0.0559,0.0559,0.4266,0.7273,0.5594,0.035,5.888,1.231,1.259,,,
up_3,f5_1_5,lt_40,141,0.7943,0.2695,0.2482,0.5035,0.5887,0.4681,0.3546,3.028,1.645,1.504,,,
up_4,early_1_3,55_60,137,0.8686,0.2044,0.1971,0.3504,0.4818,0.3796,0.1241,4.285,1.387,1.19,,,
up_3,middle_6,55_60,130,0.9462,0.1231,0.0846,0.3923,0.5231,0.3462,0.2,4.1,1.938,1.023,,,
up_1,middle_6,60_plus,128,0.6016,0.5234,0.4375,0.4297,0.5625,0.4844,1.0,0.812,1.367,1.453,,,
up_4,late_7_plus,lt_40,128,0.9844,0.0156,0.0156,0.3828,0.4453,0.3516,0.0703,4.055,0.922,0.867,,,
up_5_plus,f5_1_5,lt_40,127,1.0,0.063,0.0315,0.3307,0.4724,0.4173,0.1575,7.079,2.079,1.543,,,
up_4,f5_1_5,60_plus,122,0.918,0.1311,0.082,0.3607,0.5328,0.4262,0.1311,4.598,1.697,1.336,,,
up_4,middle_6,55_60,117,0.8889,0.1197,0.1111,0.4359,0.5299,0.4017,0.1368,4.077,1.47,1.308,,,
up_2,middle_6,40_45,112,0.7679,0.2946,0.2679,0.4196,0.5179,0.4107,0.4107,1.455,1.214,1.598,,,
up_5_plus,early_1_3,60_plus,112,0.9196,0.0804,0.0804,0.3929,0.5804,0.4554,0.0536,7.089,1.571,1.205,,,
up_5_plus,middle_6,40_45,106,1.0,0.0094,0.0094,0.3302,0.5094,0.4528,0.0283,6.434,1.321,1.0,,,
up_3,middle_6,40_45,105,0.7714,0.2857,0.2476,0.3524,0.5905,0.4286,0.2,2.133,1.238,1.362,,,
up_4,early_1_3,40_45,104,0.8462,0.1923,0.1923,0.5673,0.6731,0.5,0.2212,3.904,1.558,1.865,,,
up_4,early_1_3,60_plus,103,0.835,0.233,0.1845,0.3883,0.5049,0.4078,0.233,5.165,1.67,1.34,,,
up_2,middle_6,60_plus,97,0.7835,0.3093,0.2268,0.3402,0.567,0.4124,0.4124,2.082,1.68,1.464,,,
up_2,middle_6,lt_40,94,0.7447,0.4255,0.2979,0.5638,0.7128,0.617,0.617,1.521,1.383,1.798,,,
up_5_plus,middle_6,lt_40,91,1.0,0.0879,0.033,0.3077,0.7253,0.4176,0.1319,6.978,1.956,1.945,,,
up_4,f5_1_5,lt_40,90,0.9111,0.1444,0.1,0.4556,0.5889,0.4556,0.2333,3.833,1.6,1.656,,,
up_5_plus,early_1_3,40_45,90,0.7889,0.2556,0.2556,0.6222,0.7333,0.6333,0.1333,3.267,1.022,2.3,,,
up_4,f5_1_5,40_45,84,0.9286,0.1071,0.0833,0.3929,0.5357,0.4286,0.0952,5.429,1.833,1.179,,,
up_3,middle_6,60_plus,82,0.8293,0.2195,0.1707,0.4756,0.6098,0.4634,0.2439,2.841,1.439,1.427,,,
up_5_plus,early_1_3,lt_40,82,1.0,0.1341,0.061,0.6341,0.7927,0.5976,0.0,6.561,1.5,1.61,,,
up_4,early_1_3,lt_40,76,0.8816,0.1842,0.1316,0.5395,0.6711,0.5395,0.1316,3.737,1.263,1.553,,,
up_4,middle_6,60_plus,71,0.9577,0.0845,0.0423,0.3662,0.493,0.4507,0.1127,4.268,1.437,1.056,,,
up_3,middle_6,lt_40,61,0.8852,0.1803,0.1639,0.459,0.5574,0.5082,0.3607,2.836,1.361,1.525,,,
up_4,middle_6,40_45,59,0.9492,0.0678,0.0678,0.3051,0.5763,0.4237,0.0678,4.373,2.169,1.61,,,
up_4,middle_6,lt_40,43,0.9535,0.1163,0.093,0.4884,0.6744,0.4419,0.1628,3.651,1.512,1.302,,,
