deficit_bucket,inning_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_4,middle_6,40_45,87,0.1264,0.1609,0.1494,0.3678,0.5402,0.3793,0.1724,-3.632,1.391,1.575,,,
down_5_plus,early_1_3,lt_40,87,0.1609,0.2644,0.2644,0.5977,0.7471,0.5862,0.046,-5.69,1.793,1.609,,,
down_1,middle_6,60_plus,86,0.3721,0.5581,0.4302,0.4186,0.5814,0.5349,0.9884,-0.663,1.651,1.395,,,
down_5_plus,middle_6,lt_40,82,0.0,0.0366,0.0366,0.3659,0.5366,0.4512,0.0732,-6.89,1.293,1.366,,,
down_4,early_1_3,60_plus,74,0.1351,0.1622,0.1351,0.3378,0.4324,0.3784,0.1351,-4.608,1.189,1.122,,,
down_4,early_1_3,lt_40,63,0.1905,0.2381,0.2381,0.5397,0.6984,0.6032,0.2381,-3.651,1.937,1.54,,,
down_3,middle_6,60_plus,62,0.0806,0.1613,0.0806,0.4194,0.5968,0.4194,0.2419,-3.613,1.21,1.71,,,
down_2,middle_6,60_plus,61,0.1803,0.2623,0.1803,0.2787,0.4918,0.4262,0.4262,-2.443,1.082,1.639,,,
down_3,middle_6,lt_40,59,0.1525,0.2034,0.2034,0.5085,0.6441,0.5254,0.2712,-2.508,1.305,1.203,,,
down_4,f5_1_5,lt_40,58,0.0862,0.1379,0.1034,0.5345,0.5862,0.5,0.2069,-4.534,1.845,1.793,,,
down_5_plus,early_1_3,60_plus,54,0.037,0.037,0.037,0.2778,0.6111,0.4074,0.0,-8.389,0.944,1.296,,,
down_4,middle_6,60_plus,48,0.0833,0.125,0.0833,0.3958,0.5417,0.5,0.125,-4.104,1.167,1.5,,,
down_4,middle_6,lt_40,47,0.0851,0.1064,0.1064,0.3404,0.5106,0.4681,0.1702,-3.979,1.426,1.489,,,
