deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_5_plus,late_7_plus,55_60,632,0.0,0.0,0.0,0.3544,0.432,0.3354,0.0063,-6.922,0.747,0.769,,,
down_2,f5_1_5,45_50,614,0.2248,0.4121,0.3029,0.4267,0.5782,0.4593,0.4593,-2.375,1.332,1.423,,,
down_5_plus,late_7_plus,lt_40,603,0.0066,0.0066,0.0066,0.3333,0.3682,0.3284,0.0232,-7.332,0.716,0.859,,,
down_5_plus,f5_1_5,50_55,597,0.0503,0.0737,0.0704,0.3886,0.5779,0.474,0.0653,-6.451,1.422,1.523,,,
down_1,middle_6,50_55,558,0.3728,0.5538,0.4319,0.4337,0.5645,0.4767,0.9677,-0.711,1.385,1.177,,,
down_1,early_1_3,40_45,540,0.3333,0.6204,0.5019,0.4352,0.563,0.4407,0.9685,-1.761,1.304,1.537,,,
down_1,early_1_3,lt_40,529,0.2665,0.5198,0.4121,0.3667,0.5595,0.3819,0.9527,-2.259,1.234,1.802,,,
down_1,late_7_plus,55_60,506,0.2787,0.3775,0.3241,0.3676,0.4209,0.3775,0.9704,-0.686,1.144,0.804,,,
down_4,late_7_plus,45_50,488,0.0246,0.0492,0.0307,0.3033,0.332,0.2787,0.084,-4.076,0.736,0.816,,,
down_5_plus,f5_1_5,45_50,460,0.0413,0.0609,0.0413,0.3609,0.5478,0.4543,0.0478,-6.28,1.278,1.213,,,
down_3,f5_1_5,45_50,457,0.1532,0.2429,0.1619,0.372,0.5339,0.4048,0.2495,-3.44,1.195,1.442,,,
down_2,middle_6,50_55,444,0.2027,0.3063,0.2455,0.4032,0.5698,0.4707,0.4707,-1.878,1.468,1.39,,,
down_3,early_1_3,45_50,432,0.2523,0.3657,0.2963,0.4282,0.581,0.412,0.2407,-2.87,1.449,1.669,,,
down_1,late_7_plus,40_45,429,0.1818,0.2867,0.2191,0.3054,0.3683,0.2867,0.9604,-1.051,0.725,0.802,,,
down_1,f5_1_5,40_45,427,0.2974,0.5012,0.4239,0.3607,0.5246,0.3841,0.9719,-1.56,1.283,1.642,,,
down_5_plus,middle_6,50_55,427,0.0211,0.0375,0.0328,0.4496,0.6112,0.4754,0.0445,-6.852,1.33,1.611,,,
down_1,f5_1_5,55_60,418,0.3804,0.5813,0.4737,0.3971,0.5526,0.4306,0.9809,-0.694,1.409,1.289,,,
down_1,middle_6,45_50,416,0.3293,0.512,0.4135,0.3918,0.5577,0.4495,0.9808,-1.115,1.308,1.519,,,
down_4,f5_1_5,50_55,407,0.1007,0.1744,0.1081,0.4054,0.5455,0.4447,0.14,-3.939,1.344,1.482,,,
down_1,late_7_plus,lt_40,405,0.1975,0.2864,0.2296,0.3358,0.3556,0.2864,0.9728,-1.126,0.76,0.891,,,
down_2,late_7_plus,55_60,388,0.134,0.1985,0.1418,0.3325,0.4098,0.3222,0.3222,-1.941,0.92,0.856,,,
down_2,early_1_3,55_60,357,0.3333,0.493,0.437,0.4734,0.5882,0.465,0.465,-1.913,1.577,1.608,,,
down_1,early_1_3,60_plus,353,0.3824,0.6884,0.5269,0.4533,0.6006,0.4958,0.9547,-1.096,1.756,1.433,,,
down_3,middle_6,50_55,353,0.136,0.204,0.1558,0.4448,0.6006,0.4504,0.2323,-2.833,1.331,1.428,,,
down_1,f5_1_5,lt_40,349,0.2636,0.533,0.3668,0.3954,0.5272,0.4155,0.9599,-1.888,1.095,1.693,,,
down_2,f5_1_5,55_60,347,0.245,0.4323,0.3141,0.4496,0.6369,0.5389,0.5389,-1.925,1.516,1.334,,,
down_5_plus,middle_6,45_50,332,0.0271,0.0392,0.0301,0.3795,0.5361,0.4337,0.0271,-6.807,1.253,1.593,,,
down_2,late_7_plus,lt_40,331,0.1057,0.1722,0.1178,0.3202,0.3414,0.3051,0.3051,-2.03,0.828,0.846,,,
down_2,early_1_3,lt_40,330,0.2152,0.4273,0.297,0.4909,0.6182,0.4879,0.4879,-3.058,1.4,1.706,,,
down_2,late_7_plus,40_45,329,0.1337,0.1581,0.1398,0.3343,0.3769,0.2766,0.2766,-1.897,0.884,0.812,,,
down_3,late_7_plus,40_45,315,0.0762,0.1048,0.0889,0.3175,0.3905,0.273,0.1556,-2.879,0.816,0.695,,,
down_1,late_7_plus,60_plus,312,0.1635,0.2372,0.1795,0.2788,0.3237,0.2372,0.9679,-0.958,0.75,0.715,,,
down_4,early_1_3,50_55,301,0.1362,0.2326,0.1628,0.3987,0.5449,0.4585,0.1927,-3.777,1.472,1.289,,,
down_3,late_7_plus,55_60,298,0.0772,0.1309,0.1007,0.4094,0.4564,0.3758,0.2013,-2.913,0.946,0.852,,,
down_2,middle_6,45_50,293,0.2116,0.3242,0.2594,0.3652,0.4812,0.4061,0.4061,-1.922,1.253,1.307,,,
down_3,late_7_plus,lt_40,292,0.0616,0.0925,0.0616,0.2774,0.2979,0.2534,0.1849,-3.199,0.733,0.935,,,
down_5_plus,early_1_3,50_55,286,0.0769,0.1189,0.1084,0.4266,0.6119,0.5035,0.0699,-6.056,1.392,1.528,,,
down_4,f5_1_5,45_50,279,0.1111,0.1792,0.129,0.4839,0.6595,0.5161,0.1434,-4.24,1.466,1.52,,,
down_2,f5_1_5,lt_40,277,0.2238,0.3538,0.2455,0.3394,0.4765,0.3574,0.3574,-2.791,1.101,1.675,,,
down_2,early_1_3,40_45,272,0.2868,0.5257,0.4081,0.4816,0.6434,0.5037,0.5037,-2.287,1.43,1.812,,,
down_4,late_7_plus,lt_40,268,0.0261,0.0373,0.0261,0.2612,0.306,0.2127,0.0634,-4.157,0.664,0.813,,,
down_5_plus,f5_1_5,40_45,259,0.0309,0.0463,0.0309,0.3668,0.5251,0.3861,0.0541,-8.131,1.44,2.506,,,
down_4,late_7_plus,40_45,258,0.0388,0.0543,0.0543,0.3953,0.4767,0.4031,0.0969,-3.961,0.996,0.961,,,
down_1,f5_1_5,60_plus,254,0.2638,0.5669,0.3898,0.437,0.5709,0.4843,0.9646,-1.335,1.173,1.488,,,
down_2,f5_1_5,40_45,252,0.246,0.3929,0.3056,0.4643,0.5992,0.4643,0.4643,-2.325,1.464,1.683,,,
down_2,late_7_plus,60_plus,249,0.1044,0.1486,0.1245,0.3133,0.3735,0.3092,0.3092,-1.924,0.847,0.767,,,
down_5_plus,early_1_3,45_50,247,0.0607,0.085,0.0688,0.4453,0.6073,0.4615,0.0283,-6.32,1.223,1.279,,,
down_5_plus,f5_1_5,55_60,247,0.0121,0.0526,0.0364,0.4494,0.6275,0.4332,0.0445,-6.632,1.336,1.316,,,
down_4,middle_6,50_55,245,0.0531,0.0857,0.0653,0.3755,0.5592,0.4122,0.1184,-4.139,1.184,1.531,,,
down_5_plus,late_7_plus,60_plus,244,0.0,0.0,0.0,0.3115,0.3484,0.2828,0.0,-7.381,0.623,0.77,,,
down_3,middle_6,45_50,241,0.1203,0.195,0.1286,0.3776,0.4979,0.4315,0.2822,-3.195,1.299,1.56,,,
down_5_plus,f5_1_5,lt_40,238,0.021,0.0546,0.021,0.395,0.5672,0.4454,0.0294,-6.929,1.223,1.681,,,
down_4,late_7_plus,55_60,235,0.0213,0.0213,0.0213,0.2979,0.3404,0.2213,0.0468,-4.128,0.579,0.706,,,
down_3,early_1_3,55_60,223,0.278,0.417,0.3632,0.4439,0.6009,0.5022,0.3004,-2.372,1.587,1.265,,,
down_3,f5_1_5,55_60,222,0.2432,0.3784,0.3243,0.4505,0.5901,0.5135,0.3423,-2.473,1.563,1.311,,,
down_4,early_1_3,45_50,215,0.1953,0.2651,0.2093,0.4744,0.614,0.4744,0.2419,-4.0,1.623,1.423,,,
down_1,middle_6,55_60,206,0.3495,0.5049,0.4126,0.4126,0.5825,0.432,0.9709,-0.835,1.51,1.437,,,
down_3,f5_1_5,lt_40,206,0.1214,0.1942,0.1262,0.4369,0.5777,0.4466,0.2476,-3.519,1.301,1.403,,,
down_3,f5_1_5,40_45,191,0.1885,0.2618,0.2251,0.4188,0.5707,0.4084,0.2461,-3.026,1.22,1.461,,,
down_2,early_1_3,60_plus,189,0.3069,0.6402,0.5132,0.4233,0.6243,0.4974,0.4974,-1.651,1.751,1.619,,,
down_2,f5_1_5,60_plus,185,0.2703,0.5243,0.4054,0.4703,0.627,0.5459,0.5459,-1.686,1.638,1.427,,,
down_1,middle_6,40_45,181,0.2818,0.4696,0.3867,0.3481,0.5028,0.4088,0.989,-1.099,1.204,1.425,,,
down_5_plus,middle_6,40_45,181,0.0166,0.0442,0.0166,0.453,0.6519,0.4696,0.0442,-7.088,1.713,1.685,,,
down_5_plus,middle_6,lt_40,175,0.0114,0.0114,0.0114,0.44,0.6629,0.4971,0.0514,-6.926,1.389,1.617,,,
down_4,middle_6,45_50,168,0.0655,0.119,0.0893,0.4821,0.5595,0.4583,0.1429,-4.036,1.345,1.458,,,
down_3,early_1_3,40_45,165,0.2121,0.2848,0.2424,0.4303,0.6,0.4606,0.3576,-3.461,1.606,1.788,,,
down_3,early_1_3,lt_40,161,0.0435,0.1491,0.0745,0.4224,0.6273,0.4161,0.1863,-4.453,1.149,1.77,,,
down_2,middle_6,55_60,159,0.2075,0.327,0.239,0.4843,0.6101,0.4717,0.4717,-1.83,1.352,1.44,,,
down_3,late_7_plus,60_plus,159,0.0252,0.044,0.0252,0.3836,0.4025,0.3208,0.0943,-2.937,0.698,0.635,,,
down_1,middle_6,lt_40,158,0.2848,0.5,0.3544,0.3354,0.5443,0.4684,0.9747,-1.462,1.253,1.633,,,
down_5_plus,middle_6,55_60,148,0.0,0.0135,0.0,0.3041,0.4865,0.3919,0.027,-6.926,0.932,1.426,,,
down_2,middle_6,lt_40,139,0.1655,0.3022,0.1799,0.3309,0.482,0.4101,0.4101,-2.223,1.194,1.353,,,
down_4,f5_1_5,40_45,135,0.0741,0.1037,0.0741,0.4,0.5481,0.4222,0.1259,-4.881,1.393,1.793,,,
down_4,f5_1_5,55_60,132,0.1136,0.1591,0.1515,0.303,0.4242,0.3182,0.1212,-4.394,1.144,1.47,,,
down_4,late_7_plus,60_plus,132,0.0,0.0303,0.0,0.3258,0.3712,0.3182,0.053,-3.97,0.667,0.621,,,
down_4,f5_1_5,lt_40,131,0.0611,0.0916,0.0763,0.3969,0.542,0.5038,0.1221,-4.885,1.298,1.664,,,
down_4,early_1_3,40_45,125,0.04,0.096,0.056,0.312,0.44,0.288,0.104,-5.64,1.016,1.792,,,
down_5_plus,early_1_3,40_45,125,0.032,0.08,0.032,0.408,0.552,0.408,0.032,-7.744,1.08,2.448,,,
down_3,f5_1_5,60_plus,121,0.1405,0.2479,0.2066,0.405,0.5455,0.4463,0.2562,-3.421,1.347,1.636,,,
down_1,middle_6,60_plus,120,0.225,0.375,0.2667,0.2833,0.4833,0.3417,0.975,-1.3,0.95,1.267,,,
down_2,middle_6,40_45,117,0.1709,0.2393,0.2308,0.359,0.5385,0.3504,0.3504,-2.299,1.291,1.726,,,
down_4,early_1_3,55_60,116,0.1983,0.25,0.2328,0.5345,0.6293,0.431,0.2155,-4.034,1.828,1.914,,,
down_3,middle_6,40_45,115,0.1391,0.2174,0.1913,0.4087,0.5478,0.4087,0.2261,-2.93,1.4,1.574,,,
down_3,middle_6,lt_40,115,0.113,0.1478,0.113,0.3652,0.4957,0.4087,0.2696,-3.557,1.357,1.617,,,
down_5_plus,early_1_3,lt_40,110,0.0727,0.1545,0.1182,0.4727,0.6818,0.4727,0.0636,-7.245,1.445,1.736,,,
down_5_plus,early_1_3,55_60,104,0.0481,0.0865,0.0865,0.4038,0.5865,0.4615,0.0481,-5.779,1.269,1.365,,,
down_3,middle_6,55_60,103,0.1553,0.2621,0.1942,0.4272,0.6214,0.5049,0.2913,-2.913,1.311,1.291,,,
down_5_plus,f5_1_5,60_plus,100,0.1,0.1,0.1,0.48,0.59,0.46,0.15,-6.5,1.83,1.69,,,
down_4,early_1_3,lt_40,91,0.0989,0.1648,0.1319,0.4835,0.5934,0.4725,0.1209,-4.747,1.176,1.516,,,
down_2,middle_6,60_plus,88,0.2045,0.2955,0.2386,0.375,0.5227,0.3977,0.3977,-1.795,1.432,1.25,,,
down_4,middle_6,lt_40,80,0.0875,0.0875,0.0875,0.4125,0.575,0.5,0.1375,-4.162,1.425,1.7,,,
down_4,middle_6,40_45,79,0.1013,0.1392,0.1139,0.481,0.5696,0.3671,0.1266,-4.038,1.38,1.81,,,
down_3,early_1_3,60_plus,77,0.2208,0.5325,0.4545,0.5584,0.7403,0.6883,0.4675,-2.39,2.286,1.377,,,
down_4,middle_6,55_60,74,0.1081,0.1081,0.1081,0.2973,0.4595,0.3378,0.1486,-4.095,1.108,1.446,,,
down_5_plus,middle_6,60_plus,67,0.0448,0.0448,0.0448,0.3731,0.5672,0.4179,0.0746,-6.985,1.642,1.567,,,
down_4,early_1_3,60_plus,66,0.1364,0.197,0.197,0.4545,0.6515,0.5455,0.2424,-3.621,1.455,1.636,,,
down_4,f5_1_5,60_plus,59,0.1017,0.1695,0.1356,0.4915,0.5763,0.5254,0.2034,-4.542,1.746,1.763,,,
down_3,middle_6,60_plus,54,0.1111,0.1111,0.1111,0.4815,0.7407,0.6111,0.3148,-2.315,1.537,0.907,,,
down_5_plus,early_1_3,60_plus,49,0.102,0.102,0.102,0.449,0.6735,0.551,0.1429,-5.122,1.776,1.184,,,
down_4,middle_6,60_plus,38,0.1053,0.1053,0.1053,0.3947,0.4737,0.4737,0.2632,-3.553,1.395,1.105,,,
