deficit_bucket,inning_bucket,team_strength_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_1,f5_1_5,40_45,408,0.3113,0.527,0.3652,0.299,0.4779,0.3627,0.9828,-1.679,1.032,1.468,,,
down_2,early_1_3,40_45,403,0.2159,0.4094,0.2978,0.4144,0.5434,0.4218,0.4218,-2.861,1.251,1.561,,,
down_2,f5_1_5,55_60,397,0.2015,0.3476,0.262,0.4181,0.5693,0.4156,0.4156,-2.365,1.181,1.552,,,
down_3,early_1_3,50_55,392,0.1607,0.2347,0.1964,0.3648,0.5179,0.4209,0.2015,-3.635,1.176,1.635,,,
down_4,f5_1_5,45_50,389,0.1208,0.1877,0.1645,0.4242,0.5913,0.4627,0.1542,-4.108,1.406,1.455,,,
down_1,late_7_plus,lt_40,388,0.2216,0.3299,0.2294,0.317,0.3737,0.3299,0.9613,-0.99,0.789,0.791,,,
down_2,middle_6,50_55,368,0.2255,0.3152,0.2527,0.3886,0.5707,0.4402,0.4402,-1.913,1.405,1.508,,,
down_5_plus,middle_6,50_55,368,0.019,0.0299,0.0299,0.3913,0.538,0.4429,0.019,-6.921,1.258,1.429,,,
down_3,late_7_plus,55_60,364,0.0714,0.0797,0.0714,0.3407,0.3846,0.3407,0.1841,-2.907,0.821,0.734,,,
down_2,late_7_plus,lt_40,359,0.078,0.1476,0.0891,0.2646,0.3064,0.2674,0.2674,-2.29,0.646,0.922,,,
down_1,f5_1_5,lt_40,357,0.3137,0.6331,0.4314,0.4202,0.5798,0.5042,0.9776,-1.106,1.401,1.325,,,
down_4,f5_1_5,50_55,346,0.0665,0.1763,0.0954,0.396,0.5347,0.4422,0.1734,-4.194,1.347,1.272,,,
down_2,f5_1_5,40_45,339,0.2094,0.3274,0.2566,0.3717,0.5457,0.4189,0.4189,-2.563,1.251,1.64,,,
down_3,middle_6,45_50,325,0.1108,0.1877,0.1569,0.4646,0.5477,0.4554,0.2646,-3.028,1.348,1.477,,,
down_3,f5_1_5,55_60,323,0.1486,0.2632,0.1734,0.3994,0.5387,0.4644,0.2941,-3.161,1.359,1.505,,,
down_3,late_7_plus,40_45,322,0.028,0.0373,0.028,0.295,0.3509,0.2671,0.0683,-3.174,0.578,0.761,,,
down_1,early_1_3,60_plus,320,0.4344,0.7031,0.5813,0.5188,0.6531,0.5469,0.9469,-0.459,1.8,1.378,,,
down_2,late_7_plus,40_45,310,0.129,0.1613,0.1355,0.4032,0.4677,0.3516,0.3516,-1.877,0.939,0.826,,,
down_2,f5_1_5,lt_40,291,0.1649,0.2474,0.2096,0.268,0.4364,0.3643,0.3643,-2.986,0.808,1.375,,,
down_3,late_7_plus,lt_40,287,0.0279,0.0418,0.0279,0.2997,0.3484,0.2509,0.0871,-3.279,0.585,0.861,,,
down_2,early_1_3,lt_40,280,0.1607,0.325,0.2286,0.375,0.4929,0.3607,0.3607,-3.157,1.029,1.761,,,
down_4,late_7_plus,55_60,274,0.0292,0.0365,0.0292,0.3139,0.3942,0.3321,0.1058,-3.759,0.912,0.672,,,
down_3,middle_6,50_55,268,0.1007,0.1455,0.1157,0.4328,0.5448,0.4142,0.2201,-3.194,1.123,1.392,,,
down_1,late_7_plus,60_plus,253,0.2174,0.3992,0.2806,0.4071,0.4585,0.3992,0.9802,-0.787,0.968,0.822,,,
down_4,late_7_plus,40_45,253,0.0316,0.0395,0.0316,0.2806,0.3439,0.2885,0.087,-4.087,0.672,0.767,,,
down_5_plus,f5_1_5,55_60,252,0.0714,0.1071,0.0992,0.3651,0.5198,0.4524,0.0754,-5.631,1.345,1.25,,,
down_5_plus,f5_1_5,40_45,250,0.052,0.068,0.052,0.388,0.584,0.472,0.068,-6.24,1.428,1.632,,,
