deficit_bucket,inning_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,took_lead_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
down_2,f5_1_5,50_55,821,0.2314,0.3666,0.3033,0.3666,0.5238,0.4275,0.4275,-2.341,1.194,1.446,,,
down_2,early_1_3,45_50,746,0.2051,0.4088,0.2828,0.3646,0.5322,0.3861,0.3861,-2.505,1.221,1.428,,,
down_2,f5_1_5,45_50,740,0.1716,0.3176,0.2297,0.3905,0.5486,0.3959,0.3959,-2.57,1.157,1.411,,,
down_3,late_7_plus,45_50,717,0.0502,0.0725,0.0586,0.3194,0.3654,0.3208,0.1269,-2.993,0.709,0.707,,,
down_1,early_1_3,40_45,703,0.3983,0.6273,0.4993,0.3798,0.5647,0.4253,0.9417,-0.963,1.346,1.442,,,
down_1,late_7_plus,55_60,701,0.224,0.3424,0.2425,0.3552,0.398,0.3424,0.9686,-1.037,0.874,0.939,,,
down_2,late_7_plus,55_60,661,0.0862,0.1573,0.1014,0.3086,0.348,0.3011,0.3011,-2.03,0.79,0.805,,,
down_1,f5_1_5,55_60,657,0.312,0.5266,0.3988,0.3775,0.5571,0.4049,0.9726,-1.51,1.218,1.496,,,
down_4,late_7_plus,50_55,657,0.0091,0.0167,0.0122,0.3272,0.3836,0.3333,0.0685,-4.14,0.668,0.811,,,
down_2,early_1_3,55_60,637,0.2936,0.427,0.3359,0.4097,0.5447,0.3909,0.3909,-2.05,1.278,1.433,,,
down_5_plus,late_7_plus,40_45,637,0.0141,0.022,0.0141,0.3265,0.3925,0.3218,0.0581,-6.713,0.893,0.71,,,
down_5_plus,f5_1_5,50_55,613,0.0163,0.031,0.0277,0.2887,0.4111,0.3083,0.0294,-7.215,0.876,1.84,,,
down_4,late_7_plus,45_50,611,0.0491,0.0589,0.0507,0.3191,0.3961,0.3322,0.0982,-3.876,0.871,0.746,,,
down_1,late_7_plus,40_45,579,0.2314,0.3454,0.2591,0.3713,0.4266,0.3454,0.9775,-0.712,1.036,0.718,,,
down_3,f5_1_5,50_55,577,0.1421,0.2357,0.1854,0.3622,0.4905,0.3899,0.2409,-3.688,1.199,1.756,,,
down_2,f5_1_5,55_60,561,0.2086,0.3066,0.2353,0.344,0.5187,0.3815,0.3815,-2.456,1.15,1.544,,,
down_3,late_7_plus,55_60,525,0.0267,0.0362,0.0267,0.28,0.3333,0.2571,0.101,-3.124,0.566,0.686,,,
down_3,f5_1_5,45_50,518,0.1081,0.2259,0.1409,0.4247,0.5907,0.4633,0.2587,-3.172,1.261,1.268,,,
down_3,early_1_3,50_55,515,0.1398,0.2738,0.2155,0.3767,0.5243,0.3883,0.2136,-3.87,1.235,1.612,,,
down_1,middle_6,50_55,509,0.3065,0.4892,0.3654,0.387,0.5462,0.442,0.9764,-1.118,1.198,1.413,,,
down_1,f5_1_5,40_45,505,0.3525,0.5723,0.4158,0.4356,0.6139,0.4515,0.9703,-1.036,1.499,1.457,,,
down_5_plus,middle_6,50_55,497,0.004,0.0121,0.0121,0.3421,0.4809,0.3843,0.0141,-7.151,1.101,1.618,,,
down_5_plus,f5_1_5,45_50,426,0.0704,0.0962,0.0869,0.4061,0.5775,0.4883,0.0657,-5.469,1.484,1.235,,,
down_2,early_1_3,40_45,415,0.2578,0.4627,0.3663,0.3542,0.5325,0.4289,0.4289,-2.125,1.402,1.504,,,
down_4,late_7_plus,55_60,408,0.0147,0.0196,0.0147,0.326,0.375,0.3162,0.0637,-4.056,0.703,0.755,,,
down_2,late_7_plus,40_45,405,0.1309,0.1926,0.1383,0.4074,0.4444,0.3654,0.3654,-1.849,0.975,0.867,,,
down_1,middle_6,45_50,394,0.2792,0.4645,0.3528,0.3503,0.4975,0.4036,0.9772,-1.15,1.094,1.231,,,
down_2,middle_6,50_55,392,0.2143,0.3342,0.273,0.4668,0.5816,0.4872,0.4872,-1.763,1.37,1.319,,,
down_3,f5_1_5,55_60,390,0.1103,0.1821,0.1231,0.3949,0.5103,0.4385,0.2231,-3.277,1.203,1.444,,,
down_4,f5_1_5,50_55,389,0.0823,0.1362,0.1105,0.3522,0.5064,0.3856,0.1362,-4.509,1.19,1.535,,,
down_3,early_1_3,45_50,388,0.1598,0.2629,0.1881,0.3686,0.5335,0.4072,0.2191,-3.085,1.201,1.325,,,
down_2,f5_1_5,40_45,376,0.2633,0.391,0.3218,0.4495,0.617,0.4761,0.4761,-2.027,1.42,1.665,,,
down_5_plus,f5_1_5,55_60,376,0.0372,0.0505,0.0372,0.3537,0.5133,0.4149,0.0532,-6.497,1.176,1.319,,,
down_1,early_1_3,60_plus,349,0.3181,0.7049,0.5186,0.3926,0.5501,0.4441,0.9628,-1.304,1.324,1.456,,,
down_3,early_1_3,55_60,342,0.2368,0.3216,0.2515,0.4327,0.5556,0.4649,0.2544,-2.851,1.43,1.52,,,
down_2,middle_6,45_50,335,0.2,0.3194,0.2269,0.409,0.5134,0.406,0.406,-2.239,1.03,1.484,,,
down_3,late_7_plus,40_45,328,0.0427,0.0732,0.0427,0.3323,0.375,0.3079,0.1341,-3.091,0.817,0.896,,,
down_5_plus,late_7_plus,lt_40,316,0.0665,0.0665,0.0665,0.3449,0.4082,0.3861,0.0665,-6.263,1.19,0.703,,,
down_1,early_1_3,lt_40,315,0.3302,0.7238,0.4952,0.4222,0.6,0.4476,0.946,-1.384,1.371,1.606,,,
down_3,middle_6,50_55,300,0.1167,0.1567,0.14,0.3967,0.5067,0.4033,0.23,-3.127,1.157,1.543,,,
down_5_plus,middle_6,45_50,296,0.0338,0.0507,0.0405,0.4595,0.5777,0.4932,0.0507,-5.919,1.405,1.291,,,
down_1,middle_6,55_60,295,0.3627,0.5322,0.4203,0.4373,0.6237,0.4678,0.9898,-1.034,1.403,1.464,,,
down_5_plus,late_7_plus,60_plus,292,0.0,0.0,0.0,0.3048,0.339,0.25,0.0068,-6.832,0.599,0.791,,,
down_4,f5_1_5,45_50,283,0.0742,0.1413,0.1131,0.3781,0.5371,0.4488,0.1095,-4.028,1.184,1.261,,,
down_5_plus,middle_6,55_60,271,0.0074,0.0074,0.0074,0.3542,0.4908,0.4133,0.0258,-6.668,1.199,1.435,,,
down_5_plus,early_1_3,50_55,270,0.063,0.0852,0.0778,0.4259,0.5667,0.4407,0.0407,-6.811,1.444,1.659,,,
down_3,middle_6,45_50,267,0.0712,0.1648,0.1086,0.4494,0.573,0.4569,0.2547,-2.996,1.228,1.184,,,
down_1,late_7_plus,lt_40,263,0.365,0.5057,0.403,0.4411,0.5361,0.5057,0.9848,-0.384,1.278,0.681,,,
down_4,early_1_3,50_55,263,0.1293,0.1977,0.1863,0.346,0.4791,0.3802,0.0722,-4.605,1.118,1.43,,,
down_5_plus,f5_1_5,40_45,251,0.0797,0.1116,0.0916,0.502,0.6255,0.5339,0.0797,-5.574,1.582,1.402,,,
down_1,f5_1_5,lt_40,245,0.3878,0.6449,0.5184,0.4122,0.5551,0.4122,0.9796,-0.829,1.286,1.527,,,
down_2,middle_6,55_60,245,0.1469,0.249,0.1796,0.4041,0.5429,0.4327,0.4327,-2.445,1.273,1.624,,,
down_4,f5_1_5,55_60,242,0.0785,0.1364,0.0992,0.3884,0.5785,0.4628,0.1322,-4.219,1.397,1.475,,,
down_4,late_7_plus,40_45,236,0.0212,0.0424,0.0212,0.3644,0.3941,0.3559,0.072,-3.822,0.839,0.661,,,
down_1,late_7_plus,60_plus,231,0.2338,0.381,0.2641,0.4069,0.4545,0.381,0.9697,-0.931,0.948,0.848,,,
down_3,f5_1_5,40_45,222,0.1306,0.2387,0.1667,0.4009,0.545,0.4189,0.2748,-3.752,1.383,1.766,,,
down_2,late_7_plus,lt_40,218,0.2202,0.2982,0.2706,0.4128,0.5,0.4037,0.4037,-1.532,1.326,0.872,,,
down_1,middle_6,40_45,217,0.4147,0.5484,0.4516,0.447,0.6267,0.4839,1.0,-0.373,1.59,1.092,,,
down_4,middle_6,50_55,214,0.0421,0.0701,0.0514,0.3645,0.4766,0.3832,0.1121,-4.411,1.121,1.477,,,
down_1,f5_1_5,60_plus,206,0.4078,0.665,0.534,0.466,0.6505,0.5388,0.9612,-0.403,1.578,1.311,,,
down_3,middle_6,55_60,202,0.0891,0.104,0.0941,0.4158,0.5446,0.4109,0.1931,-3.312,1.104,1.604,,,
down_2,early_1_3,lt_40,199,0.2663,0.5276,0.3668,0.4171,0.598,0.5025,0.5025,-2.075,1.402,1.352,,,
down_4,middle_6,45_50,199,0.1106,0.1407,0.1206,0.4322,0.5427,0.4573,0.1608,-3.784,1.241,1.216,,,
down_3,early_1_3,40_45,195,0.1231,0.2513,0.1538,0.3795,0.5641,0.4667,0.2256,-4.046,1.087,1.841,,,
down_3,late_7_plus,lt_40,190,0.0895,0.1053,0.0947,0.4105,0.4632,0.3947,0.2211,-2.863,1.063,0.905,,,
down_4,early_1_3,45_50,178,0.0787,0.1685,0.1124,0.3764,0.5112,0.382,0.1067,-4.556,1.129,1.758,,,
down_5_plus,early_1_3,45_50,178,0.1404,0.2022,0.1798,0.3989,0.573,0.4719,0.0449,-5.006,1.376,1.169,,,
down_5_plus,middle_6,40_45,174,0.0287,0.046,0.0287,0.3793,0.5115,0.408,0.046,-6.408,1.218,1.305,,,
down_2,middle_6,40_45,169,0.2308,0.3373,0.2544,0.497,0.6568,0.5207,0.5207,-1.781,1.497,1.432,,,
down_2,f5_1_5,lt_40,166,0.3193,0.4699,0.3976,0.4639,0.6325,0.4819,0.4819,-1.596,1.416,1.331,,,
down_5_plus,early_1_3,55_60,166,0.0542,0.0663,0.0542,0.3614,0.488,0.3855,0.0482,-6.97,1.139,1.53,,,
down_4,f5_1_5,40_45,163,0.1043,0.2393,0.135,0.5092,0.681,0.5521,0.2638,-3.503,1.712,1.491,,,
down_2,early_1_3,60_plus,154,0.3052,0.539,0.4026,0.3636,0.5325,0.4026,0.4026,-1.831,1.331,1.455,,,
down_2,late_7_plus,60_plus,154,0.1169,0.2597,0.1169,0.3247,0.3636,0.3442,0.3442,-1.883,0.909,0.74,,,
down_2,f5_1_5,60_plus,142,0.2535,0.4507,0.2887,0.2887,0.507,0.4225,0.4225,-2.099,1.035,1.514,,,
down_4,middle_6,55_60,142,0.0634,0.0986,0.0704,0.4718,0.5845,0.493,0.1408,-4.113,1.359,1.444,,,
down_3,late_7_plus,60_plus,138,0.0942,0.1304,0.0942,0.4058,0.4638,0.4638,0.2609,-2.435,1.123,0.551,,,
down_4,late_7_plus,lt_40,134,0.0821,0.097,0.097,0.3209,0.3731,0.306,0.1493,-4.082,1.134,1.246,,,
down_4,early_1_3,55_60,132,0.0682,0.1894,0.1212,0.3561,0.5,0.4091,0.1136,-4.659,1.061,1.606,,,
down_5_plus,f5_1_5,60_plus,125,0.096,0.096,0.096,0.392,0.552,0.488,0.064,-5.88,1.624,1.184,,,
down_3,middle_6,40_45,119,0.0924,0.1429,0.0924,0.437,0.5294,0.4202,0.2521,-3.277,1.244,1.664,,,
down_3,f5_1_5,lt_40,115,0.1739,0.287,0.2087,0.4348,0.5652,0.4435,0.287,-3.696,1.357,1.974,,,
down_3,early_1_3,lt_40,111,0.2072,0.3514,0.2613,0.5586,0.7568,0.5586,0.3514,-3.063,1.712,1.784,,,
down_3,f5_1_5,60_plus,109,0.1927,0.2385,0.1927,0.3211,0.4495,0.367,0.2569,-3.156,1.385,1.587,,,
down_1,middle_6,lt_40,106,0.3868,0.566,0.4623,0.3491,0.5755,0.434,0.9717,-0.783,1.415,1.585,,,
down_4,early_1_3,40_45,106,0.1792,0.2358,0.1887,0.4528,0.6981,0.566,0.1698,-3.406,1.717,1.566,,,
down_5_plus,f5_1_5,lt_40,103,0.068,0.1165,0.0971,0.3883,0.5631,0.4563,0.068,-5.845,1.388,1.738,,,
down_5_plus,middle_6,60_plus,101,0.0297,0.0297,0.0297,0.4059,0.5248,0.4554,0.0099,-6.297,1.287,1.218,,,
down_5_plus,early_1_3,40_45,97,0.0825,0.1134,0.0928,0.3505,0.5876,0.5155,0.0206,-5.474,1.237,1.454,,,
down_2,middle_6,lt_40,95,0.2421,0.3474,0.3158,0.3368,0.5368,0.3579,0.3579,-1.758,1.221,1.495,,,
down_4,late_7_plus,60_plus,93,0.0108,0.043,0.0108,0.2043,0.2581,0.2043,0.0968,-3.72,0.645,0.344,,,
down_4,middle_6,40_45,92,0.0543,0.1087,0.0543,0.5,0.6087,0.5217,0.1413,-3.804,1.446,1.304,,,
down_1,middle_6,60_plus,87,0.3908,0.5977,0.4828,0.4138,0.6092,0.5632,0.9885,-0.31,1.655,1.0,,,
down_4,f5_1_5,60_plus,87,0.1379,0.1839,0.1379,0.3793,0.5402,0.3448,0.1494,-4.287,1.552,1.655,,,
down_3,early_1_3,60_plus,83,0.2048,0.2048,0.2048,0.3976,0.5181,0.3494,0.1325,-4.12,1.133,1.783,,,
down_5_plus,middle_6,lt_40,73,0.0548,0.0548,0.0548,0.411,0.6027,0.4795,0.0137,-6.356,1.397,1.548,,,
down_3,middle_6,lt_40,67,0.0896,0.1642,0.1343,0.3582,0.4776,0.3881,0.2239,-3.358,1.149,1.582,,,
down_4,early_1_3,60_plus,66,0.1818,0.2424,0.1818,0.3939,0.4697,0.4242,0.2121,-3.939,1.424,1.167,,,
down_3,middle_6,60_plus,65,0.1692,0.2615,0.2,0.3231,0.5692,0.5231,0.3538,-2.585,1.477,1.369,,,
down_4,early_1_3,lt_40,58,0.069,0.1034,0.1034,0.5517,0.6034,0.5345,0.069,-5.069,1.138,1.224,,,
down_5_plus,early_1_3,lt_40,58,0.1379,0.1552,0.1552,0.5172,0.6897,0.5345,0.0172,-6.138,1.569,1.897,,,
down_4,f5_1_5,lt_40,57,0.0351,0.1053,0.0351,0.4561,0.5789,0.4912,0.2105,-4.123,1.439,1.456,,,
down_2,middle_6,60_plus,55,0.3091,0.5273,0.3091,0.5091,0.6364,0.5818,0.5818,-1.509,1.818,1.309,,,
down_5_plus,early_1_3,60_plus,53,0.3962,0.3962,0.3962,0.6038,0.717,0.6792,0.0377,-3.528,2.151,0.981,,,
down_4,middle_6,lt_40,45,0.0444,0.1111,0.0444,0.4444,0.5333,0.4222,0.1333,-4.756,1.067,1.689,,,
down_4,middle_6,60_plus,32,0.0938,0.1875,0.0938,0.375,0.4688,0.375,0.125,-4.5,1.062,1.344,,,
