avg_final_margin,avg_next_2_innings_opp_runs,avg_next_2_innings_team_runs,count,deficit_bucket,eventually_won_rate,gave_up_tie_or_lead_rate,held_to_win_rate,inning_bucket,lead_bucket,lead_cut_to_1_next_2_rate,lead_reduced_next_2_rate,note,offense_form_bucket,opponent_run_prevention_bucket,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,opponent_took_lead_later_rate,reduced_deficit_next_2_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,source,team_strength_bucket,tied_or_led_later_rate,took_lead_later_rate,within_1_next_2_rate
2.446,1.197,1.474,827,,,0.3519,0.7811,f5_1_5,up_2,0.4268,0.4268,leader_under_pressure,,,0.3519,0.5345,0.2793,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
6.035,1.398,1.476,822,,,0.135,0.8881,early_1_3,up_5_plus,0.0389,0.4672,leader_under_pressure,,,0.4161,0.573,0.1229,,,,lead_protection_by_lead_inning.csv,,,,
-6.035,1.476,1.398,822,down_5_plus,0.1071,,,early_1_3,,,,high_score_next_2_rebound,,,,,,0.4672,0.4161,0.573,comeback_by_deficit_inning.csv,,0.135,0.1229,0.0389
-0.785,1.508,1.487,819,down_1,0.4151,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4737,0.4408,0.5971,comeback_by_deficit_inning_strength.csv,55_60,0.6593,0.5116,0.967
4.423,1.217,1.513,803,,,0.1918,0.8829,early_1_3,up_4,0.1108,0.4247,leader_under_pressure,,,0.3873,0.5268,0.1532,,,,lead_protection_by_lead_inning.csv,,,,
,,,798,,0.3459,,,early_1_3,,,,high_score_next_2_rebound,55_60,,,,,,0.4198,0.5564,response_after_allowed_by_inning_offense.csv,,,,
-2.382,1.372,1.292,775,down_2,0.2658,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4039,0.3871,0.5626,comeback_by_deficit_inning_strength.csv,50_55,0.4374,0.3303,0.4039
-2.505,1.428,1.221,746,down_2,0.2051,,,early_1_3,,,,high_tie_or_lead_rebound,,45_50,,,,0.3861,0.3646,0.5322,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4088,0.2828,0.3861
4.128,1.236,1.384,724,,,0.1077,0.9282,middle_6,up_4,0.1367,0.4448,leader_under_pressure,,,0.4268,0.5359,0.076,,,,lead_protection_by_lead_inning.csv,,,,
-0.963,1.442,1.346,703,down_1,0.3983,,,early_1_3,,,,high_tie_or_lead_rebound,,40_45,,,,0.4253,0.3798,0.5647,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.6273,0.4993,0.9417
-1.51,1.496,1.218,657,down_1,0.312,,,f5_1_5,,,,high_tie_or_lead_rebound,,55_60,,,,0.4049,0.3775,0.5571,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5266,0.3988,0.9726
1.008,0.859,0.834,638,,,0.3652,0.779,late_7_plus,up_1,0.9655,0.3652,lead_collapse_watch,,,0.3636,0.4232,0.2476,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-2.05,1.433,1.278,637,down_2,0.2936,,,early_1_3,,,,high_tie_or_lead_rebound,,55_60,,,,0.3909,0.4097,0.5447,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.427,0.3359,0.3909
-1.815,1.734,1.195,631,down_1,0.3027,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.3851,0.3819,0.5055,comeback_by_deficit_inning_strength.csv,40_45,0.5499,0.4089,0.954
-3.391,1.649,1.39,629,down_3,0.1526,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4515,0.4277,0.5692,comeback_by_deficit_inning_strength.csv,45_50,0.248,0.1812,0.2687
6.82,1.212,1.623,623,,,0.0594,0.9518,f5_1_5,up_5_plus,0.0353,0.3884,leader_under_pressure,,,0.3596,0.5169,0.0594,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
3.442,1.17,1.578,599,,,0.197,0.8731,f5_1_5,up_3,0.2254,0.4174,leader_under_pressure,,,0.4057,0.5359,0.1436,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
5.747,1.392,1.397,572,,,0.0734,0.9528,f5_1_5,up_5_plus,0.0629,0.4703,leader_under_pressure,,,0.4056,0.5402,0.0542,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
1.849,1.169,1.553,557,,,0.5278,0.7451,f5_1_5,up_1,0.9803,0.3896,leader_under_pressure,,,0.3698,0.5135,0.3393,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
3.588,1.294,1.601,554,,,0.2347,0.8773,f5_1_5,up_3,0.2473,0.4332,leader_under_pressure,,,0.3899,0.5487,0.1643,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-0.778,1.388,1.504,546,down_1,0.3901,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.4945,0.4304,0.5788,comeback_by_deficit_inning_strength.csv,55_60,0.6172,0.4835,0.9634
-1.847,1.468,1.067,524,down_1,0.2844,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.3817,0.3607,0.542,comeback_by_deficit_inning_strength.csv,lt_40,0.6508,0.4752,0.9561
-0.844,1.167,1.298,520,down_1,0.3346,,,middle_6,,,,high_tie_or_lead_rebound,,,,,,0.4673,0.4192,0.5808,comeback_by_deficit_inning_strength.csv,45_50,0.5327,0.4115,0.9846
-3.172,1.268,1.261,518,down_3,0.1081,,,f5_1_5,,,,high_score_next_2_rebound,,45_50,,,,0.4633,0.4247,0.5907,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.2259,0.1409,0.2587
3.143,1.267,1.454,509,,,0.2731,0.8271,early_1_3,up_3,0.2318,0.446,leader_under_pressure,,,0.4067,0.5658,0.2161,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-1.118,1.413,1.198,509,down_1,0.3065,,,middle_6,,,,high_tie_or_lead_rebound,,50_55,,,,0.442,0.387,0.5462,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4892,0.3654,0.9764
,,,509,,0.3477,,,f5_1_5,,,,high_score_next_2_rebound,55_60,,,,,,0.3929,0.5599,response_after_allowed_by_inning_offense.csv,,,,
2.988,1.168,1.632,506,,,0.4032,0.7747,early_1_3,up_2,0.3972,0.3972,leader_under_pressure,,,0.3834,0.5296,0.3063,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-1.036,1.457,1.499,505,down_1,0.3525,,,f5_1_5,,,,high_tie_or_lead_rebound,,40_45,,,,0.4515,0.4356,0.6139,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5723,0.4158,0.9703
1.263,1.178,1.424,483,,,0.4617,0.7039,middle_6,up_1,0.9772,0.4265,leader_under_pressure,,,0.3665,0.5259,0.3499,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
1.081,1.361,1.508,482,,,0.5,0.6763,middle_6,up_1,0.9813,0.473,leader_under_pressure,,,0.4232,0.612,0.3983,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
6.996,1.133,1.469,473,,,0.0169,0.9873,middle_6,up_5_plus,0.0211,0.4186,leader_under_pressure,,,0.3805,0.4757,0.0169,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-1.241,1.384,1.104,469,down_1,0.3006,,,middle_6,,,,high_tie_or_lead_rebound,,,,,,0.3817,0.3369,0.5181,comeback_by_deficit_inning_strength.csv,50_55,0.4243,0.3369,0.9787
3.883,1.1,1.657,460,,,0.2174,0.8696,early_1_3,up_3,0.1783,0.3804,leader_under_pressure,,,0.3739,0.5087,0.1674,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-1.987,1.601,1.455,451,down_2,0.2528,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4612,0.3858,0.5654,comeback_by_deficit_inning_strength.csv,55_60,0.4989,0.337,0.4612
-5.469,1.235,1.484,426,down_5_plus,0.0704,,,f5_1_5,,,,high_score_next_2_rebound,,45_50,,,,0.4883,0.4061,0.5775,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0962,0.0869,0.0657
-0.194,1.49,1.167,418,,,0.7799,0.4665,early_1_3,up_1,0.9569,0.5024,leader_under_pressure,,,0.4282,0.6268,0.61,,,,lead_protection_by_lead_inning_team_strength.csv,lt_40,,,
-2.125,1.504,1.402,415,down_2,0.2578,,,early_1_3,,,,high_tie_or_lead_rebound,,40_45,,,,0.4289,0.3542,0.5325,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4627,0.3663,0.4289
2.886,1.068,1.626,414,,,0.3043,0.8092,f5_1_5,up_2,0.3599,0.3599,leader_under_pressure,,,0.3285,0.4976,0.2246,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-1.966,1.309,1.217,411,down_2,0.2068,,,middle_6,,,,high_score_next_2_rebound,,,,,,0.4793,0.472,0.5596,comeback_by_deficit_inning_strength.csv,45_50,0.3382,0.2506,0.4793
,,,409,,0.401,,,early_1_3,,,,high_score_next_2_rebound,60_plus,,,,,,0.401,0.5575,response_after_allowed_by_inning_offense.csv,,,,
-1.679,1.468,1.032,408,down_1,0.3113,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.3627,0.299,0.4779,comeback_by_deficit_inning_strength.csv,40_45,0.527,0.3652,0.9828
0.553,1.467,1.361,407,,,0.6585,0.5774,early_1_3,up_1,0.9509,0.4447,leader_under_pressure,,,0.4103,0.5577,0.5405,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
6.116,1.303,1.323,406,,,0.0345,0.9754,middle_6,up_5_plus,0.0394,0.436,leader_under_pressure,,,0.3892,0.532,0.0345,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-2.861,1.561,1.251,403,down_2,0.2159,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.4218,0.4144,0.5434,comeback_by_deficit_inning_strength.csv,40_45,0.4094,0.2978,0.4218
-2.365,1.552,1.181,397,down_2,0.2015,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4156,0.4181,0.5693,comeback_by_deficit_inning_strength.csv,55_60,0.3476,0.262,0.4156
0.343,1.272,0.619,394,,,0.4695,0.6421,late_7_plus,up_1,0.9873,0.4695,leader_under_pressure,,,0.434,0.5102,0.335,,,,lead_protection_by_lead_inning_team_strength.csv,lt_40,,,
-1.15,1.231,1.094,394,down_1,0.2792,,,middle_6,,,,high_tie_or_lead_rebound,,45_50,,,,0.4036,0.3503,0.4975,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.4645,0.3528,0.9772
2.16,1.42,1.56,393,,,0.3282,0.8142,middle_6,up_2,0.4809,0.4809,leader_under_pressure,,,0.4962,0.6132,0.2265,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-1.763,1.319,1.37,392,down_2,0.2143,,,middle_6,,,,high_score_next_2_rebound,,50_55,,,,0.4872,0.4668,0.5816,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.3342,0.273,0.4872
-4.108,1.455,1.406,389,down_4,0.1208,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.4627,0.4242,0.5913,comeback_by_deficit_inning_strength.csv,45_50,0.1877,0.1645,0.1542
2.088,1.0,1.348,388,,,0.2861,0.817,middle_6,up_2,0.3814,0.3814,leader_under_pressure,,,0.3531,0.4794,0.2242,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
1.547,1.213,1.653,380,,,0.5974,0.6763,early_1_3,up_1,0.9421,0.3842,leader_under_pressure,,,0.4158,0.5395,0.4658,,,,lead_protection_by_lead_inning_team_strength.csv,60_plus,,,
-2.027,1.665,1.42,376,down_2,0.2633,,,f5_1_5,,,,high_score_next_2_rebound,,40_45,,,,0.4761,0.4495,0.617,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.391,0.3218,0.4761
0.54,0.922,0.479,374,,,0.3476,0.6925,late_7_plus,up_1,0.9786,0.3476,lead_collapse_watch,,,0.3289,0.3904,0.3235,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
4.914,1.257,1.643,370,,,0.1351,0.9297,f5_1_5,up_4,0.1243,0.3649,leader_under_pressure,,,0.3351,0.5081,0.1108,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-1.913,1.508,1.405,368,down_2,0.2255,,,middle_6,,,,high_score_next_2_rebound,,,,,,0.4402,0.3886,0.5707,comeback_by_deficit_inning_strength.csv,50_55,0.3152,0.2527,0.4402
-1.106,1.325,1.401,357,down_1,0.3137,,,f5_1_5,,,,high_tie_or_lead_rebound,,,,,,0.5042,0.4202,0.5798,comeback_by_deficit_inning_strength.csv,lt_40,0.6331,0.4314,0.9776
3.89,1.221,1.306,353,,,0.1246,0.9292,f5_1_5,up_4,0.1218,0.4476,leader_under_pressure,,,0.4193,0.5722,0.085,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
-1.304,1.456,1.324,349,down_1,0.3181,,,early_1_3,,,,high_tie_or_lead_rebound,,60_plus,,,,0.4441,0.3926,0.5501,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.7049,0.5186,0.9628
,,,345,,0.2812,,,early_1_3,,,,high_score_next_2_rebound,lt_40,,,,,,0.3942,0.5565,response_after_allowed_by_inning_offense.csv,,,,
-2.851,1.52,1.43,342,down_3,0.2368,,,early_1_3,,,,high_score_next_2_rebound,,55_60,,,,0.4649,0.4327,0.5556,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.3216,0.2515,0.2544
-0.459,1.378,1.8,320,down_1,0.4344,,,early_1_3,,,,high_tie_or_lead_rebound,,,,,,0.5469,0.5188,0.6531,comeback_by_deficit_inning_strength.csv,60_plus,0.7031,0.5813,0.9469
0.167,1.39,1.126,318,,,0.673,0.544,f5_1_5,up_1,0.9906,0.4811,leader_under_pressure,,,0.3931,0.5786,0.5189,,,,lead_protection_by_lead_inning_team_strength.csv,lt_40,,,
-1.384,1.606,1.371,315,down_1,0.3302,,,early_1_3,,,,high_tie_or_lead_rebound,,lt_40,,,,0.4476,0.4222,0.6,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.7238,0.4952,0.946
0.92,0.857,0.831,314,,,0.3981,0.7325,late_7_plus,up_1,0.9809,0.3981,lead_collapse_watch,,,0.3726,0.4427,0.2675,,,,lead_protection_by_lead_inning_team_strength.csv,60_plus,,,
3.159,1.062,1.416,308,,,0.1201,0.9188,middle_6,up_3,0.2013,0.3961,leader_under_pressure,,,0.3799,0.5162,0.0909,,,,lead_protection_by_lead_inning_team_strength.csv,45_50,,,
6.419,1.343,1.554,303,,,0.1287,0.8977,early_1_3,up_5_plus,0.0297,0.4026,leader_under_pressure,,,0.4257,0.538,0.1287,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
3.309,1.146,1.439,301,,,0.1495,0.9136,middle_6,up_3,0.2226,0.4385,leader_under_pressure,,,0.4153,0.5216,0.1296,,,,lead_protection_by_lead_inning_team_strength.csv,50_55,,,
-5.919,1.291,1.405,296,down_5_plus,0.0338,,,middle_6,,,,high_score_next_2_rebound,,45_50,,,,0.4932,0.4595,0.5777,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0507,0.0405,0.0507
-1.034,1.464,1.403,295,down_1,0.3627,,,middle_6,,,,high_tie_or_lead_rebound,,55_60,,,,0.4678,0.4373,0.6237,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5322,0.4203,0.9898
0.864,1.418,1.415,294,,,0.6224,0.5918,f5_1_5,up_1,0.9762,0.4558,leader_under_pressure,,,0.432,0.619,0.5136,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
,,,294,,0.3707,,,middle_6,,,,high_score_next_2_rebound,55_60,,,,,,0.4592,0.6259,response_after_allowed_by_inning_offense.csv,,,,
4.178,1.128,1.722,281,,,0.2918,0.8327,early_1_3,up_3,0.2206,0.4093,leader_under_pressure,,,0.3915,0.5338,0.1957,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
6.667,1.167,1.459,270,,,0.0259,0.9889,middle_6,up_5_plus,0.0222,0.4148,leader_under_pressure,,,0.3667,0.5444,0.0111,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-6.811,1.659,1.444,270,down_5_plus,0.063,,,early_1_3,,,,high_score_next_2_rebound,,50_55,,,,0.4407,0.4259,0.5667,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.0852,0.0778,0.0407
-2.996,1.184,1.228,267,down_3,0.0712,,,middle_6,,,,high_score_next_2_rebound,,45_50,,,,0.4569,0.4494,0.573,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.1648,0.1086,0.2547
-0.384,0.681,1.278,263,down_1,0.365,,,late_7_plus,,,,high_tie_or_lead_rebound,,lt_40,,,,0.5057,0.4411,0.5361,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.5057,0.403,0.9848
2.125,1.405,1.588,257,,,0.4358,0.7549,early_1_3,up_2,0.3813,0.3813,leader_under_pressure,,,0.3969,0.537,0.2918,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
0.639,1.52,1.29,252,,,0.5556,0.6032,f5_1_5,up_1,0.9683,0.4127,leader_under_pressure,,,0.3889,0.5913,0.4444,,,,lead_protection_by_lead_inning_team_strength.csv,60_plus,,,
-5.574,1.402,1.582,251,down_5_plus,0.0797,,,f5_1_5,,,,high_score_next_2_rebound,,40_45,,,,0.5339,0.502,0.6255,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.1116,0.0916,0.0797
-6.24,1.632,1.428,250,down_5_plus,0.052,,,f5_1_5,,,,high_score_next_2_rebound,,,,,,0.472,0.388,0.584,comeback_by_deficit_inning_strength.csv,40_45,0.068,0.052,0.068
1.041,1.207,1.289,246,,,0.5325,0.6829,middle_6,up_1,0.9837,0.4512,leader_under_pressure,,,0.3902,0.5732,0.374,,,,lead_protection_by_lead_inning_team_strength.csv,55_60,,,
-0.829,1.527,1.286,245,down_1,0.3878,,,f5_1_5,,,,high_tie_or_lead_rebound,,lt_40,,,,0.4122,0.4122,0.5551,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.6449,0.5184,0.9796
2.18,1.357,1.59,244,,,0.3197,0.7787,f5_1_5,up_2,0.418,0.418,leader_under_pressure,,,0.3934,0.5369,0.2787,,,,lead_protection_by_lead_inning_team_strength.csv,40_45,,,
-4.219,1.475,1.397,242,down_4,0.0785,,,f5_1_5,,,,high_score_next_2_rebound,,55_60,,,,0.4628,0.3884,0.5785,comeback_by_deficit_inning_opponent_run_prevention.csv,,0.1364,0.0992,0.1322
0.556,1.473,1.159,239,,,0.6444,0.5732,early_1_3,up_2,0.5021,0.5021,leader_under_pressure,,,0.3808,0.6151,0.5356,,,,lead_protection_by_lead_inning_team_strength.csv,lt_40,,,
