lead_bucket,inning_bucket,team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_took_lead_later_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,avg_final_margin,avg_next_2_innings_team_runs,avg_next_2_innings_opp_runs,avg_post5_runs,avg_f5_total,avg_full_total
up_2,f5_1_5,60_plus,233,0.794,0.3605,0.2361,0.3991,0.5837,0.4421,0.4421,2.622,1.704,1.172,,,
up_2,late_7_plus,lt_40,233,0.7854,0.2876,0.2403,0.4678,0.515,0.4807,0.4807,1.33,0.691,1.339,,,
up_3,late_7_plus,40_45,233,0.9485,0.0944,0.0515,0.4292,0.4764,0.4206,0.1845,2.682,0.627,0.966,,,
up_2,late_7_plus,60_plus,229,0.9258,0.1747,0.0568,0.3275,0.3624,0.31,0.31,1.983,0.603,0.664,,,
up_2,early_1_3,60_plus,228,0.7632,0.4474,0.2982,0.4342,0.5921,0.4649,0.4649,2.614,1.544,1.311,,,
up_4,early_1_3,45_50,224,0.9018,0.1786,0.1429,0.3884,0.5446,0.4464,0.1161,4.058,1.429,1.254,,,
up_4,f5_1_5,55_60,221,0.9321,0.1538,0.0905,0.3937,0.5566,0.4253,0.1855,4.24,1.575,1.33,,,
up_4,middle_6,45_50,220,0.9591,0.05,0.0409,0.4045,0.5,0.4045,0.1227,3.845,1.059,1.032,,,
up_5_plus,early_1_3,45_50,218,0.922,0.0872,0.078,0.4358,0.6239,0.5229,0.0459,5.968,1.45,1.427,,,
up_3,late_7_plus,lt_40,215,0.8558,0.1581,0.1442,0.3488,0.3814,0.3628,0.2465,2.53,0.679,1.126,,,
up_4,middle_6,50_55,214,0.9346,0.1262,0.0841,0.4252,0.5327,0.4393,0.1262,4.738,1.776,1.252,,,
up_4,late_7_plus,40_45,207,0.9565,0.0435,0.0435,0.3478,0.401,0.3478,0.058,3.957,0.744,0.783,,,
up_2,middle_6,55_60,196,0.7959,0.2857,0.2245,0.3622,0.4898,0.398,0.398,2.413,1.587,1.087,,,
up_3,late_7_plus,60_plus,194,0.9742,0.0309,0.0258,0.268,0.2887,0.2423,0.1082,2.985,0.479,0.5,,,
