game_date,game_id,away_abbr,home_abbr,game_start_utc,market_type,num_tickers,coverage_label,best_label,worst_label,any_good,any_thin,any_stale,total_pre_snapshots,best_min_spread,best_narrow_snap
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,9152,98,
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,moneyline,2,stale_only,stale_only,stale_only,False,False,True,1664,98,
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,4992,98,
2026-06-21,PIT@COL,PIT,COL,2026-06-21T19:10,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,12319,1,2026-06-21T19:09:41.577673+00:00
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,2768,98,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,f5_total,7,stale_only,stale_only,stale_only,False,False,True,4844,98,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,7612,98,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,moneyline,2,stale_only,stale_only,stale_only,False,False,True,1384,98,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,player_hr,8,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,4152,98,
2026-06-21,SD@TEX,SD,TEX,2026-06-21T18:35,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,11049,1,2026-06-21T18:34:40.576823+00:00
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,1888,98,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,f5_total,7,stale_only,stale_only,stale_only,False,False,True,3304,98,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,5192,98,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,moneyline,2,stale_only,stale_only,stale_only,False,False,True,944,98,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,player_hr,2,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,2832,98,
2026-06-21,SF@MIA,SF,MIA,2026-06-21T17:40,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,7172,1,2026-06-21T17:39:25.469219+00:00
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,f5_spread,4,stale_only,stale_only,stale_only,False,False,True,2368,98,
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,f5_total,7,stale_only,stale_only,stale_only,False,False,True,4144,98,
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,full_game_total,11,stale_only,stale_only,stale_only,False,False,True,6512,98,
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,moneyline,2,stale_only,stale_only,stale_only,False,False,True,1184,98,
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,spread_run_line,6,stale_only,stale_only,stale_only,False,False,True,3552,98,
2026-06-21,STL@KC,STL,KC,2026-06-21T18:10,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,8653,1,2026-06-21T18:09:02.440497+00:00
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,f5_spread,4,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,2528,1,2026-06-21T18:19:48.805305+00:00
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,f5_total,7,good_pregame_coverage,good_pregame_coverage,thin_but_usable,True,True,False,4424,1,2026-06-21T18:19:48.805305+00:00
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,f5_winner,3,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,full_game_total,10,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,6320,1,2026-06-21T18:19:48.805305+00:00
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,moneyline,2,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,1264,1,2026-06-21T18:19:48.805305+00:00
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,player_hr,5,no_snapshots,no_snapshots,no_snapshots,False,False,False,0,,
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,spread_run_line,6,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,3792,1,2026-06-21T18:19:48.805305+00:00
2026-06-21,TOR@CHC,TOR,CHC,2026-06-21T18:20,team_total,14,good_pregame_coverage,good_pregame_coverage,good_pregame_coverage,True,False,False,9105,1,2026-06-21T16:34:07.344232+00:00
2026-06-21,WSN@TB,WSN,TB,2026-06-21T17:40,,1,market_missing,market_missing,market_missing,False,False,False,0,,
