game_date,game_id,away_abbr,home_abbr,game_start_utc,market_ticker,market_type,selected_team_abbr,line_value,is_semantics_clear,coverage_label,total_snapshots,pre_game_snapshots,post_game_snapshots,snapshots_6h_3h,snapshots_3h_90m,snapshots_90m_30m,snapshots_30m_start,latest_pre_snap,earliest_snap,latest_snap,min_spread_overall,min_spread_6h_3h,min_spread_3h_90m,min_spread_90m_30m,min_spread_30m_start,avg_spread_6h_3h,avg_spread_3h_90m,avg_spread_90m_30m,median_spread_6h_3h,median_spread_3h_90m,median_spread_90m_30m,empty_book_pre_count,empty_book_fraction,first_narrow_snap,last_narrow_snap,has_depth_json,depth_nonempty_count
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD2,team_total,LAD,,1,good_pregame_coverage,3587,1116,2471,363,384,240,129,2026-06-21T20:09:58.772015+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:14.997930+00:00,1,2,1,98,1,95.1,92.0,98,98,98.0,98.0,1072,0.961,2026-06-21T15:38:19.442620+00:00,2026-06-21T20:09:58.772015+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD3,team_total,LAD,,1,good_pregame_coverage,3695,1108,2587,369,371,242,126,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,2,2,2,3,3,93.6,95.2,97.2,98,98,98.0,1072,0.968,2026-06-21T15:38:19.440903+00:00,2026-06-21T20:07:13.758579+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD4,team_total,LAD,,1,good_pregame_coverage,3079,1125,1954,371,384,243,127,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:15.161490+00:00,1,2,2,1,1,93.2,92.1,96.8,98,98.0,98,1072,0.953,2026-06-21T15:38:19.441804+00:00,2026-06-21T20:06:11.759375+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD5,team_total,LAD,,1,good_pregame_coverage,3766,1162,2604,377,393,252,140,2026-06-21T20:09:52.778974+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:16.362021+00:00,1,2,1,2,3,91.7,90.0,93.4,98,98,98.0,1072,0.923,2026-06-21T15:38:19.441405+00:00,2026-06-21T20:09:52.778974+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD6,team_total,LAD,,1,good_pregame_coverage,4244,1135,3109,365,384,248,138,2026-06-21T20:09:58.776052+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:15.161490+00:00,1,2,1,1,1,94.6,92.0,94.9,98,98.0,98.0,1072,0.944,2026-06-21T15:38:19.443393+00:00,2026-06-21T20:09:58.776052+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD7,team_total,LAD,,1,good_pregame_coverage,4870,1126,3744,368,385,246,127,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:16.364312+00:00,1,1,1,1,1,93.8,91.8,95.6,98.0,98,98.0,1072,0.952,2026-06-21T15:38:19.443778+00:00,2026-06-21T20:09:16.787941+00:00,True,1072
2026-06-21,BAL@LAD,BAL,LAD,2026-06-21T20:10,KXMLBTEAMTOTAL-26JUN211610BALLAD-LAD8,team_total,LAD,,1,good_pregame_coverage,4256,1157,3099,409,381,241,126,2026-06-21T20:09:52.777115+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:16.362818+00:00,2,2,3,3,2,84.8,92.8,97.6,98,98,98,1072,0.927,2026-06-21T15:38:19.444998+00:00,2026-06-21T20:09:52.777115+00:00,True,1072
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-BOS2,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-BOS3,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
2026-06-21,BOS@SEA,BOS,SEA,2026-06-21T20:10,KXMLBF5SPREAD-26JUN211610BOSSEA-SEA2,f5_spread,,,0,stale_only,1549,1072,477,352,360,240,120,2026-06-21T20:09:48.875935+00:00,2026-06-21T15:38:18.719003+00:00,2026-06-21T22:09:01.405417+00:00,98,98,98,98,98,98,98,98,98.0,98.0,98.0,1072,1.0,,,True,1072
