setup_id,setup_key,first_candidate_event_id,market_ticker,derivative_type,paper_status,entry_price_cents,outcome,good_entry_label,good_entry_score,net_pnl_cents,created_at
15,NYM@CIN|KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6|team_total|team_total_lag,797,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,team_total,paper_closed,29,lost,strong_value,75.0,-29,2026-06-15T19:35:11.422781
16,MIA@PHI|KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2|team_total|team_total_lag,799,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,team_total,blocked_observation,,unknown,not_evaluable,,,2026-06-15T20:47:36.788943
17,MIN@TEX|KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4|team_total|team_total_lag,818,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,team_total,paper_closed,58,lost,possible_value,66.0,-58,2026-06-15T20:47:36.789401
18,MIN@TEX|KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6|team_total|team_total_lag,824,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,team_total,paper_closed,34,lost,strong_value,82.0,-34,2026-06-15T20:47:36.789738
19,MIA@PHI|KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3|team_total|team_total_lag,825,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,team_total,paper_closed,57,lost,possible_value,65.0,-57,2026-06-15T20:47:36.790156
20,NYM@CIN|KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8|team_total|team_total_lag,826,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,team_total,blocked_observation,,unknown,not_evaluable,,,2026-06-15T20:47:36.790214
21,SD@STL|KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2|team_total|team_total_lag,831,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,team_total,blocked_observation,,unknown,not_evaluable,,,2026-06-15T20:47:36.790271
22,DET@HOU|KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7|team_total|team_total_lag,836,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,team_total,paper_open,24,unknown,possible_value,70.0,,2026-06-15T20:47:36.790663
23,MIN@TEX|KXMLBF5TOTAL-26JUN152005MINTEX-1|f5_total|fluky_scoring_fade,840,KXMLBF5TOTAL-26JUN152005MINTEX-1,f5_total,paper_closed,9,lost,possible_value,68.0,-9,2026-06-15T21:12:50.766016
24,MIN@TEX|KXMLBTOTAL-26JUN152005MINTEX-8|fg_total|market_overreaction,859,KXMLBTOTAL-26JUN152005MINTEX-8,fg_total,paper_closed,45,won,possible_value,62.0,52,2026-06-15T21:14:18.492504
25,MIA@PHI|KXMLBTOTAL-26JUN151840MIAPHI-6|fg_total|market_overreaction,861,KXMLBTOTAL-26JUN151840MIAPHI-6,fg_total,blocked_observation,,unknown,not_evaluable,,,2026-06-15T21:14:18.492652
26,DET@HOU|KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2|team_total|team_total_lag,862,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,team_total,paper_open,87,unknown,watch_only,58.0,,2026-06-15T21:14:18.493113
27,NYM@CIN|KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5|team_total|team_total_lag,863,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,team_total,blocked_observation,,unknown,not_evaluable,,,2026-06-15T21:14:18.493176
28,DET@HOU|KXMLBTOTAL-26JUN152010DETHOU-7|fg_total|market_overreaction,874,KXMLBTOTAL-26JUN152010DETHOU-7,fg_total,paper_open,28,unknown,possible_value,70.0,,2026-06-15T22:49:24.122277
29,DET@HOU|KXMLBF5TOTAL-26JUN152010DETHOU-1|f5_total|fluky_scoring_fade,875,KXMLBF5TOTAL-26JUN152010DETHOU-1,f5_total,paper_open,6,unknown,possible_value,60.0,,2026-06-15T22:49:24.122916
30,MIN@TEX|KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2|team_total|team_total_lag,885,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,team_total,paper_closed,88,pushed,watch_only,48.0,0,2026-06-15T22:49:24.123557
31,TB@LAD|KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6|team_total|team_total_lag,916,KXMLBTEAMTOTAL-26JUN152210TBLAD-LAD6,team_total,paper_open,42,unknown,possible_value,71.0,,2026-06-15T22:49:24.124428
32,PIT@ATH|KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3|team_total|team_total_lag,917,KXMLBTEAMTOTAL-26JUN152140PITATH-PIT3,team_total,paper_open,79,unknown,possible_value,69.0,,2026-06-15T22:49:24.125255
