family,feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label
starter_quality,opponent_starter_xfip_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_quality,starter_confidence,none,opponent_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_volatility,opponent_starter_bad_start_rate_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_volatility,opponent_starter_blowup_rate_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_volatility,opponent_starter_early_exit_rate_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
starter_volatility,opponent_starter_ra_std_bucket,missing,team_runs_5plus,"2023,2024,2025",3,1150,371,0.4736,0.4582,0.4848,0.0266,0.042,0.0249,0.0596,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,f5_total_5plus,"2023,2024,2025",3,1131,327,0.5495,0.526,0.5792,0.0532,0.0431,0.0303,0.0509,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,game_total_10plus,"2023,2024,2025",3,1131,327,0.4439,0.4404,0.4508,0.0104,0.0448,0.0251,0.0599,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,game_total_9plus,"2023,2024,2025",3,1131,327,0.5534,0.5205,0.571,0.0505,0.055,0.0352,0.0825,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,team_f5_runs_2plus,"2023,2024,2025",3,1131,327,0.6435,0.637,0.6514,0.0144,0.0604,0.0476,0.0719,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,team_post5_runs_2plus,"2023,2024,2025",3,1131,327,0.5236,0.484,0.5546,0.0706,0.0426,0.0139,0.0591,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,team_runs_4plus,"2023,2024,2025",3,1131,327,0.6335,0.6119,0.6585,0.0466,0.0755,0.0626,0.084,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,team_runs_5plus,"2023,2024,2025",3,1131,327,0.5089,0.5023,0.5137,0.0114,0.0773,0.0608,0.0857,stable_positive_lift
opponent_vulnerability,opponent_run_prevention_bucket,lt_40,team_won,"2023,2024,2025",3,1131,327,0.5689,0.5413,0.589,0.0477,0.0696,0.0433,0.089,stable_positive_lift
team_quality,opponent_strength_bucket,60_plus,opponent_runs_4plus,"2023,2024,2025",3,922,231,0.6102,0.5498,0.6721,0.1223,0.0523,0.0005,0.0976,stable_positive_lift
team_quality,opponent_strength_bucket,60_plus,team_trailed_early_1to3,"2023,2024,2025",3,922,231,0.5452,0.5238,0.5745,0.0507,0.0571,0.0311,0.0856,stable_positive_lift
team_quality,team_strength_bucket,60_plus,team_runs_4plus,"2023,2024,2025",3,922,231,0.6102,0.5498,0.6721,0.1223,0.0523,0.0005,0.0976,stable_positive_lift
starter_volatility,opponent_starter_early_exit_rate_bucket,high_60_75,team_won,"2023,2024,2025",3,761,245,0.5399,0.5061,0.583,0.0769,0.0406,0.0061,0.083,stable_positive_lift
offense_consistency,l10_scored5_rate_bucket,very_high_75_plus,team_post5_runs_2plus,"2023,2024,2025",3,552,122,0.5213,0.492,0.541,0.049,0.0403,0.0147,0.0709,stable_positive_lift
opponent_vulnerability,opponent_l10_allowed5_rate_bucket,very_high_75_plus,team_f5_runs_2plus,"2023,2024,2025",3,501,142,0.6352,0.6127,0.6478,0.0351,0.052,0.0373,0.0683,stable_positive_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,team_won,"2023,2024,2025",3,476,138,0.5546,0.5507,0.5592,0.0085,0.0552,0.0527,0.0592,stable_positive_lift
f5_post5_identity,opponent_l10_post5_allowed_bucket,mid_3_5_4_5,game_total_10plus,"2023,2024,2025",3,473,142,0.4491,0.4085,0.5093,0.1008,0.05,0.028,0.0836,stable_positive_lift
f5_post5_identity,opponent_l10_post5_allowed_bucket,mid_3_5_4_5,game_total_9plus,"2023,2024,2025",3,473,142,0.5501,0.4941,0.6211,0.127,0.0517,0.0088,0.0974,stable_positive_lift
f5_post5_identity,opponent_l10_post5_allowed_bucket,mid_3_5_4_5,team_f5_runs_2plus,"2023,2024,2025",3,473,142,0.652,0.6294,0.6646,0.0352,0.0689,0.054,0.0825,stable_positive_lift
f5_post5_identity,opponent_l10_post5_allowed_bucket,mid_3_5_4_5,team_post5_runs_2plus,"2023,2024,2025",3,473,142,0.5461,0.5176,0.5714,0.0538,0.0651,0.0475,0.0759,stable_positive_lift
f5_post5_identity,opponent_l10_post5_allowed_bucket,mid_3_5_4_5,team_runs_4plus,"2023,2024,2025",3,473,142,0.6429,0.6294,0.6584,0.029,0.0849,0.0801,0.0908,stable_positive_lift
f5_post5_identity,opponent_l10_post5_allowed_bucket,mid_3_5_4_5,team_runs_5plus,"2023,2024,2025",3,473,142,0.4971,0.4765,0.5217,0.0452,0.0655,0.0599,0.0688,stable_positive_lift
f5_post5_identity,team_l10_post5_rpg_bucket,mid_3_5_4_5,f5_total_4plus,"2023,2024,2025",3,428,116,0.6795,0.6519,0.7143,0.0624,0.0536,0.0293,0.0932,stable_positive_lift
f5_post5_identity,team_l10_post5_rpg_bucket,mid_3_5_4_5,game_total_10plus,"2023,2024,2025",3,428,116,0.4733,0.4177,0.5195,0.1018,0.0742,0.0266,0.139,stable_positive_lift
f5_post5_identity,team_l10_post5_rpg_bucket,mid_3_5_4_5,team_runs_5plus,"2023,2024,2025",3,428,116,0.5121,0.4304,0.5603,0.1299,0.0805,0.0138,0.1203,stable_positive_lift
f5_post5_identity,team_l10_post5_rpg_bucket,mid_3_5_4_5,team_won,"2023,2024,2025",3,428,116,0.5854,0.5316,0.6466,0.115,0.086,0.0316,0.1466,stable_positive_lift
team_quality,home_away,away,team_early_deficit_scored_next2,"2023,2024,2025",3,7506,2471,0.2837,0.2797,0.2885,0.0088,-0.0411,-0.0487,-0.0351,stable_negative_lift
starter_quality,opponent_starter_ip_bucket,deep_5_8_6_4,team_f5_runs_2plus,"2023,2024,2025",3,2555,792,0.5302,0.5189,0.5397,0.0208,-0.0529,-0.0565,-0.0475,stable_negative_lift
starter_quality,opponent_starter_ip_bucket,deep_5_8_6_4,team_runs_4plus,"2023,2024,2025",3,2555,792,0.5089,0.4893,0.5223,0.033,-0.049,-0.0607,-0.0341,stable_negative_lift
starter_quality,opponent_starter_xfip_bucket,excellent_lt_3_75,f5_total_4plus,"2023,2024,2025",3,2483,752,0.5849,0.5704,0.6051,0.0347,-0.0411,-0.0507,-0.0291,stable_negative_lift
starter_quality,opponent_starter_xfip_bucket,excellent_lt_3_75,team_f5_runs_2plus,"2023,2024,2025",3,2483,752,0.5321,0.5215,0.5439,0.0224,-0.051,-0.058,-0.0444,stable_negative_lift
starter_quality,opponent_starter_xfip_bucket,excellent_lt_3_75,team_runs_4plus,"2023,2024,2025",3,2483,752,0.5061,0.4843,0.5275,0.0432,-0.0518,-0.0679,-0.0218,stable_negative_lift
starter_quality,opponent_starter_xfip_bucket,excellent_lt_3_75,team_runs_5plus,"2023,2024,2025",3,2483,752,0.3827,0.3609,0.4029,0.042,-0.0489,-0.0643,-0.0324,stable_negative_lift
starter_quality,opponent_starter_xfip_bucket,excellent_lt_3_75,team_won,"2023,2024,2025",3,2483,752,0.4534,0.4428,0.4599,0.0171,-0.0459,-0.0572,-0.0401,stable_negative_lift
starter_quality,opponent_starter_xfip_bucket,good_3_75_4_25,team_f5_runs_2plus,"2023,2024,2025",3,2453,729,0.5414,0.5183,0.5583,0.04,-0.0417,-0.0571,-0.0319,stable_negative_lift
team_quality,opponent_strength_bucket,55_60,team_won,"2023,2024,2025",3,2220,668,0.4503,0.4386,0.4589,0.0203,-0.049,-0.0614,-0.0411,stable_negative_lift
offense_consistency,l10_scored5_rate_bucket,low_lt_30,team_runs_5plus,"2023,2024,2025",3,2186,604,0.3865,0.3547,0.4089,0.0542,-0.0451,-0.0619,-0.0293,stable_negative_lift
offense_consistency,l10_scored5_rate_bucket,low_lt_30,team_won,"2023,2024,2025",3,2186,604,0.4502,0.4272,0.4667,0.0395,-0.0492,-0.0728,-0.0333,stable_negative_lift
starter_quality,opponent_starter_kbb_bucket,strong_18_23,team_f5_runs_2plus,"2023,2024,2025",3,2173,673,0.5377,0.5097,0.561,0.0513,-0.0454,-0.0657,-0.0335,stable_negative_lift
starter_quality,opponent_starter_kbb_bucket,strong_18_23,team_runs_5plus,"2023,2024,2025",3,2173,673,0.3845,0.3522,0.4026,0.0504,-0.0471,-0.0644,-0.0266,stable_negative_lift
team_quality,team_strength_gap_bucket,minus_10_or_worse,team_f5_runs_2plus,"2023,2024,2025",3,2123,651,0.5352,0.5253,0.5482,0.0229,-0.048,-0.0625,-0.0313,stable_negative_lift
team_quality,team_strength_gap_bucket,minus_10_or_worse,team_runs_4plus,"2023,2024,2025",3,2123,651,0.4821,0.4777,0.4857,0.008,-0.0758,-0.0888,-0.067,stable_negative_lift
team_quality,team_strength_gap_bucket,minus_10_or_worse,team_runs_5plus,"2023,2024,2025",3,2123,651,0.3609,0.3518,0.3701,0.0183,-0.0706,-0.0828,-0.0643,stable_negative_lift
team_quality,team_strength_gap_bucket,minus_10_or_worse,team_won,"2023,2024,2025",3,2123,651,0.3981,0.3946,0.4009,0.0063,-0.1012,-0.1054,-0.0991,stable_negative_lift
team_quality,team_strength_gap_bucket,plus_10_plus,opponent_runs_4plus,"2023,2024,2025",3,2123,651,0.4821,0.4777,0.4857,0.008,-0.0758,-0.0888,-0.067,stable_negative_lift
team_quality,team_strength_gap_bucket,plus_10_plus,opponent_runs_5plus,"2023,2024,2025",3,2123,651,0.3609,0.3518,0.3701,0.0183,-0.0706,-0.0828,-0.0643,stable_negative_lift
combo_tags,tag_live_rebound_watch,yes,opponent_runs_4plus,"2023,2024,2025",3,1904,623,0.4899,0.4831,0.4953,0.0122,-0.068,-0.0792,-0.0586,stable_negative_lift
combo_tags,tag_live_rebound_watch,yes,opponent_runs_5plus,"2023,2024,2025",3,1904,623,0.3586,0.3451,0.3682,0.0231,-0.073,-0.0904,-0.057,stable_negative_lift
team_quality,team_strength_bucket,40_45,team_won,"2023,2024,2025",3,1583,499,0.4398,0.4367,0.4458,0.0091,-0.0595,-0.0633,-0.0542,stable_negative_lift
combo_tags,tag_weak_leader_fade_watch,yes,opponent_runs_4plus,"2023,2024,2025",3,1569,453,0.5028,0.4866,0.5185,0.0319,-0.0551,-0.0634,-0.046,stable_negative_lift
combo_tags,tag_weak_leader_fade_watch,yes,opponent_runs_5plus,"2023,2024,2025",3,1569,453,0.3664,0.3506,0.3822,0.0316,-0.0652,-0.0746,-0.0502,stable_negative_lift
starter_quality,opponent_starter_kbb_bucket,elite_23_plus,team_f5_runs_2plus,"2023,2024,2025",3,1335,420,0.5373,0.4904,0.5785,0.0881,-0.0459,-0.0891,-0.016,stable_negative_lift
starter_quality,opponent_starter_kbb_bucket,elite_23_plus,team_runs_4plus,"2023,2024,2025",3,1335,420,0.5168,0.4627,0.5471,0.0844,-0.0412,-0.0873,-0.0088,stable_negative_lift
team_quality,opponent_strength_bucket,lt_40,opponent_runs_4plus,"2023,2024,2025",3,1224,341,0.4725,0.4663,0.4843,0.018,-0.0855,-0.0902,-0.083,stable_negative_lift
team_quality,opponent_strength_bucket,lt_40,opponent_runs_5plus,"2023,2024,2025",3,1224,341,0.3445,0.3314,0.3565,0.0251,-0.0871,-0.0964,-0.0797,stable_negative_lift
team_quality,opponent_strength_bucket,lt_40,team_trailed_early_1to3,"2023,2024,2025",3,1224,341,0.4374,0.4106,0.4554,0.0448,-0.0507,-0.0821,-0.0272,stable_negative_lift
team_quality,team_strength_bucket,lt_40,team_f5_runs_2plus,"2023,2024,2025",3,1224,341,0.5287,0.5103,0.5426,0.0323,-0.0544,-0.0651,-0.0463,stable_negative_lift
team_quality,team_strength_bucket,lt_40,team_runs_4plus,"2023,2024,2025",3,1224,341,0.4725,0.4663,0.4843,0.018,-0.0855,-0.0902,-0.083,stable_negative_lift
team_quality,team_strength_bucket,lt_40,team_runs_5plus,"2023,2024,2025",3,1224,341,0.3445,0.3314,0.3565,0.0251,-0.0871,-0.0964,-0.0797,stable_negative_lift
team_quality,team_strength_bucket,lt_40,team_won,"2023,2024,2025",3,1224,341,0.3844,0.3753,0.39,0.0147,-0.1149,-0.1227,-0.11,stable_negative_lift
offense_consistency,offense_form_bucket,lt_40,team_runs_4plus,"2023,2024,2025",3,776,250,0.5132,0.5,0.5317,0.0317,-0.0447,-0.05,-0.0413,stable_negative_lift
offense_consistency,offense_form_bucket,lt_40,team_runs_5plus,"2023,2024,2025",3,776,250,0.3773,0.356,0.3889,0.0329,-0.0543,-0.064,-0.0383,stable_negative_lift
offense_consistency,offense_form_bucket,lt_40,team_won,"2023,2024,2025",3,776,250,0.458,0.4365,0.496,0.0595,-0.0413,-0.0635,-0.004,stable_negative_lift
offense_consistency,l10_scored4_rate_bucket,low_lt_30,team_f5_runs_2plus,"2023,2024,2025",3,575,166,0.5424,0.5333,0.5578,0.0245,-0.0407,-0.0584,-0.0176,stable_negative_lift
offense_consistency,l10_scored4_rate_bucket,low_lt_30,team_runs_5plus,"2023,2024,2025",3,575,166,0.3915,0.3769,0.4,0.0231,-0.0401,-0.0553,-0.0252,stable_negative_lift
offense_consistency,l10_scored4_rate_bucket,low_lt_30,team_won,"2023,2024,2025",3,575,166,0.4538,0.419,0.4724,0.0534,-0.0456,-0.079,-0.0276,stable_negative_lift
opponent_vulnerability,opponent_l10_allowed4_rate_bucket,low_lt_30,team_f5_runs_2plus,"2023,2024,2025",3,573,172,0.5285,0.5213,0.5352,0.0139,-0.0546,-0.0654,-0.0402,stable_negative_lift
opponent_vulnerability,opponent_l10_allowed4_rate_bucket,low_lt_30,team_runs_4plus,"2023,2024,2025",3,573,172,0.4972,0.4894,0.5023,0.0129,-0.0607,-0.0745,-0.047,stable_negative_lift
opponent_vulnerability,opponent_l10_allowed4_rate_bucket,low_lt_30,team_runs_5plus,"2023,2024,2025",3,573,172,0.3846,0.3617,0.407,0.0453,-0.047,-0.0635,-0.0316,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,f5_total_4plus,"2023,2024,2025",3,476,138,0.5736,0.529,0.6129,0.0839,-0.0524,-0.0921,-0.0213,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,f5_total_5plus,"2023,2024,2025",3,476,138,0.4643,0.4203,0.5054,0.0851,-0.0421,-0.0754,-0.0254,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,game_total_10plus,"2023,2024,2025",3,476,138,0.3489,0.3026,0.3817,0.0791,-0.0502,-0.0885,-0.0182,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,game_total_9plus,"2023,2024,2025",3,476,138,0.4454,0.4013,0.4785,0.0772,-0.053,-0.084,-0.0298,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,opponent_runs_4plus,"2023,2024,2025",3,476,138,0.4897,0.4474,0.5217,0.0743,-0.0682,-0.1019,-0.0283,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,opponent_runs_5plus,"2023,2024,2025",3,476,138,0.355,0.3026,0.3913,0.0887,-0.0766,-0.114,-0.0339,stable_negative_lift
starter_volatility,opponent_starter_blowup_rate_bucket,avg_45_60,team_trailed_early_1to3,"2023,2024,2025",3,476,138,0.4397,0.4145,0.4638,0.0493,-0.0483,-0.0782,-0.0188,stable_negative_lift
starter_quality,starter_quality_gap_bucket,minus_5_to_10,f5_total_4plus,"2023,2024,2025",3,427,135,0.5824,0.5329,0.6143,0.0814,-0.0436,-0.1013,-0.0083,stable_negative_lift
starter_quality,starter_quality_gap_bucket,minus_5_to_10,team_f5_runs_2plus,"2023,2024,2025",3,427,135,0.5117,0.4737,0.5429,0.0692,-0.0714,-0.1208,-0.0325,stable_negative_lift
starter_quality,starter_quality_gap_bucket,minus_5_to_10,team_runs_4plus,"2023,2024,2025",3,427,135,0.5115,0.4803,0.5357,0.0554,-0.0464,-0.0942,-0.0136,stable_negative_lift
starter_quality,starter_quality_gap_bucket,plus_5_to_10,f5_total_4plus,"2023,2024,2025",3,427,135,0.5824,0.5329,0.6143,0.0814,-0.0436,-0.1013,-0.0083,stable_negative_lift
