combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
offense_form_bucket+opponent_starter_ra9_bucket,55_60__good_3_5_4_25,team_early_deficit_scored_next2,"2023,2024,2025",3,371,115,0.2713,0.2522,0.2868,0.0346,-0.0534,-0.0626,-0.0448,stable_negative_lift,,
home_away+opponent_strength_bucket,away__40_45,team_early_deficit_scored_next2,"2023,2024,2025",3,768,246,0.2715,0.248,0.2883,0.0403,-0.0533,-0.0668,-0.0396,stable_negative_lift,,
team_strength_bucket+opponent_strength_bucket,40_45__50_55,team_runs_4plus,"2023,2024,2025",3,538,160,0.5046,0.45,0.5508,0.1008,-0.0533,-0.1,-0.0237,stable_negative_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,40_45__very_bad_6_plus,team_early_deficit_scored_next2,"2023,2024,2025",3,376,117,0.2716,0.2556,0.2857,0.0301,-0.0532,-0.076,-0.0291,stable_negative_lift,,
,avg_45_60,game_total_9plus,"2023,2024,2025",3,476,138,0.4454,0.4013,0.4785,0.0772,-0.053,-0.084,-0.0298,stable_negative_lift,starter_volatility,opponent_starter_blowup_rate_bucket
,deep_5_8_6_4,team_f5_runs_2plus,"2023,2024,2025",3,2555,792,0.5302,0.5189,0.5397,0.0208,-0.0529,-0.0565,-0.0475,stable_negative_lift,starter_quality,opponent_starter_ip_bucket
offense_form_bucket+opponent_starter_ra9_bucket,45_50__good_3_5_4_25,team_won,"2023,2024,2025",3,733,200,0.4468,0.43,0.4698,0.0398,-0.0526,-0.07,-0.0282,stable_negative_lift,,
,avg_45_60,f5_total_4plus,"2023,2024,2025",3,476,138,0.5736,0.529,0.6129,0.0839,-0.0524,-0.0921,-0.0213,stable_negative_lift,starter_volatility,opponent_starter_blowup_rate_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,high_4_5_5_5__good_3_75_4_25,team_runs_5plus,"2023,2024,2025",3,757,222,0.3796,0.3584,0.4054,0.047,-0.052,-0.0668,-0.0416,stable_negative_lift,,
,excellent_lt_3_75,team_runs_4plus,"2023,2024,2025",3,2483,752,0.5061,0.4843,0.5275,0.0432,-0.0518,-0.0679,-0.0218,stable_negative_lift,starter_quality,opponent_starter_xfip_bucket
,excellent_lt_3_75,team_f5_runs_2plus,"2023,2024,2025",3,2483,752,0.5321,0.5215,0.5439,0.0224,-0.051,-0.058,-0.0444,stable_negative_lift,starter_quality,opponent_starter_xfip_bucket
opponent_starter_ip_bucket+opponent_l10_post5_allowed_bucket,deep_5_8_6_4__low_lt_3_5,team_runs_4plus,"2023,2024,2025",3,2498,771,0.507,0.4891,0.5249,0.0358,-0.0509,-0.0609,-0.0422,stable_negative_lift,,
home_away+opponent_strength_bucket,away__45_50,team_early_deficit_scored_next2,"2023,2024,2025",3,2038,604,0.2741,0.2517,0.2901,0.0384,-0.0507,-0.0799,-0.0247,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__good_3_75_4_25,opponent_blew_early_small_lead,"2023,2024,2025",3,441,134,0.2303,0.2013,0.2658,0.0645,-0.0506,-0.0684,-0.0195,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__good_3_75_4_25,team_early_deficit_tied_or_led_later,"2023,2024,2025",3,441,134,0.2303,0.2013,0.2658,0.0645,-0.0506,-0.0684,-0.0195,stable_negative_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,low_lt_3_5__avg_4_25_4_75,team_runs_5plus,"2023,2024,2025",3,504,106,0.3815,0.3684,0.4057,0.0373,-0.0501,-0.0568,-0.0462,stable_negative_lift,,
