season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_4plus,461,0.5184,0.55,-0.0316
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_4plus,480,0.4958,0.5493,-0.0535
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_5plus,338,0.4172,0.4529,-0.0357
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_5plus,461,0.4187,0.4252,-0.0065
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_runs_5plus,480,0.3583,0.4166,-0.0583
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_trailed_early_1to3,338,0.503,0.4889,0.0141
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_trailed_early_1to3,461,0.4772,0.4826,-0.0054
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_trailed_early_1to3,480,0.4479,0.4927,-0.0448
2023,home_away+l10_rpg_bucket,away__low_lt_3_5,team_won,338,0.429,0.5,-0.071
2024,home_away+l10_rpg_bucket,away__low_lt_3_5,team_won,461,0.4577,0.498,-0.0403
2025,home_away+l10_rpg_bucket,away__low_lt_3_5,team_won,480,0.45,0.5,-0.05
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,f5_total_4plus,774,0.6499,0.6342,0.0157
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,f5_total_4plus,893,0.6148,0.6211,-0.0063
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,f5_total_4plus,809,0.618,0.6226,-0.0046
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,f5_total_5plus,774,0.5491,0.531,0.0181
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,f5_total_5plus,893,0.4983,0.4957,0.0026
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,f5_total_5plus,809,0.4845,0.4925,-0.008
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,game_total_10plus,774,0.4096,0.4257,-0.0161
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,game_total_10plus,893,0.3651,0.3805,-0.0154
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,game_total_10plus,809,0.3807,0.3911,-0.0104
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,game_total_9plus,774,0.5181,0.5237,-0.0056
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,game_total_9plus,893,0.4804,0.4863,-0.0059
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,game_total_9plus,809,0.4512,0.4853,-0.0341
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_blew_early_small_lead,774,0.2661,0.2853,-0.0192
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_blew_early_small_lead,893,0.2217,0.2697,-0.048
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_blew_early_small_lead,809,0.2571,0.2877,-0.0306
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_runs_4plus,774,0.5891,0.5745,0.0146
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_runs_4plus,893,0.5532,0.55,0.0032
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_runs_4plus,809,0.576,0.5493,0.0267
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_runs_5plus,774,0.4599,0.4529,0.007
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_runs_5plus,893,0.4031,0.4252,-0.0221
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,opponent_runs_5plus,809,0.4178,0.4166,0.0012
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_early_deficit_scored_next2,774,0.3088,0.3316,-0.0228
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_early_deficit_scored_next2,893,0.2777,0.3148,-0.0371
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_early_deficit_scored_next2,809,0.2942,0.3279,-0.0337
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_early_deficit_tied_or_led_later,774,0.2661,0.2853,-0.0192
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_early_deficit_tied_or_led_later,893,0.2217,0.2697,-0.048
2025,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_early_deficit_tied_or_led_later,809,0.2571,0.2877,-0.0306
2023,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_f5_runs_2plus,774,0.5698,0.5945,-0.0247
2024,home_away+l10_rpg_bucket,away__mid_3_5_4_5,team_f5_runs_2plus,893,0.5599,0.5795,-0.0196
