season,family,feature,feature_value,outcome,count,feature_rate,baseline_rate,lift
2025,team_quality,team_strength_bucket,55_60,team_early_deficit_scored_next2,778,0.3355,0.3279,0.0076
2023,team_quality,team_strength_bucket,55_60,team_early_deficit_tied_or_led_later,668,0.265,0.2853,-0.0203
2024,team_quality,team_strength_bucket,55_60,team_early_deficit_tied_or_led_later,774,0.2946,0.2697,0.0249
2025,team_quality,team_strength_bucket,55_60,team_early_deficit_tied_or_led_later,778,0.2956,0.2877,0.0079
2023,team_quality,team_strength_bucket,55_60,team_f5_runs_2plus,668,0.6183,0.5945,0.0238
2024,team_quality,team_strength_bucket,55_60,team_f5_runs_2plus,774,0.6163,0.5795,0.0368
2025,team_quality,team_strength_bucket,55_60,team_f5_runs_2plus,778,0.5848,0.5754,0.0094
2023,team_quality,team_strength_bucket,55_60,team_post5_runs_2plus,668,0.512,0.4955,0.0165
2024,team_quality,team_strength_bucket,55_60,team_post5_runs_2plus,774,0.5052,0.4773,0.0279
2025,team_quality,team_strength_bucket,55_60,team_post5_runs_2plus,778,0.4859,0.4701,0.0158
2023,team_quality,team_strength_bucket,55_60,team_runs_4plus,668,0.5898,0.5745,0.0153
2024,team_quality,team_strength_bucket,55_60,team_runs_4plus,774,0.6059,0.55,0.0559
2025,team_quality,team_strength_bucket,55_60,team_runs_4plus,778,0.5758,0.5493,0.0265
2023,team_quality,team_strength_bucket,55_60,team_runs_5plus,668,0.5135,0.4529,0.0606
2024,team_quality,team_strength_bucket,55_60,team_runs_5plus,774,0.4755,0.4252,0.0503
2025,team_quality,team_strength_bucket,55_60,team_runs_5plus,778,0.4306,0.4166,0.014
2023,team_quality,team_strength_bucket,55_60,team_trailed_early_1to3,668,0.4521,0.4889,-0.0368
2024,team_quality,team_strength_bucket,55_60,team_trailed_early_1to3,774,0.4845,0.4826,0.0019
2025,team_quality,team_strength_bucket,55_60,team_trailed_early_1to3,778,0.4846,0.4927,-0.0081
2023,team_quality,team_strength_bucket,55_60,team_won,668,0.5614,0.5,0.0614
2024,team_quality,team_strength_bucket,55_60,team_won,774,0.5426,0.498,0.0446
2025,team_quality,team_strength_bucket,55_60,team_won,778,0.5411,0.5,0.0411
2023,team_quality,team_strength_bucket,60_plus,f5_total_4plus,369,0.71,0.6342,0.0758
2024,team_quality,team_strength_bucket,60_plus,f5_total_4plus,322,0.677,0.6211,0.0559
2025,team_quality,team_strength_bucket,60_plus,f5_total_4plus,231,0.5844,0.6226,-0.0382
2023,team_quality,team_strength_bucket,60_plus,f5_total_5plus,369,0.5935,0.531,0.0625
2024,team_quality,team_strength_bucket,60_plus,f5_total_5plus,322,0.4907,0.4957,-0.005
2025,team_quality,team_strength_bucket,60_plus,f5_total_5plus,231,0.4416,0.4925,-0.0509
2023,team_quality,team_strength_bucket,60_plus,game_total_10plus,369,0.458,0.4257,0.0323
2024,team_quality,team_strength_bucket,60_plus,game_total_10plus,322,0.4006,0.3805,0.0201
2025,team_quality,team_strength_bucket,60_plus,game_total_10plus,231,0.3766,0.3911,-0.0145
2023,team_quality,team_strength_bucket,60_plus,game_total_9plus,369,0.5664,0.5237,0.0427
2024,team_quality,team_strength_bucket,60_plus,game_total_9plus,322,0.4907,0.4863,0.0044
2025,team_quality,team_strength_bucket,60_plus,game_total_9plus,231,0.4762,0.4853,-0.0091
2023,team_quality,team_strength_bucket,60_plus,opponent_blew_early_small_lead,369,0.3035,0.2853,0.0182
2024,team_quality,team_strength_bucket,60_plus,opponent_blew_early_small_lead,322,0.2795,0.2697,0.0098
2025,team_quality,team_strength_bucket,60_plus,opponent_blew_early_small_lead,231,0.2597,0.2877,-0.028
2023,team_quality,team_strength_bucket,60_plus,opponent_runs_4plus,369,0.5176,0.5745,-0.0569
2024,team_quality,team_strength_bucket,60_plus,opponent_runs_4plus,322,0.5248,0.55,-0.0252
2025,team_quality,team_strength_bucket,60_plus,opponent_runs_4plus,231,0.5325,0.5493,-0.0168
2023,team_quality,team_strength_bucket,60_plus,opponent_runs_5plus,369,0.4255,0.4529,-0.0274
2024,team_quality,team_strength_bucket,60_plus,opponent_runs_5plus,322,0.4006,0.4252,-0.0246
2025,team_quality,team_strength_bucket,60_plus,opponent_runs_5plus,231,0.3983,0.4166,-0.0183
2023,team_quality,team_strength_bucket,60_plus,team_early_deficit_scored_next2,369,0.3252,0.3316,-0.0064
2024,team_quality,team_strength_bucket,60_plus,team_early_deficit_scored_next2,322,0.3323,0.3148,0.0175
2025,team_quality,team_strength_bucket,60_plus,team_early_deficit_scored_next2,231,0.3074,0.3279,-0.0205
