combo,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,min_rate,max_rate,rate_range,avg_lift,min_lift,max_lift,stability_label,family,feature
team_strength_bucket+opponent_strength_bucket,50_55__40_45,team_won,"2023,2024,2025",3,538,160,0.5651,0.5445,0.6,0.0555,0.0658,0.0445,0.102,stable_positive_lift,,
,mid_3_5_4_5,team_runs_5plus,"2023,2024,2025",3,473,142,0.4971,0.4765,0.5217,0.0452,0.0655,0.0599,0.0688,stable_positive_lift,f5_post5_identity,opponent_l10_post5_allowed_bucket
,plus_10_plus,team_f5_runs_2plus,"2023,2024,2025",3,2123,651,0.6483,0.616,0.6803,0.0643,0.0652,0.0406,0.0858,stable_positive_lift,team_quality,team_strength_gap_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,high_4_5_5_5__very_bad_5_25_plus,team_won,"2023,2024,2025",3,948,254,0.5629,0.5511,0.5709,0.0198,0.0636,0.0511,0.0729,stable_positive_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,55_60__very_bad_6_plus,team_won,"2023,2024,2025",3,316,103,0.5627,0.5385,0.5963,0.0578,0.0634,0.0405,0.0963,stable_positive_lift,,
home_away+opponent_strength_bucket,away__lt_40,game_total_9plus,"2023,2024,2025",3,625,179,0.5616,0.4978,0.6034,0.1056,0.0632,0.0115,0.1181,stable_positive_lift,,
,40_45,team_runs_5plus,"2023,2024,2025",3,1583,499,0.4946,0.4679,0.511,0.0431,0.063,0.0513,0.0858,stable_positive_lift,team_quality,opponent_strength_bucket
team_strength_bucket+opponent_strength_bucket,50_55__lt_40,team_f5_runs_2plus,"2023,2024,2025",3,373,106,0.6459,0.5943,0.7434,0.1491,0.0628,0.0189,0.1489,stable_positive_lift,,
l10_rpg_bucket+opponent_strength_bucket,very_high_5_5_plus__40_45,game_total_9plus,"2023,2024,2025",3,376,114,0.5605,0.5455,0.5745,0.029,0.062,0.0508,0.0751,stable_positive_lift,,
home_away+opponent_strength_bucket,home__60_plus,team_early_deficit_scored_next2,"2023,2024,2025",3,480,124,0.3864,0.3684,0.4113,0.0429,0.0616,0.0368,0.0834,stable_positive_lift,,
team_strength_bucket+opponent_strength_bucket,50_55__40_45,team_runs_5plus,"2023,2024,2025",3,538,160,0.4928,0.4712,0.5312,0.06,0.0612,0.023,0.106,stable_positive_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__bad_4_75_5_25,team_f5_runs_2plus,"2023,2024,2025",3,510,134,0.6438,0.5819,0.7164,0.1345,0.0607,0.0065,0.1369,stable_positive_lift,,
,lt_40,team_f5_runs_2plus,"2023,2024,2025",3,1131,327,0.6435,0.637,0.6514,0.0144,0.0604,0.0476,0.0719,stable_positive_lift,opponent_vulnerability,opponent_run_prevention_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,high_4_5_5_5__very_bad_5_25_plus,team_runs_5plus,"2023,2024,2025",3,948,254,0.4914,0.4599,0.5143,0.0544,0.0598,0.0433,0.0748,stable_positive_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__very_bad_5_25_plus,team_runs_4plus,"2023,2024,2025",3,637,147,0.6175,0.5645,0.6531,0.0886,0.0596,0.0152,0.1031,stable_positive_lift,,
,40_45,team_won,"2023,2024,2025",3,1583,499,0.5589,0.5542,0.5633,0.0091,0.0595,0.0542,0.0633,stable_positive_lift,team_quality,opponent_strength_bucket
,60_plus,team_won,"2023,2024,2025",3,1203,353,0.5587,0.5548,0.5662,0.0114,0.0594,0.0548,0.0662,stable_positive_lift,offense_consistency,offense_form_bucket
offense_form_bucket+opponent_starter_ra9_bucket,50_55__very_bad_6_plus,team_runs_4plus,"2023,2024,2025",3,566,167,0.6173,0.5909,0.6323,0.0414,0.0594,0.0409,0.0794,stable_positive_lift,,
home_away+opponent_strength_bucket,home__40_45,team_f5_runs_2plus,"2023,2024,2025",3,815,253,0.6421,0.61,0.6601,0.0501,0.0589,0.0155,0.0847,stable_positive_lift,,
home_away+l10_rpg_bucket,home__very_high_5_5_plus,team_won,"2023,2024,2025",3,1429,425,0.557,0.5365,0.5759,0.0394,0.0576,0.0385,0.0759,stable_positive_lift,,
team_l10_post5_rpg_bucket+opponent_l10_post5_allowed_bucket,low_lt_3_5__mid_3_5_4_5,team_runs_5plus,"2023,2024,2025",3,424,131,0.489,0.4744,0.4964,0.022,0.0574,0.0435,0.071,stable_positive_lift,,
home_away+l10_rpg_bucket,home__low_lt_3_5,team_early_deficit_scored_next2,"2023,2024,2025",3,1316,354,0.3816,0.3745,0.3862,0.0117,0.0569,0.0526,0.0597,stable_positive_lift,,
l10_rpg_bucket+opponent_starter_xfip_bucket,high_4_5_5_5__very_bad_5_25_plus,team_runs_4plus,"2023,2024,2025",3,948,254,0.6144,0.6022,0.622,0.0198,0.0565,0.0445,0.072,stable_positive_lift,,
home_away+opponent_strength_bucket,home__40_45,team_runs_5plus,"2023,2024,2025",3,815,253,0.4879,0.4822,0.495,0.0128,0.0563,0.0336,0.0784,stable_positive_lift,,
offense_form_bucket+opponent_starter_ra9_bucket,50_55__missing,team_runs_5plus,"2023,2024,2025",3,363,110,0.4879,0.4385,0.5455,0.107,0.0563,0.0219,0.1203,stable_positive_lift,,
,lt_40,team_f5_runs_2plus,"2023,2024,2025",3,1224,341,0.6385,0.6158,0.6682,0.0524,0.0554,0.0404,0.0737,stable_positive_lift,team_quality,opponent_strength_bucket
,avg_45_60,team_won,"2023,2024,2025",3,476,138,0.5546,0.5507,0.5592,0.0085,0.0552,0.0527,0.0592,stable_positive_lift,starter_volatility,opponent_starter_blowup_rate_bucket
,lt_40,game_total_9plus,"2023,2024,2025",3,1131,327,0.5534,0.5205,0.571,0.0505,0.055,0.0352,0.0825,stable_positive_lift,opponent_vulnerability,opponent_run_prevention_bucket
,60_plus,team_runs_5plus,"2023,2024,2025",3,1203,353,0.4862,0.443,0.5169,0.0739,0.0546,0.0264,0.0734,stable_positive_lift,offense_consistency,offense_form_bucket
l10_rpg_bucket+opponent_starter_xfip_bucket,very_high_5_5_plus__very_bad_5_25_plus,game_total_9plus,"2023,2024,2025",3,637,147,0.5531,0.4946,0.6054,0.1108,0.0546,0.0093,0.1191,stable_positive_lift,,
team_l10_post5_rpg_bucket+opponent_l10_post5_allowed_bucket,low_lt_3_5__mid_3_5_4_5,team_f5_runs_2plus,"2023,2024,2025",3,424,131,0.6378,0.6218,0.6565,0.0347,0.0546,0.0405,0.077,stable_positive_lift,,
