date,candidate_id,game_pk,away_abbr,home_abbr,derivative_type,read_type,side,inning,half_inning,score_away,score_home,trigger_event_type,status,overall_watch_score,candidate_ts,anchor_ts_raw,anchor_ts_utc,market_ticker,yes_bid_before120,yes_ask_before120,mid_before120,yes_bid_before60,yes_ask_before60,mid_before60,yes_bid_before30,yes_ask_before30,mid_before30,yes_bid_at,yes_ask_at,mid_at,spread_at,yes_bid_after30,yes_ask_after30,mid_after30,yes_bid_after60,yes_ask_after60,mid_after60,yes_bid_after120,yes_ask_after120,mid_after120,yes_bid_after300,yes_ask_after300,mid_after300,delta_mid_30s,delta_mid_60s,delta_mid_120s,max_mid_after_300s,min_mid_after_300s,reversal_from_peak,time_to_first_meaningful_move_s,snaps_in_window,first_snapshot_utc,last_snapshot_utc,seconds_to_nearest_at_snapshot
2026-06-15,827,822887,MIN,TEX,team_total,team_total_lag,YES,2,top,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:29:49.419648,2026-06-15T20:29:49.419648,2026-06-16T00:29:49.419648+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,27,32,29,,,,,,,29,29,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,828,823452,MIA,PHI,team_total,team_total_lag,YES,6,bottom,0,5,trailing_team_total_lag,blocked,58.0,2026-06-15T20:29:49.420649,2026-06-15T20:29:49.420649,2026-06-16T00:29:49.420649+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,,,,,,,,,,,,,,,,,,,,13,21,17,,,,,,,17,17,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,829,822887,MIN,TEX,team_total,team_total_lag,YES,2,bottom,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:33:49.463535,2026-06-15T20:33:49.463535,2026-06-16T00:33:49.463535+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,27,32,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,830,824505,NYM,CIN,team_total,team_total_lag,YES,4,bottom,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:34:49.480779,2026-06-15T20:34:49.480779,2026-06-16T00:34:49.480779+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,831,823046,SD,STL,team_total,team_total_lag,YES,4,bottom,0,2,trailing_team_total_lag,blocked,80.0,2026-06-15T20:39:49.545945,2026-06-15T20:39:49.545945,2026-06-16T00:39:49.545945+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,832,824505,NYM,CIN,team_total,team_total_lag,YES,5,top,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:40:49.563250,2026-06-15T20:40:49.563250,2026-06-16T00:40:49.563250+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,833,822887,MIN,TEX,team_total,team_total_lag,YES,3,top,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:41:49.572747,2026-06-15T20:41:49.572747,2026-06-16T00:41:49.572747+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,834,823046,SD,STL,team_total,team_total_lag,YES,4,bottom,0,2,trailing_team_total_lag,observed_only,80.0,2026-06-15T20:41:49.573383,2026-06-15T20:41:49.573383,2026-06-16T00:41:49.573383+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,835,823046,SD,STL,team_total,team_total_lag,YES,5,top,0,2,trailing_team_total_lag,observed_only,80.0,2026-06-15T20:43:50.038075,2026-06-15T20:43:50.038075,2026-06-16T00:43:50.038075+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,836,824181,DET,HOU,team_total,team_total_lag,YES,2,top,2,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T20:43:50.039631,2026-06-15T20:43:50.039631,2026-06-16T00:43:50.039631+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,837,822887,MIN,TEX,team_total,team_total_lag,YES,3,bottom,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:47:50.087559,2026-06-15T20:47:50.087559,2026-06-16T00:47:50.087559+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,838,824181,DET,HOU,team_total,team_total_lag,YES,2,bottom,2,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T20:48:50.101749,2026-06-15T20:48:50.101749,2026-06-16T00:48:50.101749+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,839,822887,MIN,TEX,team_total,team_total_lag,YES,3,bottom,3,0,trailing_team_total_lag,blocked,79.0,2026-06-15T20:49:50.111488,2026-06-15T20:49:50.111488,2026-06-16T00:49:50.111488+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,840,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,3,bottom,3,2,f5_overreaction,observed_only,71.8,2026-06-15T20:50:50.124800,2026-06-15T20:50:50.124800,2026-06-16T00:50:50.124800+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,841,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,2,trailing_team_total_lag,observed_only,80.0,2026-06-15T20:50:50.672865,2026-06-15T20:50:50.672865,2026-06-16T00:50:50.672865+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,842,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,2,trailing_team_total_lag,blocked,80.0,2026-06-15T20:51:50.686153,2026-06-15T20:51:50.686153,2026-06-16T00:51:50.686153+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,843,824181,DET,HOU,team_total,team_total_lag,YES,2,bottom,2,0,trailing_team_total_lag,blocked,48.0,2026-06-15T20:52:50.700579,2026-06-15T20:52:50.700579,2026-06-16T00:52:50.700579+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,844,824505,NYM,CIN,team_total,team_total_lag,YES,5,bottom,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:53:50.745038,2026-06-15T20:53:50.745038,2026-06-16T00:53:50.745038+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,845,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,4,top,3,2,f5_overreaction,observed_only,71.8,2026-06-15T20:57:50.798467,2026-06-15T20:57:50.798467,2026-06-16T00:57:50.798467+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,846,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,3,trailing_team_total_lag,blocked,80.0,2026-06-15T20:58:50.813594,2026-06-15T20:58:50.813594,2026-06-16T00:58:50.813594+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,847,824181,DET,HOU,team_total,team_total_lag,YES,3,top,2,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T20:58:50.815349,2026-06-15T20:58:50.815349,2026-06-16T00:58:50.815349+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,848,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,3,trailing_team_total_lag,observed_only,80.0,2026-06-15T21:00:50.838335,2026-06-15T21:00:50.838335,2026-06-16T01:00:50.838335+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,849,824505,NYM,CIN,team_total,team_total_lag,YES,6,top,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T21:00:50.840773,2026-06-15T21:00:50.840773,2026-06-16T01:00:50.840773+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,850,823046,SD,STL,team_total,team_total_lag,YES,6,top,0,3,trailing_team_total_lag,observed_only,80.0,2026-06-15T21:01:50.958778,2026-06-15T21:01:50.958778,2026-06-16T01:01:50.958778+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,851,824181,DET,HOU,team_total,team_total_lag,YES,3,top,2,0,trailing_team_total_lag,blocked,48.0,2026-06-15T21:03:50.985675,2026-06-15T21:03:50.985675,2026-06-16T01:03:50.985675+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,852,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,4,bottom,3,2,f5_overreaction,blocked,71.8,2026-06-15T21:04:50.995806,2026-06-15T21:04:50.995806,2026-06-16T01:04:50.995806+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,,,,99,100,99,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,853,824181,DET,HOU,team_total,team_total_lag,YES,3,top,4,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T21:06:51.023326,2026-06-15T21:06:51.023326,2026-06-16T01:06:51.023326+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
